metric,nonzero_epochs,first_nonzero_epoch,last,maximum
train_loss_tx_labeled,200,1,1.2611015645825132,12.512151640288684
train_loss_domain_labeled,200,1,0.6318010693910171,2.714809009007045
train_loss_adv_labeled,200,1,2.668622829476181,2.718823257757693
train_loss_cons_labeled,184,17,0.2624661192602041,0.4471908880739796
train_loss_orth_labeled,200,1,0.007054504083127392,0.00751266674119599
train_loss_fishr_labeled,200,1,0.0022584205215359678,0.01367684984009485
train_loss_group_ce_labeled,200,1,2.5830832719802856,12.95465699020697
train_loss_proto_labeled,200,1,0.21208282240799495,0.42678726206020434
train_loss_open_world_feat,189,12,0.06824619577703428,0.15899912298333888
train_loss_zid_compact,193,8,1.5023279311705608,1.754365592586751
train_loss_proxy_unknown,156,45,6.484859456821364,9.996403441137197
train_loss_soft_unknown_mixup,176,25,2.1287677579996536,3.5718884808676585
train_loss_source_episode,181,20,0.056852830821002016,0.11755451575225713
train_loss_sat_cls_labeled,121,80,4.540395884185421,7.35782431339731
train_loss_sat_cons_labeled,0,,0.0,0.0
train_loss_unlabeled,70,131,2.065883897148292e-07,0.005342024523593613
