method,scene,bin,count,mean_confidence,accuracy
H3,leo_clear_weak,2,0,,
H3,leo_clear_weak,3,30,0.2535114884376526,0.2666666805744171
H3,leo_clear_weak,4,732,0.31375160813331604,0.24453552067279816
H3,leo_clear_weak,5,5314,0.37490883469581604,0.26345503330230713
H3,leo_clear_weak,6,13798,0.4378550052642822,0.24452818930149078
H3,leo_clear_weak,7,22783,0.5010439157485962,0.25102049112319946
H3,leo_clear_weak,8,23364,0.5654984712600708,0.2938709259033203
H3,leo_clear_weak,9,13945,0.6295129656791687,0.36098960041999817
H3,leo_clear_weak,10,9092,0.699290931224823,0.4329080581665039
H3,leo_clear_weak,11,9163,0.7668731808662415,0.455527663230896
H3,leo_clear_weak,12,10533,0.8348296284675598,0.48561662435531616
H3,leo_clear_weak,13,14047,0.9022661447525024,0.5483021140098572
H3,leo_clear_weak,14,45199,0.9828414916992188,0.8407708406448364
H3,leo_low_elev_weak,0,0,,
H3,leo_low_elev_weak,1,0,,
H3,leo_low_elev_weak,2,0,,
H3,leo_low_elev_weak,3,52,0.25517210364341736,0.13461539149284363
H3,leo_low_elev_weak,4,1297,0.31168875098228455,0.22359290719032288
H3,leo_low_elev_weak,5,6638,0.3743998110294342,0.2493220865726471
H3,leo_low_elev_weak,6,15883,0.43675321340560913,0.24567146599292755
H3,leo_low_elev_weak,7,24922,0.5009267330169678,0.23705962300300598
H3,leo_low_elev_weak,8,24636,0.5654485821723938,0.29193049669265747
H3,leo_low_elev_weak,9,14187,0.6291360855102539,0.3584267199039459
H3,leo_low_elev_weak,10,9350,0.6993240118026733,0.43144384026527405
H3,leo_low_elev_weak,11,9301,0.7671986818313599,0.4553273916244507
H3,leo_low_elev_weak,12,10102,0.8341294527053833,0.4979211986064911
H3,leo_low_elev_weak,13,12921,0.9017314314842224,0.569615364074707
H3,leo_low_elev_weak,14,38711,0.9836288690567017,0.8569399118423462
H3,leo_rain_weak,0,0,,
H3,leo_rain_weak,1,0,,
H3,leo_rain_weak,2,0,,
H3,leo_rain_weak,3,30,0.25473639369010925,0.13333334028720856
H3,leo_rain_weak,4,1018,0.3120070993900299,0.23673869669437408
H3,leo_rain_weak,5,6104,0.3748781681060791,0.26441678404808044
H3,leo_rain_weak,6,15408,0.43724414706230164,0.24000519514083862
H3,leo_rain_weak,7,24992,0.5010218024253845,0.23855634033679962
H3,leo_rain_weak,8,25048,0.5652604103088379,0.2873682677745819
H3,leo_rain_weak,9,14507,0.6295404434204102,0.3570690155029297
H3,leo_rain_weak,10,9370,0.699287474155426,0.43436500430107117
H3,leo_rain_weak,11,9296,0.7668026089668274,0.4703098237514496
H3,leo_rain_weak,12,10378,0.8344839215278625,0.5043361186981201
H3,leo_rain_weak,13,12931,0.9017650485038757,0.5730414986610413
H3,leo_rain_weak,14,38918,0.9839209318161011,0.8585230708122253
H4,clean,0,0,,
H4,clean,1,0,,
H4,clean,2,0,,
H4,clean,3,5,0.2585970461368561,0.0
H4,clean,4,153,0.3113695979118347,0.24836601316928864
H4,clean,5,1519,0.3742716908454895,0.24818959832191467
H4,clean,6,5069,0.4384258985519409,0.28763070702552795
H4,clean,7,10658,0.5011024475097656,0.3255770206451416
H4,clean,8,12674,0.5664383769035339,0.3243648409843445
H4,clean,9,7029,0.6309757828712463,0.5239720940589905
H4,clean,10,5809,0.6996501088142395,0.589258074760437
H4,clean,11,6328,0.7676039934158325,0.6197850704193115
H4,clean,12,7839,0.8349326252937317,0.6049240827560425
H4,clean,13,11272,0.9025028944015503,0.622427225112915
H4,clean,14,99645,0.9917743802070618,0.8855838179588318
H4,leo_clear_weak,0,0,,
H4,leo_clear_weak,1,0,,
H4,leo_clear_weak,2,0,,
H4,leo_clear_weak,3,2,0.25681373476982117,0.0
H4,leo_clear_weak,4,214,0.3145521581172943,0.2616822421550751
H4,leo_clear_weak,5,2336,0.37493082880973816,0.26669520139694214
H4,leo_clear_weak,6,8148,0.4388178884983063,0.30044183135032654
H4,leo_clear_weak,7,18079,0.5022597908973694,0.2917196750640869
H4,leo_clear_weak,8,32272,0.5692842602729797,0.2559184432029724
H4,leo_clear_weak,9,13844,0.6290756464004517,0.34570932388305664
H4,leo_clear_weak,10,9827,0.6993162035942078,0.4270886480808258
H4,leo_clear_weak,11,9409,0.7669654488563538,0.453183114528656
H4,leo_clear_weak,12,11400,0.8345767259597778,0.47324562072753906
H4,leo_clear_weak,13,15752,0.9026733040809631,0.5482478141784668
H4,leo_clear_weak,14,46717,0.9822553396224976,0.8412569165229797
H4,leo_low_elev_weak,0,0,,
H4,leo_low_elev_weak,1,0,,
H4,leo_low_elev_weak,2,0,,
H4,leo_low_elev_weak,3,7,0.254086434841156,0.1428571492433548
H4,leo_low_elev_weak,4,281,0.3131119906902313,0.21352313458919525
H4,leo_low_elev_weak,5,2758,0.3744507133960724,0.24945612251758575
H4,leo_low_elev_weak,6,8712,0.43820199370384216,0.29763543605804443
