method,scene,requested_coverage,attained_coverage,risk,threshold
H2,clean,0.2,0.20000595238095237,0.03979048242611827,0.9991771578788757
H2,clean,0.3,0.3,0.06585317460317464,0.9974737763404846
H2,clean,0.4,0.4,0.07968750000000002,0.9924387335777283
H2,clean,0.5,0.5,0.09515476190476191,0.9747852683067322
H2,clean,0.6,0.6,0.12148809523809523,0.9207567572593689
H2,clean,0.7,0.7,0.1484863945578231,0.7990997433662415
H2,clean,0.8,0.8,0.17389136904761904,0.5978569984436035
H2,clean,0.9,0.9,0.20713624338624337,0.3917470872402191
H2,clean,0.95,0.95,0.23785714285714288,0.34497690200805664
H2,clean,1.0,1.0,0.26712499999999995,0.24553005397319794
H2,leo_clear_weak,0.1,0.1,0.050000000000000044,0.9887667298316956
H2,leo_clear_weak,0.2,0.2,0.12297619047619046,0.9440447688102722
H2,leo_clear_weak,0.3,0.3,0.1730357142857143,0.8737710118293762
H2,leo_clear_weak,0.4,0.4,0.21104166666666668,0.773101270198822
H2,leo_clear_weak,0.5,0.5,0.2473333333333333,0.6544236540794373
H2,leo_clear_weak,0.6,0.6,0.2851785714285714,0.5315262675285339
H2,leo_clear_weak,0.7,0.7,0.3281207482993197,0.4273744821548462
H2,leo_clear_weak,0.8,0.8,0.3826636904761904,0.3695371747016907
H2,leo_clear_weak,0.9,0.9,0.4335582010582011,0.3312937617301941
H2,leo_clear_weak,0.95,0.95,0.45333333333333337,0.3071652948856354
H2,leo_clear_weak,1.0,1.0,0.46719047619047616,0.2421952337026596
H2,leo_low_elev_weak,0.1,0.1,0.047083333333333366,0.9868566393852234
H2,leo_low_elev_weak,0.2,0.2,0.12428571428571433,0.9275212287902832
H2,leo_low_elev_weak,0.3,0.3000059523809524,0.18061149580365465,0.8351092338562012
H2,leo_low_elev_weak,0.4,0.4,0.22352678571428575,0.7198706269264221
H2,leo_low_elev_weak,0.5,0.5,0.2632738095238095,0.5972288846969604
H2,leo_low_elev_weak,0.6,0.6,0.3040178571428571,0.4855917990207672
H2,leo_low_elev_weak,0.7,0.7,0.35225340136054417,0.40327325463294983
