method,scene,group_type,group,accuracy,closed_set_accuracy,accepted_risk,coverage,nll,brier,ece,count,accepted_count
H0,clean,by_receiver,[0],0.8145833333333333,0.8145833611488342,0.18541663885116577,1.0,2.7253055572509766,0.3640909790992737,0.1805877862861962,24000,24000
H0,clean,by_receiver,[10],0.798125,0.7981250286102295,0.2018749713897705,1.0,2.7993059158325195,0.39518114924430847,0.1956025332419813,24000,24000
H0,clean,by_receiver,[11],0.7807083333333333,0.7807083129882812,0.21929168701171875,1.0,3.31278133392334,0.4293018877506256,0.21282166669061553,24000,24000
H0,clean,by_receiver,[2],0.6245833333333334,0.6245833039283752,0.37541669607162476,1.0,5.711755752563477,0.734433650970459,0.36453728660671914,24000,24000
H0,clean,by_receiver,[5],0.8401666666666666,0.8401666879653931,0.15983331203460693,1.0,2.2340517044067383,0.3108212947845459,0.1536927804068,24000,24000
H0,clean,by_receiver,[7],0.7053333333333334,0.7053333520889282,0.2946666479110718,1.0,4.733601093292236,0.5808872580528259,0.28831591798916634,24000,24000
H0,clean,by_receiver,[9],0.7566666666666667,0.7566666603088379,0.2433333396911621,1.0,2.832045555114746,0.4642062187194824,0.2275955359909858,24000,24000
H0,clean,by_day,[1],0.796952380952381,0.7969523668289185,0.20304763317108154,1.0,2.9895451068878174,0.3968369662761688,0.1966560282842238,42000,42000
H0,clean,by_day,[2],0.7203571428571428,0.7203571200370789,0.27964287996292114,1.0,4.058269023895264,0.5446754693984985,0.2692713154492594,42000,42000
H0,clean,by_day,[3],0.7812380952380953,0.7812380790710449,0.21876192092895508,1.0,2.9964356422424316,0.42498186230659485,0.21000701096591,42000,42000
H0,clean,by_day,[0],0.741547619047619,0.7415476441383362,0.2584523558616638,1.0,3.8693764209747314,0.507175624370575,0.25155405728219193,42000,42000
H0,clean,by_class,[0],0.8961428571428571,0.896142840385437,0.10385715961456299,1.0,1.4537839889526367,0.2027330994606018,0.10042024809285977,28000,28000
H0,clean,by_class,[1],0.5524642857142857,0.5524643063545227,0.4475356936454773,1.0,6.794839382171631,0.882819414138794,0.43944705641183646,28000,28000
H0,clean,by_class,[2],0.5762857142857143,0.576285719871521,0.423714280128479,1.0,5.64053201675415,0.8123586177825928,0.3986216957346187,28000,28000
H0,clean,by_class,[3],0.6401071428571429,0.6401071548461914,0.3598928451538086,1.0,5.947764873504639,0.7132613062858582,0.3555821897225542,28000,28000
H0,clean,by_class,[4],0.9985357142857143,0.998535692691803,0.0014643073081970215,1.0,0.016195647418498993,0.002578524174168706,0.0012185534778836882,28000,28000
H0,clean,by_class,[5],0.8966071428571428,0.8966071605682373,0.1033928394317627,1.0,1.0173238515853882,0.19675390422344208,0.09602005207352704,28000,28000
H0,clean,by_receiver_day,"[0,1]",0.8395,0.8395000100135803,0.16049998998641968,1.0,2.5445969104766846,0.3162277340888977,0.15781188185428618,6000,6000
H0,clean,by_receiver_day,"[0,2]",0.9058333333333334,0.9058333039283752,0.09416669607162476,1.0,1.4733753204345703,0.1855868399143219,0.09267346617525618,6000,6000
H0,clean,by_receiver_day,"[0,3]",0.8315,0.8314999938011169,0.16850000619888306,1.0,2.3749661445617676,0.3293567895889282,0.16262427634137566,6000,6000
H0,clean,by_receiver_day,"[10,1]",0.8018333333333333,0.8018333315849304,0.19816666841506958,1.0,2.7004921436309814,0.3849674463272095,0.1904407602851279,6000,6000
H0,clean,by_receiver_day,"[10,2]",0.7226666666666667,0.7226666808128357,0.2773333191871643,1.0,4.002673625946045,0.5439963340759277,0.2697898154165159,6000,6000
H0,clean,by_receiver_day,"[10,3]",0.8675,0.8675000071525574,0.13249999284744263,1.0,1.831945776939392,0.2602044343948364,0.1299539545289008,6000,6000
H0,clean,by_receiver_day,"[11,1]",0.8148333333333333,0.8148333430290222,0.18516665697097778,1.0,2.361858606338501,0.3586398959159851,0.17721707764576422,6000,6000
H0,clean,by_receiver_day,"[11,2]",0.7366666666666667,0.7366666793823242,0.2633333206176758,1.0,3.889481544494629,0.516496479511261,0.255601987009868,6000,6000
H0,clean,by_receiver_day,"[11,3]",0.7788333333333334,0.7788333296775818,0.2211666703224182,1.0,3.5299277305603027,0.4297335147857666,0.2132278654135007,6000,6000
H0,clean,by_receiver_day,"[2,1]",0.5675,0.5674999952316284,0.4325000047683716,1.0,7.090147018432617,0.8537644743919373,0.4239879057458893,6000,6000
H0,clean,by_receiver_day,"[2,2]",0.5735,0.5734999775886536,0.42650002241134644,1.0,5.399774551391602,0.8141695857048035,0.4017667904117843,6000,6000
H0,clean,by_receiver_day,"[2,3]",0.73,0.7300000190734863,0.26999998092651367,1.0,3.917311191558838,0.5301123261451721,0.26422711764280393,6000,6000
H0,clean,by_receiver_day,"[5,1]",0.886,0.8859999775886536,0.11400002241134644,1.0,1.4166383743286133,0.22033490240573883,0.10949997216448537,6000,6000
H0,clean,by_receiver_day,"[5,2]",0.8996666666666666,0.8996666669845581,0.1003333330154419,1.0,1.2728745937347412,0.19458258152008057,0.0953943723689008,6000,6000
H0,clean,by_receiver_day,"[5,3]",0.7736666666666666,0.7736666798591614,0.22633332014083862,1.0,3.360846757888794,0.44180744886398315,0.22014741671591764,6000,6000
H0,clean,by_receiver_day,"[7,1]",0.7346666666666667,0.734666645526886,0.265333354473114,1.0,4.366152286529541,0.5226715803146362,0.2598909646112588,6000,6000
H0,clean,by_receiver_day,"[7,2]",0.4226666666666667,0.42266666889190674,0.5773333311080933,1.0,9.837991714477539,1.1453591585159302,0.570582150707196,6000,6000
H0,clean,by_receiver_day,"[7,3]",0.7666666666666667,0.7666666507720947,0.23333334922790527,1.0,3.319481134414673,0.4577057957649231,0.22619311335438397,6000,6000
