method,scene,true_class,predicted_class,count,true_class_count,row_rate
H0,leo_low_elev_weak,3,5,253,28000,0.009035713970661163
H0,leo_low_elev_weak,4,0,46,28000,0.001642857096157968
H0,leo_low_elev_weak,4,1,3512,28000,0.12542857229709625
H0,leo_low_elev_weak,4,2,43,28000,0.0015357142547145486
H0,leo_low_elev_weak,4,3,1767,28000,0.06310714036226273
H0,leo_low_elev_weak,4,4,22578,28000,0.8063571453094482
H0,leo_low_elev_weak,4,5,54,28000,0.0019285713788121939
H0,leo_low_elev_weak,5,0,60,28000,0.002142857061699033
H0,leo_low_elev_weak,5,1,478,28000,0.017071427777409554
H0,leo_low_elev_weak,5,2,308,28000,0.010999999940395355
H0,leo_low_elev_weak,5,3,61,28000,0.002178571419790387
H0,leo_low_elev_weak,5,4,2610,28000,0.09321428835391998
H0,leo_low_elev_weak,5,5,24483,28000,0.8743928670883179
H0,leo_rain_weak,0,0,12298,28000,0.439214289188385
H0,leo_rain_weak,0,1,5625,28000,0.2008928507566452
H0,leo_rain_weak,0,2,241,28000,0.008607142604887486
H0,leo_rain_weak,0,3,9352,28000,0.33399999141693115
H0,leo_rain_weak,0,4,434,28000,0.01549999974668026
H0,leo_rain_weak,0,5,50,28000,0.0017857142956927419
H0,leo_rain_weak,1,0,636,28000,0.02271428517997265
H0,leo_rain_weak,1,1,11695,28000,0.417678564786911
H0,leo_rain_weak,1,2,28,28000,0.0010000000474974513
H0,leo_rain_weak,1,3,14735,28000,0.5262500047683716
H0,leo_rain_weak,1,4,865,28000,0.030892856419086456
H0,leo_rain_weak,1,5,41,28000,0.0014642857713624835
H0,leo_rain_weak,2,0,1111,28000,0.03967856988310814
H0,leo_rain_weak,2,1,4598,28000,0.16421428322792053
H0,leo_rain_weak,2,2,10681,28000,0.38146427273750305
H0,leo_rain_weak,2,3,2219,28000,0.07925000041723251
H0,leo_rain_weak,2,4,4135,28000,0.14767856895923615
H0,leo_rain_weak,2,5,5256,28000,0.18771427869796753
H0,leo_rain_weak,3,0,2147,28000,0.0766785740852356
H0,leo_rain_weak,3,1,8766,28000,0.31307142972946167
H0,leo_rain_weak,3,2,470,28000,0.016785714775323868
H0,leo_rain_weak,3,3,15475,28000,0.5526785850524902
H0,leo_rain_weak,3,4,889,28000,0.03175000101327896
H0,leo_rain_weak,3,5,253,28000,0.009035713970661163
H0,leo_rain_weak,4,0,46,28000,0.001642857096157968
H0,leo_rain_weak,4,1,3460,28000,0.12357142567634583
H0,leo_rain_weak,4,2,56,28000,0.0020000000949949026
H0,leo_rain_weak,4,3,1678,28000,0.059928569942712784
H0,leo_rain_weak,4,4,22700,28000,0.8107143044471741
H0,leo_rain_weak,4,5,60,28000,0.002142857061699033
H0,leo_rain_weak,5,0,71,28000,0.002535714302212
H0,leo_rain_weak,5,1,408,28000,0.014571428298950195
H0,leo_rain_weak,5,2,284,28000,0.010142857208848
H0,leo_rain_weak,5,3,50,28000,0.0017857142956927419
H0,leo_rain_weak,5,4,2369,28000,0.08460713922977448
H0,leo_rain_weak,5,5,24818,28000,0.8863571286201477
H1,clean,0,0,24573,28000,0.8776071667671204
H1,clean,0,1,343,28000,0.012249999679625034
H1,clean,0,2,143,28000,0.005107142962515354
H1,clean,0,3,2931,28000,0.10467857122421265
H1,clean,0,4,7,28000,0.0002500000118743628
H1,clean,0,5,3,28000,0.00010714285599533468
H1,clean,1,0,307,28000,0.010964285582304
H1,clean,1,1,13095,28000,0.46767857670783997
H1,clean,1,2,9,28000,0.0003214285825379193
H1,clean,1,3,14557,28000,0.5198928713798523
H1,clean,1,4,28,28000,0.0010000000474974513
H1,clean,1,5,4,28000,0.0001428571413271129
H1,clean,2,0,779,28000,0.027821429073810577
H1,clean,2,1,713,28000,0.025464285165071487
H1,clean,2,2,13078,28000,0.46707141399383545
H1,clean,2,3,12182,28000,0.4350714385509491
H1,clean,2,4,25,28000,0.0008928571478463709
H1,clean,2,5,1223,28000,0.04367857053875923
H1,clean,3,0,1744,28000,0.062285713851451874
H1,clean,3,1,6481,28000,0.23146428167819977
H1,clean,3,2,16,28000,0.0005714285653084517
H1,clean,3,3,19742,28000,0.7050714492797852
H1,clean,3,4,10,28000,0.0003571428533177823
H1,clean,3,5,7,28000,0.0002500000118743628
H1,clean,4,0,3,28000,0.00010714285599533468
H1,clean,4,1,17,28000,0.0006071428651921451
H1,clean,4,2,11,28000,0.00039285715320147574
H1,clean,4,3,175,28000,0.0062500000931322575
H1,clean,4,4,27793,28000,0.9926071166992188
H1,clean,4,5,1,28000,3.571428533177823e-05
H1,clean,5,0,22,28000,0.0007857143064029515
H1,clean,5,1,8,28000,0.0002857142826542258
H1,clean,5,2,35,28000,0.0012499999720603228
H1,clean,5,3,3102,28000,0.11078571528196335
H1,clean,5,4,1567,28000,0.055964287370443344
H1,clean,5,5,23266,28000,0.8309285640716553
H1,leo_clear_weak,0,0,9707,28000,0.34667858481407166
H1,leo_clear_weak,0,1,2554,28000,0.09121428430080414
H1,leo_clear_weak,0,2,118,28000,0.004214285872876644
H1,leo_clear_weak,0,3,15609,28000,0.5574643015861511
H1,leo_clear_weak,0,4,7,28000,0.0002500000118743628
H1,leo_clear_weak,0,5,5,28000,0.00017857142665889114
H1,leo_clear_weak,1,0,134,28000,0.004785714205354452
H1,leo_clear_weak,1,1,7600,28000,0.27142858505249023
H1,leo_clear_weak,1,2,10,28000,0.0003571428533177823
H1,leo_clear_weak,1,3,20220,28000,0.7221428751945496
H1,leo_clear_weak,1,4,27,28000,0.0009642856894060969
H1,leo_clear_weak,1,5,9,28000,0.0003214285825379193
H1,leo_clear_weak,2,0,274,28000,0.00978571455925703
H1,leo_clear_weak,2,1,1157,28000,0.04132143035531044
H1,leo_clear_weak,2,2,8887,28000,0.31739285588264465
H1,leo_clear_weak,2,3,16097,28000,0.5748928785324097
H1,leo_clear_weak,2,4,199,28000,0.007107142824679613
H1,leo_clear_weak,2,5,1386,28000,0.0494999997317791
H1,leo_clear_weak,3,0,827,28000,0.02953571453690529
H1,leo_clear_weak,3,1,4340,28000,0.1550000011920929
H1,leo_clear_weak,3,2,275,28000,0.009821428917348385
