method,epoch,loss,evidence/nll,evidence/response_regularization,evidence/support_loss,evidence/support_queries,evidence/support_competing_classes,evidence/support_effective_queries,evidence/observed_fraction,evidence/outside_state_fraction,evidence/observation_active,evidence/correlation_energy,evidence/state_covariance_energy,evidence/pair_residual_energy,evidence/nll_batch_mean,evidence/response_regularization_batch_mean,evidence/support_loss_batch_mean,evidence/support_competing_classes_batch_mean,evidence/observed_fraction_batch_mean,evidence/outside_state_fraction_batch_mean,evidence/observation_active_batch_mean,evidence/correlation_energy_batch_mean,evidence/state_covariance_energy_batch_mean,evidence/pair_residual_energy_batch_mean,ce_reconstructed
H1,1,-1.2359365176672887,-14002.606994628906,0.33679064409807324,0.0,0.0,0.0,0.0,84.14015191793442,0.0,0.028816933394409716,0.0,0.0,0.0,-141.44047469322126,0.003401925697960336,0.0,0.0,0.84990052442358,0.0,0.00029108013529706786,0.0,0.0,0.0,0.17846482733922606
H1,2,-1.3478122184974979,-14453.19320678711,0.31988185946829617,0.0,0.0,0.0,0.0,84.19719690084457,0.0,0.028810213960241526,0.0,0.0,0.0,-145.99185057360717,0.003231129893619153,0.0,0.0,0.8504767363721674,0.0,0.0002910122622246619,0.0,0.0,0.0,0.11210305610868024
H1,3,-1.4210900646267515,-14947.816864013672,0.296004252275452,0.0,0.0,0.0,0.0,84.1567952632904,0.0,0.02881003642687574,0.0,0.0,0.0,-150.98804913145122,0.002989941942176283,0.0,0.0,0.8500686390231355,0.0,0.0002910104689583408,0.0,0.0,0.0,0.08878743674581865
H1,4,-1.4829887488875726,-15436.753662109375,0.2732740445062518,0.0,0.0,0.0,0.0,84.12550359964371,0.0,0.028803895693272352,0.0,0.0,0.0,-155.92680466777148,0.0027603438839015333,0.0,0.0,0.8497525616125627,0.0,0.00029094844134618537,0.0,0.0,0.0,0.07627653744625819
H1,5,-1.540300398161917,-15942.216598510742,0.2523722327314317,0.0,0.0,0.0,0.0,84.15341889858246,0.0,0.028812501928769052,0.0,0.0,0.0,-161.0324908940479,0.0025492144720346637,0.0,0.0,0.8500345343291157,0.0,0.00029103537301786923,0.0,0.0,0.0,0.07002196156408995
H1,6,-1.5981339950754185,-16436.215225219727,0.23458118736743927,0.0,0.0,0.0,0.0,84.1221832036972,0.0,0.028810319839976728,0.0,0.0,0.0,-166.02237601232048,0.002369506943105447,0.0,0.0,0.8497190222595677,0.0,0.00029101333171693665,0.0,0.0,0.0,0.062087395540842964
H1,7,-1.6465852585705845,-16928.947174072266,0.21868096105754375,0.0,0.0,0.0,0.0,84.15350276231766,0.0,0.028812607110012323,0.0,0.0,0.0,-170.99946640477037,0.002208898596540846,0.0,0.0,0.8500353814375521,0.0,0.00029103643545466993,0.0,0.0,0.0,0.06340719657852273
H1,8,-1.6990550070097952,-17403.373123168945,0.20561922434717417,0.0,0.0,0.0,0.0,84.14479780197144,0.0,0.02880778320832178,0.0,0.0,0.0,-175.79164770877722,0.0020769618620926685,0.0,0.0,0.849947452545166,0.0,0.0002909877091749675,0.0,0.0,0.0,0.05885939311611495
H1,9,-1.7484247961429635,-17892.479095458984,0.19437025184743106,0.0,0.0,0.0,0.0,84.12325739860535,0.0,0.028812341101001948,0.0,0.0,0.0,-180.73211207534328,0.0019633358772467783,0.0,0.0,0.8497298727131853,0.0,0.0002910337484949692,0.0,0.0,0.0,0.05889436127459199
H1,10,-1.7958972213244198,-18379.3896484375,0.18463908578269184,0.0,0.0,0.0,0.0,84.14644342660904,0.0,0.02881378709571436,0.0,0.0,0.0,-185.65040048926767,0.0018650412705322407,0.0,0.0,0.8499640750162529,0.0,0.0002910483545021653,0.0,0.0,0.0,0.06060491852698657
