method,scene,accuracy,closed_set_accuracy,accepted_risk,coverage,nll,brier,ece,count,accepted_count,rx_floor,class_floor,rx_class_floor,prediction_seconds,mean_seconds_per_row,artifact_bytes,timing_scope,rescue_count,harm_count,prediction_change_count,raw_score_delta_mean,raw_true_class_margin_delta_mean,raw_scale_warning
H0,clean,0.7600238095238095,0.760023832321167,0.239976167678833,1.0,3.4784066677093506,0.4684174954891205,0.2318704624435668,168000,168000,0.6245833039283752,0.5524643063545227,0.017750000581145287,72.68927576905116,0.00043267426053006646,10249728,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",,,,,,
H0,leo_clear_weak,0.5942321428571429,0.5942321419715881,0.40576785802841187,1.0,5.3463454246521,0.7844391465187073,0.3860452661817817,168000,168000,0.4013333320617676,0.3995357155799866,0.05274999886751175,318.7397650689818,0.001897260506362987,10250056,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",,,,,,
H0,leo_low_elev_weak,0.5779345238095238,0.5779345035552979,0.42206549644470215,1.0,5.379012584686279,0.8104888200759888,0.39799583603007704,168000,168000,0.4065416753292084,0.38178572058677673,0.03849999979138374,283.19460345292464,0.0016856821634102658,10250080,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",,,,,,
H0,leo_rain_weak,0.5813511904761904,0.5813511610031128,0.4186488389968872,1.0,5.323252201080322,0.8038849234580994,0.3940759485667513,168000,168000,0.41449999809265137,0.38146427273750305,0.04699999839067459,271.1923272907734,0.0016142400433974606,10250048,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",,,,,,
H1,clean,0.677404761904762,0.7234940528869629,0.19824153184890747,0.8448988095238095,0.8837153315544128,0.4016949534416199,0.11877243891103717,168000,141943,0.5889999866485596,0.46707141399383545,0.09300000220537186,448.209090127144,0.0026679112507568097,15794350,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",2561,8698,19694,260.228271484375,1.8427481651306152,logit scales differ; rescue/harm are decision comparisons
H1,leo_clear_weak,0.44092857142857145,0.5191964507102966,0.34961146116256714,0.6779464285714286,1.3866876363754272,0.6331951022148132,0.17021063198990305,168000,113895,0.33645832538604736,0.27142858505249023,0.016249999403953552,643.1259200070053,0.0038281304762321747,15794897,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",6225,18831,43569,266.8334045410156,-1.3827604055404663,logit scales differ; rescue/harm are decision comparisons
H1,leo_low_elev_weak,0.4113095238095238,0.49818453192710876,0.3588078022003174,0.6414761904761904,1.4338735342025757,0.6503018736839294,0.16846674461385192,168000,107768,0.34037500619888306,0.25842857360839844,0.010250000283122063,620.7412457787432,0.003694888367730614,15794930,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",6947,20345,47419,267.0179138183594,-1.3740153312683105,logit scales differ; rescue/harm are decision comparisons
H1,leo_rain_weak,0.4136369047619048,0.5022976398468018,0.35309064388275146,0.6394047619047619,1.4157636165618896,0.6445336937904358,0.164335160677183,168000,107420,0.3448750078678131,0.25739285349845886,0.01075000036507845,497.5046157082543,0.0029613369982634183,15794886,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",7258,20539,47901,266.99761962890625,-1.3957159519195557,logit scales differ; rescue/harm are decision comparisons
H2,clean,0.686952380952381,0.7328749895095825,0.18423432111740112,0.8420952380952381,0.9684292078018188,0.39263540506362915,0.10827391311977408,168000,141472,0.5949583053588867,0.4457857012748718,0.10074999928474426,463.1958755510859,0.002757118306851702,15794350,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",2352,6913,18010,281.85797119140625,-4.053321361541748,logit scales differ; rescue/harm are decision comparisons
H2,leo_clear_weak,0.44151190476190477,0.5328094959259033,0.29376256465911865,0.6251607142857143,1.4135558605194092,0.6132192611694336,0.12105863390024751,168000,105027,0.35712501406669617,0.23485714197158813,0.029500000178813934,621.0488922693767,0.003696719596841528,15794897,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",4659,14978,38619,283.85943603515625,-2.825981855392456,logit scales differ; rescue/harm are decision comparisons
H2,leo_low_elev_weak,0.4099047619047619,0.5135892629623413,0.2957034707069397,0.5820059523809524,1.4424388408660889,0.629578709602356,0.11498480386580923,168000,97777,0.36033332347869873,0.21596428751945496,0.02174999937415123,539.6372505179606,0.003212126491178337,15794930,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",5203,16013,42621,283.88470458984375,-2.5678043365478516,logit scales differ; rescue/harm are decision comparisons
H2,leo_rain_weak,0.41276785714285713,0.5167976021766663,0.2890171408653259,0.5805595238095238,1.4303535223007202,0.6245346069335938,0.11143695833015954,168000,97534,0.3687500059604645,0.2151428610086441,0.022749999538064003,532.5631045089103,0.0031700184792197044,15794886,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",5336,16181,43077,283.86566162109375,-2.628209352493286,logit scales differ; rescue/harm are decision comparisons
H3,clean,0.6066488095238095,0.706595242023468,0.18882369995117188,0.7478630952380952,1.0224268436431885,0.4174903631210327,0.14417584268846895,168000,125641,0.5642499923706055,0.31385713815689087,0.09974999725818634,524.1147757526487,0.0031197308080514806,15794350,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",4620,13596,27753,274.2343444824219,6.550543308258057,logit scales differ; rescue/harm are decision comparisons
H3,leo_clear_weak,0.3151904761904762,0.4851726293563843,0.37648510932922363,0.5055059523809524,1.6113221645355225,0.6959178447723389,0.23478961235036877,168000,84925,0.35904166102409363,0.09396428614854813,0.00774999987334013,718.8584103258327,0.004278919109082337,15794897,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",10206,28528,62308,288.6825866699219,-2.0314550399780273,logit scales differ; rescue/harm are decision comparisons
H3,leo_low_elev_weak,0.3021845238095238,0.46351784467697144,0.3828620910644531,0.4896547619047619,1.6303919553756714,0.7112780213356018,0.23296479844429996,168000,82262,0.35120832920074463,0.07457143068313599,0.009499999694526196,725.7006193720736,0.00431964654388139,15794930,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",10892,30114,66338,289.4234924316406,-2.136878252029419,logit scales differ; rescue/harm are decision comparisons
H3,leo_rain_weak,0.30432738095238093,0.46663689613342285,0.37763088941574097,0.48898214285714287,1.6267691850662231,0.7083997130393982,0.23251341692957794,168000,82149,0.35837501287460327,0.07296428829431534,0.009499999694526196,717.3380666309968,0.004269869444232123,15794886,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",11263,30535,67167,289.37884521484375,-2.2258737087249756,logit scales differ; rescue/harm are decision comparisons
