epoch,stage_phase,lr,epoch_time_s,train_loss,train_tx_acc,val_tx_acc,best_val_tx,stage_source_val_sat_mean_tx,stage_source_val_sat_floor_tx,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,train_concat_sat_applied,train_concat_sat_view_prob,train_loss_tx_labeled,train_loss_domain_labeled,train_loss_adv_labeled,train_loss_cons_labeled,train_loss_orth_labeled,train_loss_fishr_labeled,train_loss_group_ce_labeled,train_loss_proto_labeled,train_loss_open_world_feat,train_loss_zid_compact,train_loss_proxy_unknown,train_loss_soft_unknown_mixup,train_loss_source_episode,train_loss_sat_cls_labeled,train_loss_sat_cons_labeled,train_loss_unlabeled,train_pseudo_selected,train_pseudo_total,train_pseudo_correct
1,S1_core,0.0002,88.48612332344055,16.930914353351202,0.0,31.362962962962964,31.362962962962964,25.623456790123456,24.762962962962963,0.02040816326530612,0.0,0.3469387755102041,0.30000000000000027,12.512151640288684,2.714809009007045,2.718823257757693,0.0,0.0005341014083550901,0.013425814539042055,12.95465699020697,0.2872145299096497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S1_core,0.0002,86.18128561973572,16.317328530914928,0.0,40.12222222222222,40.12222222222222,34.816049382716045,34.24444444444445,0.0,0.0,0.40816326530612246,0.30000000000000027,12.017852413411044,2.6487672182978415,2.7097000978430925,0.0,0.0006428932657047194,0.013061648652869828,12.318604994793327,0.25167064186261623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S1_core,0.0002,85.11605405807495,15.29393482208252,0.8450255102040817,50.681481481481484,50.681481481481484,38.27407407407407,37.78888888888889,0.0,0.0,0.24489795918367346,0.30000000000000027,11.299820393932109,2.3703443663460866,2.707285978356186,0.0,0.0010412444873731963,0.01367684984009485,11.988535005219129,0.2590541733162744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S1_core,0.0002,83.88361883163452,13.508576432052923,11.144770408163266,65.02962962962962,65.02962962962962,35.886419753086415,35.525925925925925,0.0,0.0,0.30612244897959184,0.30000000000000027,9.81732533902538,2.122494174509632,2.7059596266065324,0.0,0.0008118979784907127,0.013216810738097648,11.304327108422104,0.28181419384722806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,S1_core,0.0002,85.35904836654663,11.808355798526685,21.715561224489797,72.13703703703703,72.13703703703703,35.3604938271605,34.522222222222226,0.0,0.0,0.2653061224489796,0.30000000000000027,8.341500058466075,1.9762993223813115,2.704388594140812,0.0,0.0006632172331518056,0.01328385022601911,10.330439645416883,0.31187599289173984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S1_core,0.0002,85.48623394966125,11.339281140541544,26.913265306122447,82.58518518518518,82.58518518518518,38.20987654320987,37.403703703703705,0.04081632653061224,0.0,0.2653061224489796,0.30000000000000027,7.9425816438636,1.9277559689113073,2.6990601481223595,0.0,0.0006251675742013114,0.012842116117173312,10.076008757766413,0.33242224856298797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,S1_core,0.0002,85.51473546028137,10.365068727610062,31.505102040816325,83.94814814814815,83.94814814814815,38.46666666666667,37.92962962962963,0.0,0.0,0.3877551020408163,0.30000000000000027,7.112441598152627,1.8360291816750351,2.696866507432899,0.0,0.0006186475559156768,0.01349940361949254,9.427749468355763,0.3407439936180504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S1_core,0.0002,86.6475419998169,9.678258448230977,37.10140306122449,81.51481481481481,83.94814814814815,38.764197530864195,38.114814814814814,0.0,0.0,0.22448979591836735,0.30000000000000027,6.543632575443813,1.7516812572673874,2.6923855372837613,0.0,0.0006070964190424705,0.012816974617616862,8.99414673630072,0.35323349979459023,0.0,1.6564936808177404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,S1_core,0.0002,86.4311420917511,9.213804157412781,40.704719387755105,87.49259259259259,87.49259259259259,38.09382716049383,37.766666666666666,0.0,0.0,0.22448979591836735,0.30000000000000027,6.107879156969031,1.7673302596929121,2.6891113933251827,0.0,0.0006123951503208705,0.011342147165643317,8.423580150214994,0.3700501578194754,0.0,1.6495751604741933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S1_core,0.0002,87.56196331977844,8.47603027188048,46.922831632653065,87.9,87.9,40.36172839506173,39.77037037037037,0.0,0.0,0.30612244897959184,0.30000000000000027,5.478175518464069,1.679141292766649,2.6873117806960125,0.0,0.000640411766207948,0.010783676381165884,8.152986798967634,0.3792997531744899,0.0,1.6724222995796982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
