comparison,seed,clean_delta_pp,leo_delta_pp
EG_ADV0_LR4e-4_minus_LR2e-4,392005,-2.540476190476182,-1.2545634920634874
EG_ADV0_LR4e-4_minus_LR2e-4,392006,-0.02083333333333659,2.032142857142849
EG_ADV0_LR4e-4_minus_LR2e-4,392007,4.955952380952377,4.753968253968244
EG_ADV035_LR4e-4_minus_LR2e-4,392005,-0.8702380952380961,2.121428571428585
EG_ADV035_LR4e-4_minus_LR2e-4,392006,1.019642857142855,2.024206349206348
EG_ADV035_LR4e-4_minus_LR2e-4,392007,0.5702380952380959,4.282539682539688
HIGH_ADV035_minus_ADV0,392005,1.2660714285714247,2.663492063492068
HIGH_ADV035_minus_ADV0,392006,2.405952380952381,1.0492063492063552
HIGH_ADV035_minus_ADV0,392007,1.105357142857144,0.2863095238095248
