run_id,method,seed,scene,scope,group,tx,count,accuracy_pct,macro_f1_pct,macro_recall_pct
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,9,5,4000,47.199999999999996,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver,10,,24000,82.90833333333333,82.7050710025496,82.90833333333333
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,0,4000,99.825,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,1,4000,68.625,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,2,4000,80.55,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,3,4000,48.575,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,4,4000,99.97500000000001,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,10,5,4000,99.9,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver,11,,24000,79.59583333333333,77.85844153873258,79.59583333333335
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,0,4000,91.64999999999999,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,1,4000,54.474999999999994,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,2,4000,31.924999999999997,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,3,4000,99.65,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,4,4000,99.97500000000001,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,receiver_tx,11,5,4000,99.9,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day,0,,42000,73.8404761904762,73.28305286730058,73.8404761904762
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,0,7000,86.22857142857143,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,1,7000,34.07142857142857,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,2,7000,64.58571428571429,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,3,7000,68.60000000000001,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,4,7000,98.75714285714285,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,0,5,7000,90.8,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day,1,,42000,80.28095238095239,80.08562238759322,80.28095238095237
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,0,7000,94.11428571428571,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,1,7000,51.271428571428565,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,2,7000,84.08571428571429,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,3,7000,61.728571428571435,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,4,7000,98.94285714285715,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,1,5,7000,91.54285714285714,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day,2,,42000,73.73333333333333,73.11566057097926,73.73333333333333
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,0,7000,98.41428571428571,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,1,7000,41.457142857142856,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,2,7000,57.41428571428572,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,3,7000,56.25714285714286,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,4,7000,99.71428571428571,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,2,5,7000,89.14285714285714,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day,3,,42000,75.27619047619048,74.48008156178379,75.27619047619048
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,0,7000,90.04285714285714,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,1,7000,40.91428571428571,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,2,7000,49.44285714285714,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,3,7000,80.80000000000001,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,4,7000,99.94285714285715,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,clean,day_tx,3,5,7000,90.51428571428572,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall,all,,168000,64.46845238095239,64.28897390215677,64.46845238095239
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,0,28000,64.2,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,1,28000,28.935714285714287,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,2,28000,47.753571428571426,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,3,28000,64.74285714285715,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,4,28000,93.2,,
V2_EG_HIGH_ADV0_seed392005,V2_EG_HIGH_ADV0,392005,leo_clear_weak,overall_tx,all,5,28000,87.97857142857143,,
