run,row,epoch,kind,records,score_path,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,worst_scene
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X0_A1_RUNTIME/target_prediction/score.json,78.46964285714286,69.19999999999999,67.51071428571429,67.66309523809524,68.12460317460317,67.51071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X1_CROSS_RX_CLEAN/target_prediction/score.json,79.1327380952381,69.67023809523809,67.83214285714286,68.04761904761905,68.51666666666667,67.83214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X2_CROSS_RX_VIEWS/target_prediction/score.json,78.42023809523809,69.27678571428572,67.64345238095238,67.7017857142857,68.20734126984127,67.64345238095238
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X3_WARM_EMA/target_prediction/score.json,78.73392857142856,69.45595238095238,67.69940476190476,67.95238095238095,68.36924603174603,67.69940476190476
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X4_COVERAGE_KL/target_prediction/score.json,78.4297619047619,68.88511904761904,67.23928571428571,67.4375,67.85396825396826,67.23928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X5_BALANCED_L/target_prediction/score.json,78.25,65.4029761904762,64.03928571428571,64.10357142857143,64.51527777777778,64.03928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X6_BOUNDED_DOMAIN/target_prediction/score.json,78.73154761904762,68.27559523809525,66.46666666666667,66.54464285714286,67.09563492063494,66.46666666666667
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,672000,runs/a1_ecrs_cross_rx_s392005_20260909_r1/X7_COMBINED/target_prediction/score.json,75.99761904761905,65.05833333333332,63.463095238095235,63.774404761904755,64.09861111111111,63.463095238095235
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,672000,runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_FAST_SEQUENTIAL/target_prediction/score.json,76.62142857142857,68.92023809523809,66.93452380952381,67.16726190476192,67.67400793650795,66.93452380952381
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,672000,runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_REFERENCE/target_prediction/score.json,76.73392857142856,68.88988095238095,66.9327380952381,67.07738095238095,67.63333333333333,66.9327380952381
a1_fast_v2_s392005_20260909_r1,F0_FIXED_BASE,200,final,672000,runs/a1_fast_v2_s392005_20260909_r1/F0_FIXED_BASE/target_prediction/score.json,79.84642857142858,69.28214285714286,67.46011904761905,67.61011904761904,68.11746031746031,67.46011904761905
a1_fast_v2_s392005_20260909_r1,F1_RUNTIME,200,final,672000,runs/a1_fast_v2_s392005_20260909_r1/F1_RUNTIME/target_prediction/score.json,78.93571428571428,69.05714285714286,67.22440476190476,67.4047619047619,67.89543650793651,67.22440476190476
a1_fast_v2_s392005_20260909_r1,F2_WARM_EMA,200,final,672000,runs/a1_fast_v2_s392005_20260909_r1/F2_WARM_EMA/target_prediction/score.json,78.86071428571428,69.14345238095238,67.51547619047619,67.59880952380952,68.0859126984127,67.51547619047619
a1_fast_v2_s392005_20260909_r1,F3_COVERAGE_KL,200,final,672000,runs/a1_fast_v2_s392005_20260909_r1/F3_COVERAGE_KL/target_prediction/score.json,78.90238095238095,68.33869047619048,66.56369047619047,66.87083333333334,67.2577380952381,66.56369047619047
a1_mechanism_periodic_s392005_20260910_r1,B0_FIXED,80,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B0_FIXED/target_epochs/E080/score.json,78.33511904761905,63.2,60.823214285714286,61.25000000000001,61.757738095238096,60.823214285714286
a1_mechanism_periodic_s392005_20260910_r1,B0_FIXED,90,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B0_FIXED/target_epochs/E090/score.json,77.65654761904763,66.24761904761904,64.17500000000001,63.99345238095238,64.80535714285715,63.99345238095238
a1_mechanism_periodic_s392005_20260910_r1,B1_TAIL_LR,80,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B1_TAIL_LR/target_epochs/E080/score.json,79.05238095238096,63.35654761904762,60.9547619047619,61.38392857142857,61.8984126984127,60.9547619047619
a1_mechanism_periodic_s392005_20260910_r1,B1_TAIL_LR,90,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B1_TAIL_LR/target_epochs/E090/score.json,79.06607142857143,64.46011904761905,62.596428571428575,62.65952380952381,63.23869047619048,62.596428571428575
a1_mechanism_periodic_s392005_20260910_r1,B2_RC4_WEIGHT,80,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B2_RC4_WEIGHT/target_epochs/E080/score.json,78.40416666666667,62.11904761904762,59.7125,60.18392857142857,60.6718253968254,59.7125
a1_mechanism_periodic_s392005_20260910_r1,B2_RC4_WEIGHT,90,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/B2_RC4_WEIGHT/target_epochs/E090/score.json,79.24940476190476,66.7,64.40535714285714,64.52440476190476,65.20992063492064,64.40535714285714
a1_mechanism_periodic_s392005_20260910_r1,D0_NO_ORBIT,80,periodic,672000,runs/a1_mechanism_periodic_s392005_20260910_r1/D0_NO_ORBIT/target_epochs/E080/score.json,79.81845238095238,56.107142857142854,53.89404761904761,53.99583333333333,54.6656746031746,53.89404761904761
