run,row,epoch,kind,scenario,class,accuracy_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,clean,4,99.80714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,clean,5,90.625
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,0,72.65714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,1,34.035714285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,2,62.96785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,3,62.925
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,4,94.62857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_clear_weak,5,82.43928571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,0,71.71428571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,1,32.31071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,2,58.80357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,3,59.29642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,4,93.09285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_low_elev_weak,5,83.58214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,0,72.39642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,1,33.035714285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,2,59.07142857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,3,57.67142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,4,92.89642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,200,final,leo_rain_weak,5,84.19642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,0,92.625
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,1,40.85714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,2,71.07857142857142
