run,row,epoch,epoch_time_s,train_time_periodic_target_seconds,train_loss,val_tx_acc,stage_source_val_sat_mean_tx,train_optimizer_step_applied,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,lr
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,1,121.96249651908875,,17.653761666100305,39.42962962962963,31.864197530864192,0.9954954954954955,0.0045045045045045045,0.0,4e-05
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,2,111.44477438926697,,15.48770438443433,72.21111111111111,34.72345679012346,1.0,0.0,0.0,8e-05
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,3,113.18396711349487,,11.3178132460998,86.38148148148149,36.282716049382714,0.990990990990991,0.009009009009009009,0.0,0.00012
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,4,111.66311049461365,,8.136580497294933,90.68518518518519,35.641975308641975,1.0,0.0,0.0,0.00016
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,5,111.92961120605469,,7.042979009516604,93.61481481481482,36.59753086419753,0.9954954954954955,0.0045045045045045045,0.0,0.0002
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,6,109.44258308410645,,6.080248184032269,94.81481481481481,36.33456790123457,1.0,0.0,0.0,0.0002
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,7,114.24812197685242,,5.194854820096815,94.54074074074074,36.72592592592593,1.0,0.0,0.0,0.0001999812735370286
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,8,115.28032183647156,,5.59840135746174,95.55925925925926,39.20493827160494,1.0,0.0,0.0,0.00019992510194101246
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,9,114.40868926048279,,5.206565671138935,95.58518518518518,42.760493827160495,1.0,0.0,0.0,0.00019983150858740302
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,10,116.86616063117981,,4.89275899126723,95.81481481481481,43.382716049382715,1.0,0.0,0.0,0.0001997005324244774
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,11,115.05723643302917,,4.9395275062268915,96.02962962962962,45.67901234567901,1.0,0.0,0.0,0.00019953222795713037
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,12,141.9991898536682,,4.947221954663594,96.45925925925926,46.44567901234567,1.0,0.0,0.0,0.0001993266652241925
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,13,142.16141366958618,,4.908048082042384,96.95555555555555,46.55308641975309,1.0,0.0,0.0,0.00019908392976928396
