arm,receiver,count,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_new,joint_score,old_acc_std,old_acc_min,old_acc_max,seen_new_acc_std,seen_new_acc_min,seen_new_acc_max,H_old_new_std,H_old_new_min,H_old_new_max
full_legacy_oracle,20-1,25,0.7932222222222223,0.9406666666666667,0.8583839694657969,-0.0066666666666666706,0.7932222222222223,0.8640909527848953,0.08183120235590055,0.5888888888888889,0.9111111111111111,0.03832028763519979,0.85,0.9833333333333334,0.0630163960406706,0.7092339334873272,0.9457972697146456
full_legacy_oracle,3-19,25,0.7144444444444444,0.8,0.7519996741629762,-0.002666666666666671,0.7128888888888889,0.7554813728691403,0.07351828528743673,0.5361111111111111,0.8305555555555554,0.0767390962214756,0.6833333333333332,0.9333333333333332,0.07230078442531444,0.5997006098923907,0.8711523887651861
full_legacy_oracle,7-14,25,0.9102222222222222,0.9753333333333333,0.9409148765778446,-0.002444444444444448,0.9069999999999999,0.9421568107111333,0.022685721837945566,0.8472222222222223,0.9444444444444443,0.044998765415163226,0.7666666666666666,1.0,0.031852020682389424,0.8017174082747854,0.9712118730550691
full_legacy_oracle,7-7,25,0.8615555555555555,0.982,0.9159831579938149,-0.0036666666666666653,0.8615555555555555,0.9198462378497902,0.05427229018091534,0.7166666666666668,0.9250000000000002,0.03297136805034198,0.85,1.0,0.04418791267914942,0.7987523205879418,0.9610259805162354
full_legacy_oracle,8-8,25,0.867,0.9706666666666667,0.9151429833292184,-0.0004444444444444385,0.867,0.9176032166652951,0.04025627778663307,0.7555555555555555,0.9166666666666666,0.029918407563089187,0.8833333333333333,1.0,0.034030491914241255,0.8247046106654224,0.9564691338541257
singleview_fft96,20-1,25,0.7457777777777779,0.7033333333333333,0.7201557563694603,0.034555555555555555,0.6908888888888889,0.7230889558268571,0.12125913482199094,0.43333333333333335,0.8972222222222223,0.10538289973024825,0.48333333333333334,0.8583333333333334,0.11032000814342795,0.5110046671579465,0.8603516735645664
singleview_fft96,3-19,25,0.5765555555555555,0.428,0.47973883420972363,0.06566666666666666,0.42644444444444446,0.4947647965884264,0.08850639929434131,0.3527777777777778,0.7000000000000001,0.09216169365727703,0.18333333333333335,0.5916666666666667,0.08697215303760895,0.2630975452196382,0.628857722249442
singleview_fft96,7-14,25,0.8595555555555555,0.735,0.7858016033491724,0.023555555555555555,0.7322222222222223,0.793452386301576,0.052305371156811914,0.6833333333333332,0.9277777777777777,0.12454361128179606,0.4666666666666666,0.875,0.0899591346366812,0.5894071444183742,0.8939822921416628
singleview_fft96,7-7,25,0.8141111111111111,0.6756666666666666,0.7317370127486547,0.04033333333333333,0.6713333333333332,0.7405049301754775,0.11437408840627072,0.41944444444444445,0.9416666666666668,0.14333178293735133,0.35000000000000003,0.8916666666666666,0.1263234728570847,0.3790024101194314,0.8730864211207221
singleview_fft96,8-8,25,0.7602222222222222,0.69,0.7108005829221119,0.042111111111111106,0.6783333333333332,0.7203409350481114,0.07660109917658967,0.5944444444444444,0.8722222222222222,0.15434449203720302,0.2916666666666667,0.9,0.12689023819588421,0.3733971291866029,0.865148742301301
