arm,experiment_id,receiver,seed,k_shot,old_acc_candidate,old_acc_baseline,delta_old_acc,seen_new_acc_candidate,seen_new_acc_baseline,delta_seen_new_acc,H_old_new_candidate,H_old_new_baseline,delta_H_old_new
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k1_seed713101,20-1,713101,1,0.6444444444444444,0.5888888888888889,0.05555555555555547,0.48333333333333334,0.3333333333333333,0.15000000000000002,0.5432385520229218,0.3940886697616723,0.14914988226124953
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k10_seed713101,20-1,713101,10,0.8555555555555555,0.7111111111111111,0.14444444444444438,0.7999999999999999,0.65,0.1499999999999999,0.8262300849374279,0.6778575125064689,0.14837257243095903
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k2_seed713101,20-1,713101,2,0.7416666666666667,0.5888888888888889,0.1527777777777778,0.6749999999999999,0.3666666666666667,0.30833333333333324,0.7046652232826677,0.438260738298291,0.2664044849843767
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k20_seed713101,20-1,713101,20,0.8888888888888888,0.7000000000000001,0.18888888888888877,0.8250000000000001,0.7083333333333334,0.1166666666666667,0.8545755070717344,0.702837333664967,0.15173817340676732
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k5_seed713101,20-1,713101,5,0.7944444444444444,0.6416666666666667,0.15277777777777768,0.7583333333333334,0.65,0.10833333333333339,0.7740353817504655,0.6436309392746445,0.13040444247582095
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k1_seed713102,20-1,713102,1,0.6333333333333334,0.5361111111111111,0.09722222222222232,0.5750000000000001,0.4833333333333334,0.09166666666666667,0.5990210816833897,0.5069663422600771,0.09205473942331266
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k10_seed713102,20-1,713102,10,0.8194444444444443,0.6555555555555556,0.16388888888888875,0.8583333333333334,0.7333333333333334,0.125,0.838416786312515,0.6912805311894634,0.14713625512305162
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k2_seed713102,20-1,713102,2,0.6444444444444445,0.5222222222222223,0.12222222222222223,0.6,0.4416666666666667,0.15833333333333327,0.6209624546527384,0.47705598682662903,0.14390646782610933
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k20_seed713102,20-1,713102,20,0.8638888888888889,0.6805555555555555,0.18333333333333346,0.8583333333333334,0.7416666666666666,0.11666666666666681,0.8603516735645664,0.7094683590408186,0.1508833145237478
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k5_seed713102,20-1,713102,5,0.7583333333333334,0.6055555555555555,0.1527777777777779,0.7583333333333333,0.6750000000000002,0.08333333333333315,0.7573928258747605,0.6364785963165754,0.1209142295581851
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k1_seed713103,20-1,713103,1,0.43333333333333335,0.2638888888888889,0.16944444444444445,0.625,0.6333333333333333,-0.008333333333333304,0.5110046671579465,0.3660136818279529,0.14499098532999355
