left_arm,right_arm,receiver,seed,k_shot,old_acc_full_legacy_oracle,old_acc_singleview_fft96,delta_old_acc,seen_new_acc_full_legacy_oracle,seen_new_acc_singleview_fft96,delta_seen_new_acc,H_old_new_full_legacy_oracle,H_old_new_singleview_fft96,delta_H_old_new
full_legacy_oracle,singleview_fft96,20-1,713101,1,0.5888888888888889,0.6444444444444444,-0.05555555555555547,0.9,0.48333333333333334,0.4166666666666667,0.7092339334873272,0.5432385520229218,0.1659953814644054
full_legacy_oracle,singleview_fft96,20-1,713101,2,0.7138888888888889,0.7416666666666667,-0.02777777777777779,0.9499999999999998,0.6749999999999999,0.2749999999999999,0.8146607778186725,0.7046652232826677,0.10999555453600485
full_legacy_oracle,singleview_fft96,20-1,713101,5,0.8027777777777777,0.7944444444444444,0.008333333333333304,0.9666666666666667,0.7583333333333334,0.20833333333333326,0.8763937028915455,0.7740353817504655,0.10235832114108001
full_legacy_oracle,singleview_fft96,20-1,713101,10,0.8250000000000001,0.8555555555555555,-0.030555555555555447,0.9666666666666667,0.7999999999999999,0.16666666666666674,0.8893938591380194,0.8262300849374279,0.0631637742005915
full_legacy_oracle,singleview_fft96,20-1,713101,20,0.8416666666666668,0.8888888888888888,-0.047222222222222054,0.9833333333333334,0.8250000000000001,0.15833333333333333,0.906074332864149,0.8545755070717344,0.051498825792414604
full_legacy_oracle,singleview_fft96,20-1,713102,1,0.75,0.6333333333333334,0.11666666666666659,0.8666666666666666,0.5750000000000001,0.2916666666666665,0.8037179753702383,0.5990210816833897,0.2046968936868485
full_legacy_oracle,singleview_fft96,20-1,713102,2,0.7555555555555555,0.6444444444444445,0.11111111111111105,0.9500000000000001,0.6,0.3500000000000001,0.8412174766813942,0.6209624546527384,0.22025502202865588
full_legacy_oracle,singleview_fft96,20-1,713102,5,0.8472222222222222,0.7583333333333334,0.0888888888888888,0.9666666666666667,0.7583333333333333,0.20833333333333337,0.9016999921317771,0.7573928258747605,0.14430716625701656
full_legacy_oracle,singleview_fft96,20-1,713102,10,0.8972222222222221,0.8194444444444443,0.07777777777777783,0.9666666666666667,0.8583333333333334,0.10833333333333328,0.9301464532531242,0.838416786312515,0.09172966694060913
full_legacy_oracle,singleview_fft96,20-1,713102,20,0.9111111111111111,0.8638888888888889,0.047222222222222165,0.9833333333333334,0.8583333333333334,0.125,0.9457972697146456,0.8603516735645664,0.08544559615007918
full_legacy_oracle,singleview_fft96,20-1,713103,1,0.6805555555555557,0.43333333333333335,0.24722222222222234,0.9,0.625,0.275,0.7734627099922271,0.5110046671579465,0.26245804283428065
full_legacy_oracle,singleview_fft96,20-1,713103,2,0.7361111111111112,0.6,0.13611111111111118,0.9333333333333332,0.6083333333333333,0.32499999999999996,0.8229618814141851,0.6014288905986839,0.22153299081550126
full_legacy_oracle,singleview_fft96,20-1,713103,5,0.7666666666666667,0.775,-0.008333333333333304,0.9499999999999998,0.6999999999999998,0.25,0.8480909090909091,0.7328607747122694,0.11523013437863971
full_legacy_oracle,singleview_fft96,20-1,713103,10,0.8416666666666667,0.8305555555555556,0.011111111111111072,0.9333333333333332,0.7666666666666666,0.16666666666666663,0.8848464412112494,0.7965678824721377,0.08827855873911172
full_legacy_oracle,singleview_fft96,20-1,713103,20,0.9111111111111111,0.8805555555555555,0.030555555555555558,0.9833333333333334,0.8333333333333334,0.15000000000000002,0.9455620012876317,0.8561254836926478,0.08943651759498383
full_legacy_oracle,singleview_fft96,20-1,713104,1,0.6833333333333332,0.5361111111111111,0.14722222222222214,0.8833333333333333,0.6083333333333333,0.275,0.7670459770114942,0.5689948049231198,0.19805117208837442
full_legacy_oracle,singleview_fft96,20-1,713104,2,0.7305555555555556,0.6833333333333332,0.04722222222222239,0.8833333333333333,0.6749999999999999,0.20833333333333337,0.7992836783678369,0.679028841061197,0.12025483730663988
full_legacy_oracle,singleview_fft96,20-1,713104,5,0.8055555555555555,0.7388888888888889,0.06666666666666654,0.9333333333333332,0.7083333333333334,0.22499999999999987,0.8645385329693283,0.7230808987760207,0.1414576341933076
full_legacy_oracle,singleview_fft96,20-1,713104,10,0.8083333333333332,0.8027777777777777,0.005555555555555536,0.9499999999999998,0.7583333333333333,0.19166666666666654,0.8732741651532363,0.7797604197604198,0.09351374539281654
