arm,k_shot,count,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_new,joint_score,old_acc_std,old_acc_min,old_acc_max,seen_new_acc_std,seen_new_acc_min,seen_new_acc_max,H_old_new_std,H_old_new_min,H_old_new_max
full_legacy_oracle,1,25,0.7502222222222222,0.8786666666666666,0.8043500162284447,-0.0041111111111111105,0.747,0.8110796350391112,0.10762566585446652,0.5361111111111111,0.9249999999999999,0.10225458424931376,0.6833333333333332,1.0,0.10021567303512599,0.5997006098923907,0.9453741691314441
full_legacy_oracle,10,25,0.8626666666666667,0.9620000000000001,0.9087701292532995,-0.002111111111111114,0.8626666666666667,0.9111455986399887,0.060645091808767385,0.7333333333333334,0.9277777777777777,0.05528109984434103,0.7666666666666666,1.0,0.05691876648567528,0.7599644146605474,0.9623136692135645
full_legacy_oracle,2,25,0.8054444444444445,0.9186666666666666,0.8569206349066028,-0.0021111111111111157,0.8054444444444445,0.8603439153392379,0.08717967823005712,0.6416666666666666,0.9277777777777777,0.08670768260207526,0.7333333333333334,1.0,0.08416912230064073,0.67990218367905,0.9546482316517535
full_legacy_oracle,20,25,0.8854444444444444,0.9653333333333333,0.9231540411450736,-0.004888888888888888,0.885,0.9246439396409505,0.04789572005931218,0.7777777777777777,0.9444444444444443,0.05655282682786266,0.7833333333333333,1.0,0.05068042216915913,0.7886647651196329,0.9712118730550691
full_legacy_oracle,5,25,0.8426666666666667,0.9440000000000001,0.8892298399962304,-0.002666666666666666,0.8415555555555555,0.8919655022209657,0.06529552950118028,0.7138888888888889,0.9277777777777777,0.07301141463269058,0.7166666666666667,1.0,0.06669940039879613,0.7294341933149647,0.9546772522899132
singleview_fft96,1,25,0.628,0.48133333333333334,0.5269795768726724,0.06955555555555555,0.4665555555555556,0.5454376367353353,0.14096431559655423,0.3527777777777778,0.8666666666666667,0.1236994565693623,0.18333333333333335,0.75,0.11485421652928463,0.2630975452196382,0.714164226177067
singleview_fft96,10,25,0.8135555555555556,0.7366666666666667,0.768851378869322,0.024222222222222214,0.7316666666666667,0.7730245336971814,0.10010278668066423,0.5944444444444444,0.9222222222222222,0.1362799406450642,0.3833333333333333,0.8666666666666667,0.1197105806066687,0.47369114771661985,0.8798781439181177
singleview_fft96,2,25,0.7,0.572,0.620138322984697,0.061000000000000006,0.5664444444444444,0.6307127743282323,0.11297874813815295,0.5083333333333333,0.8805555555555555,0.11777756813398531,0.325,0.7916666666666666,0.10800814055485734,0.3840378197997776,0.789819607635581
singleview_fft96,20,25,0.8343333333333334,0.774,0.7989169788393514,0.016777777777777777,0.7665555555555555,0.8024167707242281,0.08927651592830163,0.6333333333333334,0.9416666666666668,0.13487277956158045,0.45,0.9,0.1143018735679243,0.5161056636675294,0.8939822921416628
singleview_fft96,5,25,0.7803333333333333,0.6679999999999999,0.7133475320330801,0.034666666666666665,0.6679999999999999,0.7205602884554712,0.10226726060960366,0.5277777777777777,0.9,0.1319444327485375,0.3333333333333333,0.8166666666666668,0.1184192398825412,0.4370553044486891,0.8520875302175664
