arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_new,joint_score
singleview_fft96,20-1,713101,1,leo_clear_weak,0.6916666666666667,0.375,0.48632812500000006,0.033333333333333326,0.375,0.5176649305555555
singleview_fft96,20-1,713101,1,leo_low_elev_weak,0.5833333333333334,0.6,0.591549295774648,0.08333333333333326,0.5833333333333334,0.5916275430359937
singleview_fft96,20-1,713101,1,leo_rain_weak,0.6583333333333333,0.475,0.5518382352941176,0.09166666666666667,0.475,0.5617238562091503
singleview_fft96,20-1,713101,10,leo_clear_weak,0.8833333333333333,0.8,0.8396039603960396,0.0,0.8,0.840979097909791
singleview_fft96,20-1,713101,10,leo_low_elev_weak,0.8166666666666667,0.825,0.8208121827411168,-0.008333333333333304,0.8166666666666667,0.8208262831359278
singleview_fft96,20-1,713101,10,leo_rain_weak,0.8666666666666667,0.775,0.818274111675127,0.016666666666666607,0.775,0.8199802594472646
singleview_fft96,20-1,713101,2,leo_clear_weak,0.8083333333333333,0.725,0.7644021739130435,0.008333333333333304,0.725,0.7659118357487923
singleview_fft96,20-1,713101,2,leo_low_elev_weak,0.6666666666666666,0.7,0.6829268292682926,0.025000000000000022,0.6666666666666666,0.6831978319783197
singleview_fft96,20-1,713101,2,leo_rain_weak,0.75,0.6,0.6666666666666665,0.033333333333333326,0.6,0.6722222222222222
singleview_fft96,20-1,713101,20,leo_clear_weak,0.925,0.85,0.8859154929577465,-0.01666666666666672,0.85,0.8869718309859156
singleview_fft96,20-1,713101,20,leo_low_elev_weak,0.8583333333333333,0.875,0.8665865384615383,-0.008333333333333304,0.8583333333333333,0.8666399572649572
singleview_fft96,20-1,713101,20,leo_rain_weak,0.8833333333333333,0.75,0.8112244897959183,0.008333333333333415,0.75,0.8148526077097505
singleview_fft96,20-1,713101,5,leo_clear_weak,0.8166666666666667,0.85,0.833,-0.033333333333333326,0.8166666666666667,0.8332222222222222
singleview_fft96,20-1,713101,5,leo_low_elev_weak,0.75,0.75,0.75,-0.008333333333333304,0.75,0.75
singleview_fft96,20-1,713101,5,leo_rain_weak,0.8166666666666667,0.675,0.7391061452513966,0.008333333333333304,0.675,0.7435909373060211
singleview_fft96,20-1,713102,1,leo_clear_weak,0.6416666666666667,0.675,0.6579113924050632,0.09999999999999998,0.6416666666666667,0.6581926863572433
singleview_fft96,20-1,713102,1,leo_low_elev_weak,0.6916666666666667,0.65,0.6701863354037266,0.04166666666666663,0.65,0.6706176673567977
singleview_fft96,20-1,713102,1,leo_rain_weak,0.5666666666666667,0.4,0.46896551724137936,0.09999999999999998,0.4,0.47854406130268207
singleview_fft96,20-1,713102,10,leo_clear_weak,0.875,0.925,0.8993055555555556,0.01666666666666672,0.875,0.8997685185185186
singleview_fft96,20-1,713102,10,leo_low_elev_weak,0.775,0.8,0.7873015873015874,0.025000000000000022,0.775,0.7874338624338625
singleview_fft96,20-1,713102,10,leo_rain_weak,0.8083333333333333,0.85,0.8286432160804021,0.016666666666666607,0.8083333333333333,0.8289921831379118
singleview_fft96,20-1,713102,2,leo_clear_weak,0.7416666666666667,0.65,0.6928143712574851,0.07499999999999996,0.65,0.694827012641384
singleview_fft96,20-1,713102,2,leo_low_elev_weak,0.6,0.6,0.6,0.09166666666666667,0.6,0.6
singleview_fft96,20-1,713102,2,leo_rain_weak,0.5916666666666667,0.55,0.57007299270073,0.04166666666666663,0.55,0.5705798864557989
singleview_fft96,20-1,713102,20,leo_clear_weak,0.9083333333333333,0.925,0.916590909090909,0.008333333333333304,0.9083333333333333,0.9166414141414142
singleview_fft96,20-1,713102,20,leo_low_elev_weak,0.8083333333333333,0.85,0.8286432160804021,0.0,0.8083333333333333,0.8289921831379118
singleview_fft96,20-1,713102,20,leo_rain_weak,0.875,0.8,0.8358208955223881,0.0,0.8,0.8369402985074627
singleview_fft96,20-1,713102,5,leo_clear_weak,0.8666666666666667,0.825,0.8453201970443349,0.0,0.825,0.8456622879036672
singleview_fft96,20-1,713102,5,leo_low_elev_weak,0.7083333333333334,0.675,0.691265060240964,0.033333333333333326,0.675,0.6915327978580992
singleview_fft96,20-1,713102,5,leo_rain_weak,0.7,0.775,0.735593220338983,0.09166666666666667,0.7,0.7368644067796609
singleview_fft96,20-1,713103,1,leo_clear_weak,0.4166666666666667,0.625,0.5,0.016666666666666663,0.4166666666666667,0.513888888888889
singleview_fft96,20-1,713103,1,leo_low_elev_weak,0.5,0.65,0.5652173913043479,0.050000000000000044,0.5,0.5717391304347826
singleview_fft96,20-1,713103,1,leo_rain_weak,0.38333333333333336,0.6,0.46779661016949153,0.11666666666666664,0.38333333333333336,0.48370998116760827
singleview_fft96,20-1,713103,10,leo_clear_weak,0.825,0.825,0.825,0.01666666666666672,0.825,0.8249999999999998
singleview_fft96,20-1,713103,10,leo_low_elev_weak,0.825,0.75,0.7857142857142856,0.0,0.75,0.7869047619047619
singleview_fft96,20-1,713103,10,leo_rain_weak,0.8416666666666667,0.725,0.7789893617021277,0.008333333333333304,0.725,0.7818853427895981
singleview_fft96,20-1,713103,2,leo_clear_weak,0.5916666666666667,0.625,0.607876712328767,0.1416666666666666,0.5916666666666667,0.6081811263318112
singleview_fft96,20-1,713103,2,leo_low_elev_weak,0.6083333333333333,0.7,0.6509554140127389,0.09166666666666667,0.6083333333333333,0.6530962491153574
singleview_fft96,20-1,713103,2,leo_rain_weak,0.6,0.5,0.5454545454545454,0.10833333333333339,0.5,0.5484848484848485
singleview_fft96,20-1,713103,20,leo_clear_weak,0.925,0.875,0.8993055555555556,-0.008333333333333415,0.875,0.8997685185185186
singleview_fft96,20-1,713103,20,leo_low_elev_weak,0.8416666666666667,0.825,0.83325,0.008333333333333304,0.825,0.8333055555555555
singleview_fft96,20-1,713103,20,leo_rain_weak,0.875,0.8,0.8358208955223881,0.01666666666666672,0.8,0.8369402985074627
singleview_fft96,20-1,713103,5,leo_clear_weak,0.7833333333333333,0.775,0.7791443850267379,0.008333333333333304,0.775,0.7791592394533571
singleview_fft96,20-1,713103,5,leo_low_elev_weak,0.775,0.75,0.7622950819672132,0.016666666666666607,0.75,0.7624316939890711
singleview_fft96,20-1,713103,5,leo_rain_weak,0.7666666666666667,0.575,0.6571428571428571,0.04999999999999993,0.575,0.6662698412698412
singleview_fft96,20-1,713104,1,leo_clear_weak,0.55,0.6,0.5739130434782609,0.07499999999999996,0.55,0.5746376811594204
singleview_fft96,20-1,713104,1,leo_low_elev_weak,0.5333333333333333,0.675,0.5958620689655172,0.01666666666666672,0.5333333333333333,0.6013984674329502
singleview_fft96,20-1,713104,1,leo_rain_weak,0.525,0.55,0.5372093023255814,0.09999999999999998,0.525,0.5374031007751938
singleview_fft96,20-1,713104,10,leo_clear_weak,0.85,0.775,0.8107692307692307,0.01666666666666672,0.775,0.811923076923077
singleview_fft96,20-1,713104,10,leo_low_elev_weak,0.7666666666666667,0.75,0.7582417582417583,0.02499999999999991,0.75,0.7583028083028083
singleview_fft96,20-1,713104,10,leo_rain_weak,0.7916666666666666,0.75,0.7702702702702704,0.025000000000000022,0.75,0.7706456456456457
singleview_fft96,20-1,713104,2,leo_clear_weak,0.7333333333333333,0.7,0.7162790697674419,0.01666666666666672,0.7,0.7165374677002584
singleview_fft96,20-1,713104,2,leo_low_elev_weak,0.6666666666666666,0.675,0.670807453416149,0.06666666666666665,0.6666666666666666,0.670824706694272
singleview_fft96,20-1,713104,2,leo_rain_weak,0.65,0.65,0.65,0.05833333333333335,0.65,0.65
singleview_fft96,20-1,713104,20,leo_clear_weak,0.8333333333333334,0.875,0.8536585365853658,0.02499999999999991,0.8333333333333334,0.8539972899728997
singleview_fft96,20-1,713104,20,leo_low_elev_weak,0.7916666666666666,0.75,0.7702702702702704,0.0,0.75,0.7706456456456457
singleview_fft96,20-1,713104,20,leo_rain_weak,0.8333333333333334,0.7,0.7608695652173915,0.008333333333333304,0.7,0.7647342995169083
singleview_fft96,20-1,713104,5,leo_clear_weak,0.7916666666666666,0.725,0.7568681318681317,0.008333333333333415,0.725,0.7578449328449328
singleview_fft96,20-1,713104,5,leo_low_elev_weak,0.7333333333333333,0.725,0.7291428571428571,0.06666666666666676,0.725,0.7291587301587302
singleview_fft96,20-1,713104,5,leo_rain_weak,0.6916666666666667,0.675,0.6832317073170732,0.01666666666666672,0.675,0.6832994579945799
singleview_fft96,20-1,713105,1,leo_clear_weak,0.5,0.55,0.5238095238095238,0.09999999999999998,0.5,0.5246031746031746
singleview_fft96,20-1,713105,1,leo_low_elev_weak,0.6166666666666667,0.5,0.5522388059701493,0.09166666666666667,0.5,0.556301824212272
singleview_fft96,20-1,713105,1,leo_rain_weak,0.575,0.525,0.5488636363636363,0.09166666666666667,0.525,0.5496212121212122
singleview_fft96,20-1,713105,10,leo_clear_weak,0.95,0.85,0.8972222222222223,0.0,0.85,0.899074074074074
singleview_fft96,20-1,713105,10,leo_low_elev_weak,0.8416666666666667,0.725,0.7789893617021277,0.016666666666666607,0.725,0.7818853427895981
singleview_fft96,20-1,713105,10,leo_rain_weak,0.825,0.7,0.7573770491803278,0.01666666666666672,0.7,0.7607923497267759
singleview_fft96,20-1,713105,2,leo_clear_weak,0.825,0.6,0.6947368421052632,0.008333333333333415,0.6,0.7065789473684211
singleview_fft96,20-1,713105,2,leo_low_elev_weak,0.7,0.475,0.5659574468085107,0.07500000000000007,0.475,0.5803191489361702
singleview_fft96,20-1,713105,2,leo_rain_weak,0.7,0.55,0.616,0.07500000000000007,0.55,0.622
singleview_fft96,20-1,713105,20,leo_clear_weak,0.925,0.925,0.925,-0.008333333333333415,0.925,0.9250000000000002
singleview_fft96,20-1,713105,20,leo_low_elev_weak,0.9083333333333333,0.825,0.8646634615384614,-0.04166666666666663,0.825,0.8659989316239316
singleview_fft96,20-1,713105,20,leo_rain_weak,0.8583333333333333,0.625,0.7233146067415729,0.01666666666666672,0.625,0.7355493133583021
singleview_fft96,20-1,713105,5,leo_clear_weak,0.9083333333333333,0.725,0.8063775510204082,-0.008333333333333304,0.725,0.8132369614512472
singleview_fft96,20-1,713105,5,leo_low_elev_weak,0.75,0.75,0.75,0.09999999999999998,0.75,0.75
singleview_fft96,20-1,713105,5,leo_rain_weak,0.8166666666666667,0.675,0.7391061452513966,0.01666666666666672,0.675,0.7435909373060211
singleview_fft96,3-19,713101,1,leo_clear_weak,0.38333333333333336,0.2,0.26285714285714284,0.04166666666666663,0.2,0.28206349206349207
singleview_fft96,3-19,713101,1,leo_low_elev_weak,0.43333333333333335,0.525,0.4747826086956522,0.06666666666666665,0.43333333333333335,0.4777053140096619
singleview_fft96,3-19,713101,1,leo_rain_weak,0.45,0.275,0.3413793103448276,0.008333333333333304,0.275,0.3554597701149425
singleview_fft96,3-19,713101,10,leo_clear_weak,0.6333333333333333,0.45,0.5261538461538462,0.07500000000000007,0.45,0.5364957264957265
singleview_fft96,3-19,713101,10,leo_low_elev_weak,0.5833333333333334,0.55,0.5661764705882354,0.08333333333333326,0.55,0.5665032679738563
singleview_fft96,3-19,713101,10,leo_rain_weak,0.65,0.425,0.513953488372093,0.08333333333333326,0.425,0.5296511627906977
singleview_fft96,3-19,713101,2,leo_clear_weak,0.55,0.225,0.31935483870967746,0.05833333333333324,0.225,0.36478494623655916
singleview_fft96,3-19,713101,2,leo_low_elev_weak,0.4666666666666667,0.5,0.4827586206896552,0.05833333333333335,0.4666666666666667,0.48314176245210727
singleview_fft96,3-19,713101,2,leo_rain_weak,0.5833333333333334,0.25,0.35000000000000003,0.04999999999999993,0.25,0.39444444444444443
singleview_fft96,3-19,713101,20,leo_clear_weak,0.6583333333333333,0.425,0.5165384615384616,0.07499999999999996,0.425,0.5332905982905983
singleview_fft96,3-19,713101,20,leo_low_elev_weak,0.5666666666666667,0.575,0.5708029197080292,0.08333333333333337,0.5666666666666667,0.570823195458232
singleview_fft96,3-19,713101,20,leo_rain_weak,0.675,0.35,0.4609756097560976,0.04999999999999993,0.35,0.49532520325203255
singleview_fft96,3-19,713101,5,leo_clear_weak,0.6333333333333333,0.325,0.4295652173913044,0.033333333333333326,0.325,0.46263285024154593
