era,experiment,last_epoch,best_joint,best_overall,primary_score,strict_udu,worst_rx,sat_avg,params,conclusion
type3,SupCon+Proto+DAC,98.23,98.65,,,,"ORACLE同分布有效",,保留
type5,full+explain,97.53,97.97,,,,"略低但评估更完整",,保留
type6,AMP+argparse,95.97,96.24,,,,"工程稳定",,保留
type8,DG_h,97.38,97.57,,,,"DG方向有效",,保留
type9,WiSig跨域,92.98-93.75,95.66,,,,"首次真实跨域",,保留
type10,dual原型,92.17,96.12,,,,"早期强后期退化",,参考
type10-2,g4_full_balanced,,86.87,,,,"PA/DAC辅助有效",,保留
type10-5,A00_baseline,86.51,86.25,89.51,,86.72,,基准,,
type10-5,B02_random_mixstyle,16.67,88.22,89.94,,86.71,,崩溃,,
type10-5,C00_no_time,16.67,86.96,88.05,,84.27,,崩溃,,
type10-5,C03_no_freq,16.67,86.23,86.71,,82.57,,崩溃,,
type10-5,C01_no_dac,88.17,88.27,90.04,,85.61,,无害有益,,
type10-5,D02_litec_mixstyle,89.67,90.18,90.53,,86.25,,最优,,
type10-4,R19_r05_mix_p015,,,,87.46,85.92,85.03,,平衡路线,1.67M
type10-4,R25_r06_refined,,,,87.17,85.59,83.92,,参数效率,1.05M
type10-4,R21_groupce006,,,,,86.98,,最佳worst-RX,1.67M
type10-7,SAT37_r19_fishr,,,,87.95,86.43,84.64,38.91,Clean OOD最强,1.672M
type10-7,SAT34_r19_groupdro,,,,87.94,86.44,84.83,38.69,弱域稳健,1.672M
type10-7,SAT07_r25_compact,,,,87.85,86.27,84.67,41.98,紧凑部署,1.050M
type10-7,SAT13_r19_mixed_high,,,,87.68,86.14,85.18,43.91,SAT最强,1.672M
5.7,sgc_baseline_no_adapter_src,,,,88.22,85.91,85.07,38.31,SGC基准,1.672M
5.7,sgc_full_augment,,,,,84.31,81.29,44.62,SAT+6.31,1.673M
5.7,sgc_no_amp_augment,,,,87.36,84.94,,44.04,唯一弱正信号,1.673M
5.7,sgc_residual_only_augment,,,,88.27,84.66,,46.36,SAT探针,1.672M
5.8,B1_A1_mild,,,,87.24,85.78,85.41,43.63,Phase B基准,1.672M
5.8,B4_A2_ls002,,,,87.61,86.14,85.62,42.25,ls002有效,1.672M
5.8,C2_ecc003_satmain,,,,87.34,85.86,85.45,43.16,ECC中等,1.672M
5.8,C4_ecc003_satmain_A2,,,,86.81,85.11,84.54,40.07,ECC有害SAT,1.672M
5.8,D1_enhancer_off,,,,87.87,86.45,85.12,40.99,最强source,1.577M
5.8,D3_branch_same,,,,86.08,84.31,85.14,41.50,大幅下降,1.360M
5.8,D4_no_pa_no_stats,,,,87.65,85.99,86.13,42.76,PA可选,1.343M
5.8,D5_no_grl_adv,,,,87.06,85.40,85.31,41.30,GRL有价值,1.672M
5.8,D6_no_orth,,,,87.49,85.92,84.71,41.67,正交有价值,1.672M
5.8,E0_no_adapter_continue,,,,87.84,86.47,86.51,40.85,E阶段基准,1.672M
5.8,E1_residual_only,,,,87.91,86.53,86.63,41.20,轻微提升,1.672M
5.8,E2_residual_res001,,,,88.24,86.92,86.99,41.58,当前最优,1.672M
5.8,E3_no_res_control,,,,88.12,86.69,86.27,40.86,控制组,1.673M
5.8,E4_full_sgc,,,,87.61,86.16,85.95,40.63,full SGC负,1.673M
