receiver,direct_old_pct,query_count,task_rows
20-1,65.38888888888889,9000,25
3-19,60.111111111111114,9000,25
7-14,88.72222222222223,9000,25
7-7,82.72222222222221,9000,25
8-8,72.38888888888889,9000,25
