row,mode,interval,interval_name,epoch_start,epoch_end,record_count,actual_nmfdu_stages,mean_epoch_time_s,mean_train_loss,mean_train_loss_labeled,mean_train_loss_unlabeled,mean_train_tx_acc,mean_val_tx_acc,mean_stage_source_val_sat_mean_tx,mean_stage_source_val_sat_floor_tx,mean_train_nmfdu_loss_total,mean_train_nmfdu_loss_branch_aux,mean_train_nmfdu_loss_route,mean_train_nmfdu_loss_phys,mean_train_nmfdu_loss_fused_pair,mean_train_nmfdu_loss_branch_pair,mean_train_nmfdu_loss_null_cal,mean_train_nmfdu_loss_balance,mean_train_nmfdu_entropy_mean,mean_train_nmfdu_null_mean,mean_train_nmfdu_q_labeled_mean,mean_train_nmfdu_q_unlabeled_mean,mean_train_reliable_ratio,mean_train_optimizer_step_applied,mean_train_skipped_nonfinite_grad,mean_train_skipped_nonfinite_loss,sum_train_pseudo_selected,sum_train_pseudo_total,aggregate_pseudo_selection_rate,start_val_tx_acc,end_val_tx_acc,start_stage_source_val_sat_mean_tx,end_stage_source_val_sat_mean_tx,start_stage_source_val_sat_floor_tx,end_stage_source_val_sat_floor_tx,start_train_loss,end_train_loss,start_train_nmfdu_null_mean,end_train_nmfdu_null_mean,start_train_nmfdu_q_labeled_mean,end_train_nmfdu_q_labeled_mean
E1,equal,S1,分支预训练,1,80,80,1,646.9028505772352,9.193420430348844,9.193420430348844,0.0,59.52447385204082,93.88615740740741,49.06077160493827,47.873842592592595,2.153737118870628,10.768685374941144,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9959183673469388,0.004081632653061224,0.0,0.0,0.0,,39.48148148148148,96.64814814814815,27.635802469135808,53.61358024691358,26.58888888888889,52.733333333333334,18.7462919196304,13.628498359602325,0.0,0.0,1.0,1.0
E1,equal,S2,冻结分支训练门控,81,120,40,1,666.5537797212601,12.005819612619828,12.005819612619828,0.0,72.64588647959184,97.5525,65.72836419753087,64.52185185185185,2.0215411144251725,10.107705407726522,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,97.5111111111111,97.78148148148148,58.33950617283951,71.65925925925926,56.82592592592592,70.68518518518519,12.363349826968445,10.644465952503438,0.0,0.0,1.0,1.0
E1,equal,S3-L,联合微调（仅L_s）,121,130,10,1,667.7957220077515,11.383235059465681,11.383235059465681,0.0,74.7672193877551,97.9274074074074,73.1920987654321,71.93814814814814,2.0073776960372927,10.036888323024828,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9979591836734694,0.002040816326530612,0.0,0.0,0.0,,97.66666666666667,97.82962962962964,72.31975308641975,72.0716049382716,71.15925925925926,70.50740740740741,11.67270042458359,11.843358487499003,0.0,0.0,1.0,1.0
E1,equal,S3-U,联合微调（L_s+U_s伪标签）,131,200,70,1,716.7451309851238,9.900961030954523,9.900709233826174,0.0007391645755939126,79.93121355685132,98.06915343915344,80.22562610229276,78.97095238095237,1.973184913587987,9.865924415643986,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.3871720116618076,0.006723760932944607,0.9991253644314869,0.0008746355685131195,0.0,2952.0,439040.0,0.006723760932944607,97.86666666666666,98.3,73.75555555555556,86.03456790123458,72.43703703703704,84.94074074074074,11.420603684016637,8.608203732237524,0.0,0.0,1.0,1.0
E2,i_only,S1,分支预训练,1,80,80,1,459.4522323489189,9.193976195491091,9.193976195491091,0.0,59.53463807397959,93.89837962962963,49.1020061728395,47.917685185185185,2.1541078285295137,10.770538912743937,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9959183673469388,0.004081632653061224,0.0,0.0,0.0,,39.507407407407406,96.67407407407407,27.63827160493827,53.5641975308642,26.581481481481482,52.61851851851852,18.74614781749492,13.639390692418935,0.0,0.0,1.0,1.0
E2,i_only,S2,冻结分支训练门控,81,120,40,2,634.292685687542,21.394428210355798,21.394428210355798,0.0,16.009646045918366,82.47749999999999,25.131882716049383,24.889074074074074,0.2626207625759499,0.0,2.1911236033147694,0.0022162312994537157,0.0,0.0,0.8615627279999305,0.02086388063331952,1.3919220004762922,0.1868519560034786,0.8131480431678344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,81.7,83.25555555555556,24.798765432098765,25.580246913580243,24.548148148148147,25.377777777777776,20.899896057284607,20.51991252509915,0.18180694324629648,0.19051613734692943,0.8181930585783355,0.8094838602202279
E2,i_only,S3-L,联合微调（仅L_s）,121,130,10,3,664.0398121595383,18.33502754191963,18.33502754191963,0.0,38.07716836734694,94.34259259259258,38.46012345679013,37.604814814814816,2.2852685383387974,10.201072400929977,2.0154661745441205,0.008112292024021854,0.0,0.0,0.8501046226949107,0.019095717815264146,1.4304918474080612,0.19203260133461075,0.8079673998209895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,92.66666666666667,95.28148148148148,35.690123456790126,40.13456790123457,34.86296296296296,39.181481481481484,20.624695700042103,18.072206711282536,0.19041968091410033,0.19349948484070448,0.809580321214637,0.8065005115100315
E2,i_only,S3-U,联合微调（L_s+U_s伪标签）,131,200,70,3,726.311029110636,14.549814284160604,14.549495461800356,0.0,60.2359693877551,97.07153439153439,53.663456790123455,52.52047619047619,2.264140666400031,10.145867352165912,1.8975889902073164,0.031078853810874003,0.0,0.0,0.838793101289877,0.016072727537798117,1.4975914387244178,0.19708198847645572,0.8029180114887893,0.0,0.0,1.0,0.0,0.0,0.0,439040.0,0.0,95.34814814814816,97.76666666666667,40.471604938271604,63.89012345679012,39.55925925925926,62.351851851851855,17.2457718557241,12.748184379266233,0.19200407455162127,0.1990518299292545,0.8079959214950094,0.8009481697666402
E3,i_d,S1,分支预训练,1,80,80,1,766.2562567442656,9.19180101910416,9.19180101910416,0.0,59.51849489795918,93.88374999999999,49.0891512345679,47.90083333333333,2.154175473810459,10.770877137719369,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9959183673469388,0.004081632653061224,0.0,0.0,0.0,,39.52962962962963,96.64814814814815,27.64567901234568,53.574074074074076,26.58888888888889,52.65555555555556,18.74617638879893,13.612319595959722,0.0,0.0,1.0,1.0
E3,i_d,S2,冻结分支训练门控,81,120,40,2,791.563127207756,23.961566121237617,23.961566121237617,0.0,14.55157844387755,81.68027777777777,25.32111111111111,24.5325,0.22578707548732663,0.0,1.9890663497910208,0.0022911070384332563,0.0,0.0,0.527122874451535,0.029518241880043428,0.5815559395265822,0.8337725722668121,0.16622742854666955,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,80.28148148148148,82.94074074074074,25.00246913580247,25.734567901234566,24.159259259259258,24.937037037037037,23.378332663555536,22.896281378609793,0.8562649464120671,0.8067968670202761,0.14373505662898628,0.19320313358793453
