row,mode,interval,epoch,stage_phase,train_nmfdu_stage,lr,epoch_time_s,train_loss,train_loss_labeled,train_loss_unlabeled,train_tx_acc,val_tx_acc,stage_source_val_sat_mean_tx,stage_source_val_sat_floor_tx,train_nmfdu_loss_total,train_nmfdu_loss_branch_aux,train_nmfdu_loss_route,train_nmfdu_loss_phys,train_nmfdu_loss_fused_pair,train_nmfdu_loss_branch_pair,train_nmfdu_loss_null_cal,train_nmfdu_loss_balance,train_nmfdu_entropy_mean,train_nmfdu_null_mean,train_nmfdu_q_labeled_mean,train_nmfdu_q_unlabeled_mean,train_pseudo_selected,train_pseudo_total,train_reliable_ratio,train_optimizer_step_applied,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss
E1,equal,S1,1,S1_core,1.0,0.0002,611.4348595142365,18.7462919196304,18.7462919196304,0.0,0.0,39.48148148148148,27.635802469135808,26.58888888888889,2.472130113718461,12.36065031557667,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,0.8979591836734694,0.10204081632653061,0.0
E1,equal,S1,2,S1_core,1.0,0.0002,607.5338463783264,18.066964091086874,18.066964091086874,0.0,0.0,56.425925925925924,30.27037037037037,29.655555555555555,2.3941292373501524,11.970646001854721,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,3,S1_core,1.0,0.0002,607.675454378128,16.062992563053054,16.062992563053054,0.0,4.28890306122449,73.02222222222223,32.800000000000004,32.44814814814815,2.349559316829759,11.747796370058644,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.04081632653061224,0.0
E1,equal,S1,4,S1_core,1.0,0.0002,608.7554657459259,13.103181975228447,13.103181975228447,0.0,24.441964285714285,81.74814814814815,33.864197530864196,33.285185185185185,2.291628832719764,11.458143934911611,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,5,S1_core,1.0,0.0002,609.4511334896088,12.265801955242546,12.265801955242546,0.0,32.6530612244898,87.26666666666667,35.422222222222224,34.81481481481482,2.26809007294324,11.340450072775083,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,6,S1_core,1.0,0.0002,606.7604928016663,10.04618029691735,10.04618029691735,0.0,46.52423469387755,88.45555555555555,35.25185185185185,34.54074074074074,2.2321107922768104,11.160553698637047,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0
E1,equal,S1,7,S1_core,1.0,0.0002,606.9395849704742,11.646438296960325,11.646438296960325,0.0,42.378826530612244,88.79629629629629,36.199999999999996,35.47037037037037,2.2532485991108175,11.26624278632962,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0
E1,equal,S1,8,S1_core,1.0,0.0002,663.622282743454,11.124947392210668,11.124947392210668,0.0,45.07334183673469,90.24444444444444,41.42716049382716,40.596296296296295,2.239086170585788,11.195430658301529,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,9,S1_core,1.0,0.0002,645.1007399559021,9.98619082509255,9.98619082509255,0.0,49.48979591836735,90.45555555555555,39.73827160493827,38.74814814814815,2.2187186601210613,11.093593071918098,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,10,S1_core,1.0,0.0002,610.1543426513672,9.81785469639058,9.81785469639058,0.0,52.327806122448976,91.52222222222223,38.333333333333336,37.48888888888889,2.210440158843994,11.052200512010224,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,11,S1_core,1.0,0.0002,609.2452111244202,9.62067276117753,9.62067276117753,0.0,53.922193877551024,92.17777777777778,40.046913580246915,39.13333333333333,2.204824734707268,11.024123464311872,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,12,S1_core,1.0,0.0002,615.7695059776306,9.424508775983538,9.424508775983538,0.0,55.02232142857143,91.79629629629629,40.123456790123456,39.34074074074074,2.201828961469689,11.009144705169055,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E1,equal,S1,13,S1_core,1.0,0.0002,615.0681512355804,9.330870375341298,9.330870375341298,0.0,55.97895408163265,92.32962962962964,40.32345679012346,39.49629629629629,2.1992789190642688,10.996394313111598,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
