bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,seen_new_old_contrast_weight,seen_new_old_contrast_margin,feature_adapter_policy,far_feasible,collapse_score
96.0,1,0.1,0.9459183673469388,1.6811806617861058,False,False,False,0.6571428571428571,0.14285714285714285,0.8142857142857143,0.0,0.3107142857142857,0.8196428571428571,0.0,STAGE2C_HEAD_SEP,CENTER_CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CENTER_CONTRAST_W025_M00/stage2c_qknn_CENTER_CONTRAST_W025_M00_k5.json,5,source_only,True,0.25,0.0,support_center,False,0.36964285714285716
96.0,1,0.02207792207792208,0.996938775510204,1.9344406900927424,False,False,False,0.5714285714285714,0.22857142857142856,0.7952380952380952,0.0,0.3517857142857143,0.9446428571428571,0.0,STAGE2C_HEAD_SEP,CENTER_CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CENTER_CONTRAST_W025_M00/stage2c_qknn_CENTER_CONTRAST_W025_M00_k10.json,10,source_only,True,0.25,0.0,support_center,False,0.31904761904761925
96.0,1,0.01883116883116883,0.9959183673469387,1.9592757103964686,False,False,False,0.6,0.21428571428571427,0.7928571428571428,0.0,0.35535714285714287,0.9553571428571429,0.0,STAGE2C_HEAD_SEP,CONTRAST_W050_M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CONTRAST_W050_M02/stage2c_qknn_CONTRAST_W050_M02_k10.json,10,source_only,True,0.5,0.02,none,False,0.3107142857142856
96.0,1,0.01883116883116883,0.9959183673469387,1.8508882851448734,False,False,False,0.6,0.21428571428571427,0.7928571428571428,0.0,0.3535714285714286,0.9553571428571429,0.0,STAGE2C_HEAD_SEP,CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CONTRAST_W025_M00/stage2c_qknn_CONTRAST_W025_M00_k10.json,10,source_only,True,0.25,0.0,none,False,0.30892857142857133
96.0,1,0.01753246753246753,0.9918367346938776,1.9836301026357845,False,False,False,0.5142857142857142,0.18571428571428572,0.8023809523809524,0.0,0.3875,0.9660714285714286,0.0,STAGE2C_NORM_SEP,CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CONTRAST_W025_M00/stage2c_qknn_CONTRAST_W025_M00_k10.json,10,source_only,True,0.25,0.0,none,False,0.2654761904761903
96.0,1,0.01753246753246753,0.9918367346938776,1.9732325231995096,False,False,False,0.5142857142857142,0.18571428571428572,0.8023809523809524,0.0,0.3875,0.9660714285714286,0.0,STAGE2C_NORM_SEP,CONTRAST_W050_M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CONTRAST_W050_M02/stage2c_qknn_CONTRAST_W050_M02_k10.json,10,source_only,True,0.5,0.02,none,False,0.2654761904761903
96.0,1,0.01883116883116883,0.9928571428571429,1.8988304726126326,False,False,False,0.5285714285714286,0.15714285714285714,0.8142857142857143,0.0,0.3767857142857143,0.9607142857142857,0.0,STAGE2C_NORM_SEP,CENTER_CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CENTER_CONTRAST_W025_M00/stage2c_qknn_CENTER_CONTRAST_W025_M00_k10.json,10,source_only,True,0.25,0.0,support_center,False,0.24464285714285705
96.0,1,0.09805194805194806,0.936734693877551,1.6898011066043725,False,False,False,0.6571428571428571,0.07142857142857142,0.8071428571428572,0.0,0.2714285714285714,0.8410714285714286,0.0,STAGE2C_NORM_SEP,CENTER_CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CENTER_CONTRAST_W025_M00/stage2c_qknn_CENTER_CONTRAST_W025_M00_k5.json,5,source_only,True,0.25,0.0,support_center,False,0.23392857142857137
96.0,1,0.08571428571428572,0.939795918367347,1.4495592268014497,False,False,False,0.6285714285714286,0.07142857142857142,0.8071428571428572,0.0,0.2892857142857143,0.8696428571428572,0.0,STAGE2C_HEAD_SEP,CONTRAST_W025_M00,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CONTRAST_W025_M00/stage2c_qknn_CONTRAST_W025_M00_k5.json,5,source_only,True,0.25,0.0,none,False,0.20892857142857157
96.0,1,0.08571428571428572,0.939795918367347,1.5680446582785867,False,False,False,0.6285714285714286,0.07142857142857142,0.8071428571428572,0.0,0.2892857142857143,0.8696428571428572,0.0,STAGE2C_HEAD_SEP,CONTRAST_W050_M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_contrast_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CONTRAST_W050_M02/stage2c_qknn_CONTRAST_W050_M02_k5.json,5,source_only,True,0.5,0.02,none,False,0.20892857142857157
