row,step,epoch,G_lag,S_domain,ce_gap_raw,online_ce,recovered_ce,online_acc,recovered_acc,direction_imbalance,gradient_cosine,gradient_norm_ratio,identity,margin,consistency,rx_linear_acc,rx_mlp_acc
C2,0,1,0.0,0.0,-0.424879789352417,2.7170448303222656,3.1419246196746826,0.06666667014360428,0.07777778059244156,0.8569015867102281,0.14309841328977196,25.652450651841875,0.32500001788139343,-0.02373427152633667,0.9833967089653015,0.3611111342906952,0.3222222328186035
C2,250,6,0.0,0.0,-16.14688467979431,2.6922571659088135,18.839141845703125,0.06666667014360428,0.0833333358168602,1.1650916379207281,-0.16509163792072823,189.28775562774808,0.8250000476837158,-0.04120223596692085,0.6817597150802612,,
C2,500,11,0.0,0.0,-35.721684217453,2.6618759632110596,38.38356018066406,0.07222222536802292,0.1111111119389534,1.6291995487446462,-0.6291995487446462,216.2900037772702,0.8833333849906921,-0.05304468050599098,0.4530973434448242,,
C2,750,16,0.0,0.0,-41.217535734176636,2.6401150226593018,43.85765075683594,0.0833333358168602,0.06666667014360428,1.8667260104425405,-0.8667260104425404,160.48569113573575,0.9333333373069763,0.025168871507048607,0.43540093302726746,,
C2,1000,21,0.0,0.0,-49.75044775009155,2.6153931617736816,52.365840911865234,0.10555555671453476,0.07777778059244156,1.786826808141316,-0.7868268081413159,254.48824104627633,0.949999988079071,0.3409498631954193,0.44909390807151794,0.23888888955116272,0.25
C2,1250,26,0.0,0.0,-52.25680065155029,2.6094369888305664,54.86623764038086,0.08888889104127884,0.07777778059244156,0.40221118772289943,0.5977888122771006,178.9632332852256,0.9333333373069763,0.5225067734718323,0.4179592430591583,,
C2,1500,31,0.0,0.0,-28.108517169952393,2.567328929901123,30.675846099853516,0.14444445073604584,0.07777778059244156,1.5923816162286046,-0.5923816162286045,237.87930042355364,0.9583333730697632,0.4232303202152252,0.44739845395088196,,
C2,1750,36,0.0,0.0,-69.72545766830444,2.5898118019104004,72.31526947021484,0.0833333358168602,0.07222222536802292,0.24339804900159856,0.7566019509984014,151.21592894515524,0.9416667222976685,0.5309323072433472,0.4563959538936615,,
C2,2250,46,0.0,0.0,-81.50263833999634,2.613656520843506,84.11629486083984,0.13333334028720856,0.06666667014360428,0.3780225265375068,0.6219774734624932,308.13159011024277,0.9666666984558105,0.7341547608375549,0.42050623893737793,0.20555555820465088,0.21111111342906952
C2,2500,52,0.0,0.0,-80.44183349609375,2.6229019165039062,83.06473541259766,0.07777778059244156,0.06666667014360428,0.19446123886536226,0.8055387611346377,147.76925335716675,0.9666666984558105,0.8874592781066895,0.4453674554824829,,
C2,3000,62,0.0,0.0,-73.36588549613953,2.61791729927063,75.98380279541016,0.07777778059244156,0.07222222536802292,0.4970399486935352,0.5029600513064648,185.1567078991528,0.9583333730697632,0.8977447152137756,0.4281182289123535,,
C2,3250,67,0.0,0.0,-27.162961721420288,2.6225225925445557,29.785484313964844,0.11666666716337204,0.07222222536802292,0.6540594812566065,0.34594051874339343,273.1381012727059,0.9666666984558105,0.8983124494552612,0.43206942081451416,,
