row,epoch,mean_loss,epoch_seconds,tx,dom,adv,orth,cons,group_ce,fishr,proto,open_world_feat,zid_compact,proxy_unknown,soft_unknown_mixup,source_episode,sat_cls,unlabeled_ce,unlabeled_entropy
C2,1,16.92733336468132,53.663648943882436,12.509137990523358,2.713561028850322,2.7179068497249057,0.0004681919289192147,0.0,12.965909159913355,0.013832302155847452,0.2842652408444152,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,2,16.182343521896673,49.72401209408417,11.892772168529277,2.646048677210905,2.7098108943627803,0.0005674400023536339,0.0,12.228721540801379,0.0131104709200409,0.2445977372782571,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,3,14.695684024265834,64.73918513720855,10.754297061842315,2.3384199920965703,2.706042528152466,0.0010172031826947872,0.0,11.731901460764359,0.013989552969531137,0.2654440603694137,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,4,12.295450872304489,63.82083712890744,8.70506528932221,2.0817514584988963,2.70413453238351,0.000687886841419362,0.0,10.556676261279048,0.01370639602976794,0.319255030276824,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,5,11.256803707200653,68.17006001388654,7.825359363945163,1.9759051094249802,2.703586583234826,0.000619261975195829,0.0,9.89500244296327,0.012510319202378089,0.3263881109198745,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,6,10.350270718944316,68.21960525680333,7.058949431594537,1.876145642630908,2.6985937429934133,0.0006087725074505623,0.0,9.40565351564057,0.012721763258533818,0.3262154788387065,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,7,9.264843366584,65.70982481259853,6.109015445319974,1.82331083258804,2.6976079356913663,0.0005926444425071799,0.0,8.374940930580607,0.012149663242910589,0.34595316830946476,0.0,0.0,0.0,0.0,0.0,0.0,,
C2,8,8.698638624074508,67.26233364082873,5.589604966494502,1.7853349666206204,2.6946139481602884,0.000566492462411941,0.0,8.246986213995486,0.01114787370422665,0.36449412606200393,0.0,0.06665406391328695,0.0,0.0,0.0,0.0,,
C2,9,8.89937770609953,65.70767144812271,5.8288198490532075,1.7234155158607327,2.6944310032591527,0.0005703786262120976,0.0,8.512859354213793,0.009795422665774822,0.3892044266875909,0.0,0.13520431077601958,0.0,0.0,0.0,0.0,,
C2,10,7.460344878994689,68.70915016904473,4.564316399243413,1.631910200021705,2.6916203596154036,0.000610879534197382,0.0,7.459610569233797,0.009255463342961609,0.35468903366400273,0.0,0.19943440751153596,0.0,0.0,0.0,0.0,,
C2,11,7.910536950948287,69.16869141720235,4.960774893663367,1.658609314840667,2.6890761122411613,0.0006589348722256397,0.0,7.77603006362915,0.008391724210422563,0.3739265325118084,0.0,0.2718121789547862,0.0,0.0,0.0,0.0,,
C2,12,8.848815392474739,77.21432936331257,5.85322597318766,1.6442524073075275,2.6886465598125846,0.0006628322084814462,0.0,8.498596634183611,0.009338372329972228,0.39968887153936894,0.005805452211702965,0.3452476147486239,0.0,0.0,0.0,0.0,,
C2,13,7.833409319118577,76.79738315194845,4.958780249770807,1.5972253473437563,2.6868737619750354,0.0008374418699828794,0.0,7.555942277519071,0.00862885329264159,0.3775410676489071,0.010708609671921146,0.4076345398717997,0.0,0.0,0.0,0.0,,
C2,14,7.504302180543238,78.4365319358185,4.71318046170838,1.531648300131973,2.6847879837970345,0.0007370010345618298,0.0,7.310220747577901,0.008618177950610312,0.375035928220165,0.016359227424373433,0.4775054837976183,0.0,0.0,0.0,0.0,,
C2,15,6.986501002798275,76.35749741224572,4.2350093320924405,1.5277965895983638,2.6827811124373455,0.0008393502449711822,0.0,6.8450038676359215,0.008732206397214714,0.35442446871679656,0.02038100911114289,0.5393797293001291,0.0,0.0,0.0,0.0,,
C2,16,7.928897448948452,84.96022083377466,5.081800806279085,1.5596342889630064,2.6814113879690367,0.0007057151037306354,0.0,7.613080705915179,0.008430146797541149,0.3766412491701087,0.028145880989578306,0.6200783897419365,0.0,0.0,0.0,0.0,,
C2,17,7.405591614392339,84.14494684990495,4.463382012990056,1.4974218777247839,2.6786171124905955,0.0006897701431607486,0.4313277504882034,6.766037420350678,0.007736431358724224,0.37070996968113645,0.030764110120279447,0.6751354069125896,0.0,0.0,0.0,0.0,,
C2,18,8.532327189737437,84.93429830111563,5.416135736874172,1.5544259085947154,2.6775706203616396,0.0006822492821588732,0.4315038803888827,7.772042892417129,0.008845540538088096,0.38792649519686795,0.04165951535105705,0.762806844954588,0.0,0.0,0.0,0.0,,
C2,19,7.454777960874597,83.50595529889688,4.502470050539289,1.481536098888942,2.6773504481023673,0.0007982842065275133,0.42653830258213743,6.9264613122356185,0.0072351824064567985,0.37771740738226445,0.044057718193044465,0.8216990536572982,0.0,0.0,0.0,0.0,,
C2,20,7.170695115108879,111.20552503177896,4.303473504222169,1.4244746383355589,2.676592899828541,0.0007697576478750882,0.4212416380035634,6.636399901643092,0.007884046162611671,0.362492100316651,0.04919983233724322,0.8866406156092274,0.0,0.0,0.004472002501086313,0.0,,
C2,21,7.532710391647962,129.87417063117027,4.52894292072374,1.5143859410772518,2.6739137513296947,0.0008664957805398889,0.4122242702513325,7.0076764603050385,0.008039990335474817,0.3637960309884986,0.05322508213623446,0.9557073469064674,0.0,0.0,0.008686978170382125,0.0,,
C2,22,6.043268228063778,112.41537863109261,3.3569204880266774,1.3441151818450616,2.6673291508032353,0.0010830020378771409,0.39450374549748946,5.679394707387807,0.006588294028247498,0.3311946130528742,0.05013543489027997,0.9928588137334707,0.0,0.0,0.011922643272852411,0.0,,
C2,23,6.209932405121473,126.67807874409482,3.5280138132523517,1.329405529158456,2.668670955969363,0.0008888410939478638,0.3914373310244813,5.712681293487549,0.006883750184990314,0.3348285610578498,0.05706516676107232,1.0600420577185494,0.0,0.0,0.015436445666971256,0.0,,
C2,24,7.721664813100075,128.21216072607785,4.7660048275577775,1.4321069303823977,2.662491243712756,0.0008301495242393481,0.42597323656082153,7.148848154106918,0.007744272272767765,0.3771493884981895,0.07753966885561846,1.1777595938468466,0.0,0.0,0.023390083820844183,0.0,,
C2,25,7.752250564341643,134.1874553556554,4.735927817772846,1.5084415333611625,2.6733429431915283,0.0008191604196029829,0.405371044971505,6.918744019099644,0.007943497248450103,0.37796011384652584,0.08240055384076371,1.242194878811739,0.0,0.1409036847097533,0.025183603813757702,0.0,,
C2,26,6.38988226287219,154.0472139096819,3.650719552623982,1.3625435829162598,2.666129778842537,0.0009653224123936451,0.39745078828870034,5.726478479346451,0.006467369708175562,0.345954489951231,0.07748994018350329,1.2785013622167158,0.0,0.24891330210530027,0.02841039142590396,0.0,,
C2,27,8.161331225414665,135.20113056665286,5.0983568113677356,1.4900267270146583,2.669106906774093,0.0008853160795798449,0.4022049587600085,7.331668469370628,0.008313276572152972,0.386031908040144,0.10223656550657992,1.395322043068555,0.0,0.4288967300434502,0.033161575012669274,0.0,,
C2,28,6.488388314539073,128.82418732577935,3.768719789933185,1.28077651529896,2.663469903323115,0.0011536464450301184,0.39379136598840053,6.118108374731881,0.0070688022557189875,0.34857133091712483,0.08948141496096339,1.4194464951145405,0.0,0.49084687658718656,0.03650319367191013,0.0,,
C2,29,7.517058873663143,131.57640313729644,4.5611297159778825,1.4299761202870582,2.6719707372237225,0.0011403173438691515,0.39768892344163387,6.750407934188843,0.0071021975445732174,0.37966274363654,0.11329531776053565,1.5281179729773073,0.0,0.6783457076062962,0.04201302764823242,0.0,,
C2,30,5.6945842090918095,131.98738879989833,3.1189165164013297,1.2287743602480208,2.6624575683048795,0.0014528916149081814,0.3758689596944926,5.180243180722607,0.00621313749508438,0.32456205207474376,0.08491736483208988,1.5178526275011959,0.0,0.7324355384524988,0.04070244611678075,0.0,,
