variant,epoch,phase,epoch_seconds,train_loss,train_tx_acc,source_val_acc,update_fraction,skip_gradient_fraction,skip_loss_fraction
U0,1,label,28.434537649154663,16.91232626778739,0.0,33.32962962962963,1.0,0.0,0.0
U0,2,label,23.189732789993286,16.29724574575619,0.0,41.2,1.0,0.0,0.0
U0,3,label,20.228834629058838,15.232926680117238,0.9885204081632653,54.025925925925925,1.0,0.0,0.0
U0,4,label,20.09641742706299,13.407170159476143,11.144770408163266,71.10740740740741,0.9795918367346939,0.02040816326530612,0.0
U0,5,label,20.610222816467285,11.64939798627581,22.209821428571427,77.74444444444444,0.9795918367346939,0.02040816326530612,0.0
U0,6,label,20.856045484542847,11.282873387239418,26.737882653061224,80.19259259259259,0.9795918367346939,0.02040816326530612,0.0
U0,7,label,20.481892347335815,10.23307399360501,32.36607142857143,78.75925925925925,0.9795918367346939,0.02040816326530612,0.0
U0,8,label,20.896008491516113,9.55347456250872,38.74362244897959,83.57777777777778,1.0,0.0,0.0
U0,9,label,21.002195835113525,9.078612580591319,41.996173469387756,88.05555555555556,1.0,0.0,0.0
U0,10,label,21.18944478034973,8.313246006868324,49.170918367346935,88.56666666666666,1.0,0.0,0.0
U0,11,label,24.175397872924805,8.294332854601802,52.455357142857146,88.71851851851852,1.0,0.0,0.0
U0,12,label,37.31979775428772,7.757999702375763,54.8469387755102,89.93333333333334,1.0,0.0,0.0
U0,13,label,34.504618883132935,7.448616217593758,59.69387755102041,90.48518518518519,1.0,0.0,0.0
U0,14,label,35.734179735183716,7.972841759117282,55.03826530612245,90.54074074074074,1.0,0.0,0.0
U0,15,label,36.038989782333374,7.989378325793208,56.60076530612245,90.29629629629629,1.0,0.0,0.0
U0,16,label,36.59451603889465,8.161817560390551,54.25701530612245,91.31111111111112,1.0,0.0,0.0
U0,17,label,36.57566499710083,8.169743713067502,55.77168367346939,91.4,1.0,0.0,0.0
U0,18,label,39.42624878883362,8.688081040674327,52.20025510204081,91.44814814814815,1.0,0.0,0.0
U0,19,label,38.58286738395691,7.4610298701695035,60.7780612244898,91.6,1.0,0.0,0.0
U0,20,label,50.7829008102417,6.847740017637914,65.29017857142857,91.88518518518518,1.0,0.0,0.0
U0,21,label,50.947298765182495,7.6160540678063215,60.3156887755102,92.37037037037037,1.0,0.0,0.0
U0,22,label,51.066659927368164,8.233643901591398,55.67602040816327,91.0925925925926,1.0,0.0,0.0
U0,23,label,50.5406334400177,7.939282816283557,57.892219387755105,91.84814814814816,1.0,0.0,0.0
U0,24,label,50.452778577804565,7.2027380417804325,61.78252551020408,92.25185185185185,1.0,0.0,0.0
U0,25,label,49.49424982070923,7.994895224668542,57.892219387755105,91.87037037037037,1.0,0.0,0.0
U0,26,label,53.53134727478027,7.44650496268759,60.857780612244895,92.5925925925926,1.0,0.0,0.0
U0,27,label,50.51209568977356,6.923910914635171,64.49298469387755,92.84074074074074,1.0,0.0,0.0
U0,28,label,51.510212898254395,6.286118507385254,69.2920918367347,93.54814814814814,1.0,0.0,0.0
