variant,scene,category,group,correct,wrong,total,accuracy_percent
U0,leo_low_elev_weak,named,test_unseen_day_rx_2,2494,3506,6000,41.56666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_5,3749,2251,6000,62.483333333333334
U0,leo_low_elev_weak,named,test_unseen_day_rx_7,3570,2430,6000,59.5
U0,leo_low_elev_weak,named,test_unseen_day_rx_9,3799,2201,6000,63.31666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_10,3894,2106,6000,64.9
U0,leo_low_elev_weak,named,test_unseen_day_rx_11,4046,1954,6000,67.43333333333334
U0,leo_low_elev_weak,receiver_all_days,0,15606,8394,24000,65.025
U0,leo_low_elev_weak,receiver_all_days,1,4147,1853,6000,69.11666666666666
U0,leo_low_elev_weak,receiver_all_days,2,10548,13452,24000,43.95
U0,leo_low_elev_weak,receiver_all_days,3,4450,1550,6000,74.16666666666667
U0,leo_low_elev_weak,receiver_all_days,4,5081,919,6000,84.68333333333334
U0,leo_low_elev_weak,receiver_all_days,5,17048,6952,24000,71.03333333333333
U0,leo_low_elev_weak,receiver_all_days,6,5030,970,6000,83.83333333333333
U0,leo_low_elev_weak,receiver_all_days,7,11983,12017,24000,49.92916666666667
U0,leo_low_elev_weak,receiver_all_days,8,4473,1527,6000,74.55
U0,leo_low_elev_weak,receiver_all_days,9,17084,6916,24000,71.18333333333334
U0,leo_low_elev_weak,receiver_all_days,10,15129,8871,24000,63.0375
U0,leo_low_elev_weak,receiver_all_days,11,15993,8007,24000,66.6375
U0,leo_low_elev_weak,class,0,25307,7693,33000,76.68787878787879
U0,leo_low_elev_weak,class,1,10899,22101,33000,33.027272727272724
U0,leo_low_elev_weak,class,2,17785,15215,33000,53.89393939393939
U0,leo_low_elev_weak,class,3,16757,16243,33000,50.77878787878788
U0,leo_low_elev_weak,class,4,25313,7687,33000,76.7060606060606
U0,leo_low_elev_weak,class,5,30511,2489,33000,92.45757575757575
U0,leo_rain_weak,aggregate,all,126482,71518,198000,63.87979797979798
U0,leo_rain_weak,named,test_unseen_day_seen_rx,23240,6760,30000,77.46666666666667
U0,leo_rain_weak,named,test_day_0,23240,6760,30000,77.46666666666667
U0,leo_rain_weak,named,test_seen_day_unseen_rx,78386,47614,126000,62.21111111111111
U0,leo_rain_weak,named,test_rx_0,11985,6015,18000,66.58333333333333
U0,leo_rain_weak,named,test_rx_2,7998,10002,18000,44.43333333333333
U0,leo_rain_weak,named,test_rx_5,13461,4539,18000,74.78333333333333
U0,leo_rain_weak,named,test_rx_7,8503,9497,18000,47.23888888888889
U0,leo_rain_weak,named,test_rx_9,13292,4708,18000,73.84444444444445
U0,leo_rain_weak,named,test_rx_10,11213,6787,18000,62.294444444444444
U0,leo_rain_weak,named,test_rx_11,11934,6066,18000,66.3
U0,leo_rain_weak,named,test_unseen_day_unseen_rx,24856,17144,42000,59.180952380952384
U0,leo_rain_weak,named,test_unseen_day_rx_0,3369,2631,6000,56.15
U0,leo_rain_weak,named,test_unseen_day_rx_2,2507,3493,6000,41.78333333333333
U0,leo_rain_weak,named,test_unseen_day_rx_5,3766,2234,6000,62.766666666666666
U0,leo_rain_weak,named,test_unseen_day_rx_7,3561,2439,6000,59.35
U0,leo_rain_weak,named,test_unseen_day_rx_9,3723,2277,6000,62.05
U0,leo_rain_weak,named,test_unseen_day_rx_10,3997,2003,6000,66.61666666666666
U0,leo_rain_weak,named,test_unseen_day_rx_11,3933,2067,6000,65.55
U0,leo_rain_weak,receiver_all_days,0,15354,8646,24000,63.975
U0,leo_rain_weak,receiver_all_days,1,4146,1854,6000,69.1
U0,leo_rain_weak,receiver_all_days,2,10505,13495,24000,43.770833333333336
U0,leo_rain_weak,receiver_all_days,3,4376,1624,6000,72.93333333333334
U0,leo_rain_weak,receiver_all_days,4,5158,842,6000,85.96666666666667
U0,leo_rain_weak,receiver_all_days,5,17227,6773,24000,71.77916666666667
U0,leo_rain_weak,receiver_all_days,6,5033,967,6000,83.88333333333334
U0,leo_rain_weak,receiver_all_days,7,12064,11936,24000,50.266666666666666
U0,leo_rain_weak,receiver_all_days,8,4527,1473,6000,75.45
U0,leo_rain_weak,receiver_all_days,9,17015,6985,24000,70.89583333333333
U0,leo_rain_weak,receiver_all_days,10,15210,8790,24000,63.375
U0,leo_rain_weak,receiver_all_days,11,15867,8133,24000,66.1125
U0,leo_rain_weak,class,0,25576,7424,33000,77.5030303030303
U0,leo_rain_weak,class,1,11078,21922,33000,33.56969696969697
U0,leo_rain_weak,class,2,17889,15111,33000,54.20909090909091
U0,leo_rain_weak,class,3,16008,16992,33000,48.50909090909091
U0,leo_rain_weak,class,4,25172,7828,33000,76.27878787878788
U0,leo_rain_weak,class,5,30759,2241,33000,93.2090909090909
U1,clean,aggregate,all,153746,44254,198000,77.64949494949495
U1,clean,named,test_unseen_day_seen_rx,27813,2187,30000,92.71
U1,clean,named,test_day_0,27813,2187,30000,92.71
U1,clean,named,test_seen_day_unseen_rx,95790,30210,126000,76.02380952380952
U1,clean,named,test_rx_0,14427,3573,18000,80.15
U1,clean,named,test_rx_2,10216,7784,18000,56.75555555555555
U1,clean,named,test_rx_5,15785,2215,18000,87.69444444444444
U1,clean,named,test_rx_7,11803,6197,18000,65.57222222222222
U1,clean,named,test_rx_9,14813,3187,18000,82.29444444444445
U1,clean,named,test_rx_10,14936,3064,18000,82.97777777777777
U1,clean,named,test_rx_11,13810,4190,18000,76.72222222222223
U1,clean,named,test_unseen_day_unseen_rx,30143,11857,42000,71.76904761904763
U1,clean,named,test_unseen_day_rx_0,3993,2007,6000,66.55
U1,clean,named,test_unseen_day_rx_2,3018,2982,6000,50.3
U1,clean,named,test_unseen_day_rx_5,4417,1583,6000,73.61666666666666
U1,clean,named,test_unseen_day_rx_7,5327,673,6000,88.78333333333333
U1,clean,named,test_unseen_day_rx_9,4096,1904,6000,68.26666666666667
U1,clean,named,test_unseen_day_rx_10,4650,1350,6000,77.5
U1,clean,named,test_unseen_day_rx_11,4642,1358,6000,77.36666666666666
U1,clean,receiver_all_days,0,18420,5580,24000,76.75
U1,clean,receiver_all_days,1,4747,1253,6000,79.11666666666666
U1,clean,receiver_all_days,2,13234,10766,24000,55.141666666666666
U1,clean,receiver_all_days,3,5697,303,6000,94.95
U1,clean,receiver_all_days,4,5858,142,6000,97.63333333333334
U1,clean,receiver_all_days,5,20202,3798,24000,84.175
U1,clean,receiver_all_days,6,5895,105,6000,98.25
U1,clean,receiver_all_days,7,17130,6870,24000,71.375
U1,clean,receiver_all_days,8,5616,384,6000,93.6
U1,clean,receiver_all_days,9,18909,5091,24000,78.7875
U1,clean,receiver_all_days,10,19586,4414,24000,81.60833333333333
U1,clean,receiver_all_days,11,18452,5548,24000,76.88333333333334
U1,clean,class,0,31592,1408,33000,95.73333333333333
U1,clean,class,1,15261,17739,33000,46.24545454545454
U1,clean,class,2,20330,12670,33000,61.60606060606061
U1,clean,class,3,22689,10311,33000,68.75454545454545
U1,clean,class,4,32555,445,33000,98.65151515151516
U1,clean,class,5,31319,1681,33000,94.9060606060606
U1,leo_clear_weak,aggregate,all,126860,71140,198000,64.07070707070707
U1,leo_clear_weak,named,test_unseen_day_seen_rx,23831,6169,30000,79.43666666666667
U1,leo_clear_weak,named,test_day_0,23831,6169,30000,79.43666666666667
U1,leo_clear_weak,named,test_seen_day_unseen_rx,78242,47758,126000,62.096825396825395
U1,leo_clear_weak,named,test_rx_0,13363,4637,18000,74.2388888888889
U1,leo_clear_weak,named,test_rx_2,8250,9750,18000,45.833333333333336
U1,leo_clear_weak,named,test_rx_5,13685,4315,18000,76.02777777777777
U1,leo_clear_weak,named,test_rx_7,7516,10484,18000,41.75555555555555
U1,leo_clear_weak,named,test_rx_9,12799,5201,18000,71.10555555555555
U1,leo_clear_weak,named,test_rx_10,10944,7056,18000,60.8
U1,leo_clear_weak,named,test_rx_11,11685,6315,18000,64.91666666666667
U1,leo_clear_weak,named,test_unseen_day_unseen_rx,24787,17213,42000,59.016666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_0,3646,2354,6000,60.766666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_2,2319,3681,6000,38.65
U1,leo_clear_weak,named,test_unseen_day_rx_5,3725,2275,6000,62.083333333333336
U1,leo_clear_weak,named,test_unseen_day_rx_7,3228,2772,6000,53.8
U1,leo_clear_weak,named,test_unseen_day_rx_9,3745,2255,6000,62.416666666666664
U1,leo_clear_weak,named,test_unseen_day_rx_10,4234,1766,6000,70.56666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_11,3890,2110,6000,64.83333333333333
U1,leo_clear_weak,receiver_all_days,0,17009,6991,24000,70.87083333333334
U1,leo_clear_weak,receiver_all_days,1,4364,1636,6000,72.73333333333333
U1,leo_clear_weak,receiver_all_days,2,10569,13431,24000,44.0375
U1,leo_clear_weak,receiver_all_days,3,4395,1605,6000,73.25
U1,leo_clear_weak,receiver_all_days,4,5299,701,6000,88.31666666666666
