variant,scene,true_tx,predicted_tx,count
U1,leo_clear_weak,1,5,85
U1,leo_clear_weak,2,0,3614
U1,leo_clear_weak,2,1,2527
U1,leo_clear_weak,2,2,15190
U1,leo_clear_weak,2,3,2431
U1,leo_clear_weak,2,4,3429
U1,leo_clear_weak,2,5,5809
U1,leo_clear_weak,3,0,5985
U1,leo_clear_weak,3,1,4944
U1,leo_clear_weak,3,2,595
U1,leo_clear_weak,3,3,20887
U1,leo_clear_weak,3,4,282
U1,leo_clear_weak,3,5,307
U1,leo_clear_weak,4,0,332
U1,leo_clear_weak,4,1,2409
U1,leo_clear_weak,4,2,76
U1,leo_clear_weak,4,3,4137
U1,leo_clear_weak,4,4,25892
U1,leo_clear_weak,4,5,154
U1,leo_clear_weak,5,0,141
U1,leo_clear_weak,5,1,223
U1,leo_clear_weak,5,2,67
U1,leo_clear_weak,5,3,18
U1,leo_clear_weak,5,4,2163
U1,leo_clear_weak,5,5,30388
U1,leo_low_elev_weak,0,0,23906
U1,leo_low_elev_weak,0,1,1808
U1,leo_low_elev_weak,0,2,518
U1,leo_low_elev_weak,0,3,6361
U1,leo_low_elev_weak,0,4,289
U1,leo_low_elev_weak,0,5,118
U1,leo_low_elev_weak,1,0,3479
U1,leo_low_elev_weak,1,1,9574
U1,leo_low_elev_weak,1,2,72
U1,leo_low_elev_weak,1,3,19009
U1,leo_low_elev_weak,1,4,755
U1,leo_low_elev_weak,1,5,111
U1,leo_low_elev_weak,2,0,3625
U1,leo_low_elev_weak,2,1,2701
U1,leo_low_elev_weak,2,2,14423
U1,leo_low_elev_weak,2,3,2570
U1,leo_low_elev_weak,2,4,3507
U1,leo_low_elev_weak,2,5,6174
U1,leo_low_elev_weak,3,0,7552
U1,leo_low_elev_weak,3,1,4956
U1,leo_low_elev_weak,3,2,629
U1,leo_low_elev_weak,3,3,18971
U1,leo_low_elev_weak,3,4,522
U1,leo_low_elev_weak,3,5,370
U1,leo_low_elev_weak,4,0,464
U1,leo_low_elev_weak,4,1,2711
U1,leo_low_elev_weak,4,2,87
U1,leo_low_elev_weak,4,3,4747
U1,leo_low_elev_weak,4,4,24772
U1,leo_low_elev_weak,4,5,219
U1,leo_low_elev_weak,5,0,272
U1,leo_low_elev_weak,5,1,245
U1,leo_low_elev_weak,5,2,158
U1,leo_low_elev_weak,5,3,21
U1,leo_low_elev_weak,5,4,2160
U1,leo_low_elev_weak,5,5,30144
U1,leo_rain_weak,0,0,24381
U1,leo_rain_weak,0,1,1930
U1,leo_rain_weak,0,2,511
U1,leo_rain_weak,0,3,5778
U1,leo_rain_weak,0,4,301
U1,leo_rain_weak,0,5,99
U1,leo_rain_weak,1,0,3847
U1,leo_rain_weak,1,1,9813
U1,leo_rain_weak,1,2,71
U1,leo_rain_weak,1,3,18347
U1,leo_rain_weak,1,4,811
U1,leo_rain_weak,1,5,111
U1,leo_rain_weak,2,0,3705
U1,leo_rain_weak,2,1,2625
U1,leo_rain_weak,2,2,14425
U1,leo_rain_weak,2,3,2489
U1,leo_rain_weak,2,4,3440
U1,leo_rain_weak,2,5,6316
U1,leo_rain_weak,3,0,8198
U1,leo_rain_weak,3,1,4770
U1,leo_rain_weak,3,2,657
U1,leo_rain_weak,3,3,18466
U1,leo_rain_weak,3,4,523
U1,leo_rain_weak,3,5,386
U1,leo_rain_weak,4,0,490
U1,leo_rain_weak,4,1,2681
U1,leo_rain_weak,4,2,97
U1,leo_rain_weak,4,3,4723
U1,leo_rain_weak,4,4,24778
U1,leo_rain_weak,4,5,231
U1,leo_rain_weak,5,0,206
U1,leo_rain_weak,5,1,187
U1,leo_rain_weak,5,2,128
U1,leo_rain_weak,5,3,22
U1,leo_rain_weak,5,4,2162
U1,leo_rain_weak,5,5,30295
U1_mask_off,clean,0,0,30727
U1_mask_off,clean,0,1,150
U1_mask_off,clean,0,2,357
U1_mask_off,clean,0,3,1661
U1_mask_off,clean,0,4,62
U1_mask_off,clean,0,5,43
U1_mask_off,clean,1,0,511
U1_mask_off,clean,1,1,15018
U1_mask_off,clean,1,2,33
U1_mask_off,clean,1,3,17207
U1_mask_off,clean,1,4,179
U1_mask_off,clean,1,5,52
U1_mask_off,clean,2,0,1224
U1_mask_off,clean,2,1,576
U1_mask_off,clean,2,2,21323
U1_mask_off,clean,2,3,3057
U1_mask_off,clean,2,4,1275
U1_mask_off,clean,2,5,5545
U1_mask_off,clean,3,0,1935
U1_mask_off,clean,3,1,5969
U1_mask_off,clean,3,2,173
U1_mask_off,clean,3,3,24720
U1_mask_off,clean,3,4,70
U1_mask_off,clean,3,5,133
U1_mask_off,clean,4,0,26
U1_mask_off,clean,4,1,11
U1_mask_off,clean,4,2,26
U1_mask_off,clean,4,3,10
U1_mask_off,clean,4,4,32859
U1_mask_off,clean,4,5,68
U1_mask_off,clean,5,0,24
U1_mask_off,clean,5,1,22
U1_mask_off,clean,5,2,57
U1_mask_off,clean,5,3,26
U1_mask_off,clean,5,4,1867
U1_mask_off,clean,5,5,31004
U1_mask_off,leo_clear_weak,0,0,19799
U1_mask_off,leo_clear_weak,0,1,1925
U1_mask_off,leo_clear_weak,0,2,484
U1_mask_off,leo_clear_weak,0,3,10497
U1_mask_off,leo_clear_weak,0,4,226
U1_mask_off,leo_clear_weak,0,5,69
U1_mask_off,leo_clear_weak,1,0,1302
U1_mask_off,leo_clear_weak,1,1,8996
U1_mask_off,leo_clear_weak,1,2,66
U1_mask_off,leo_clear_weak,1,3,22257
U1_mask_off,leo_clear_weak,1,4,308
U1_mask_off,leo_clear_weak,1,5,71
U1_mask_off,leo_clear_weak,2,0,2998
U1_mask_off,leo_clear_weak,2,1,1395
U1_mask_off,leo_clear_weak,2,2,16558
U1_mask_off,leo_clear_weak,2,3,4072
U1_mask_off,leo_clear_weak,2,4,2569
U1_mask_off,leo_clear_weak,2,5,5408
U1_mask_off,leo_clear_weak,3,0,3949
U1_mask_off,leo_clear_weak,3,1,4308
U1_mask_off,leo_clear_weak,3,2,848
U1_mask_off,leo_clear_weak,3,3,23431
U1_mask_off,leo_clear_weak,3,4,187
U1_mask_off,leo_clear_weak,3,5,277
U1_mask_off,leo_clear_weak,4,0,239
U1_mask_off,leo_clear_weak,4,1,1022
U1_mask_off,leo_clear_weak,4,2,133
U1_mask_off,leo_clear_weak,4,3,5115
U1_mask_off,leo_clear_weak,4,4,26343
U1_mask_off,leo_clear_weak,4,5,148
U1_mask_off,leo_clear_weak,5,0,112
U1_mask_off,leo_clear_weak,5,1,148
U1_mask_off,leo_clear_weak,5,2,120
U1_mask_off,leo_clear_weak,5,3,48
U1_mask_off,leo_clear_weak,5,4,1123
U1_mask_off,leo_clear_weak,5,5,31449
U1_mask_off,leo_low_elev_weak,0,0,19462
U1_mask_off,leo_low_elev_weak,0,1,2119
