variant,scene,day,correct,total,accuracy_percent
head_only,clean,1,33364,42000,79.43809523809524
head_only,clean,2,30733,42000,73.17380952380952
head_only,clean,3,32800,42000,78.0952380952381
head_only,leo_clear_weak,0,49138,72000,68.24722222222222
head_only,leo_clear_weak,1,26498,42000,63.09047619047619
head_only,leo_clear_weak,2,25023,42000,59.57857142857143
head_only,leo_clear_weak,3,27083,42000,64.48333333333333
head_only,leo_low_elev_weak,0,47046,72000,65.34166666666667
head_only,leo_low_elev_weak,1,25537,42000,60.80238095238095
head_only,leo_low_elev_weak,2,24128,42000,57.44761904761905
head_only,leo_low_elev_weak,3,26027,42000,61.96904761904762
head_only,leo_rain_weak,0,47012,72000,65.29444444444445
head_only,leo_rain_weak,1,25612,42000,60.98095238095238
head_only,leo_rain_weak,2,24177,42000,57.56428571428572
head_only,leo_rain_weak,3,26079,42000,62.09285714285714
permanent_detach,clean,0,59751,72000,82.9875
permanent_detach,clean,1,33857,42000,80.61190476190477
permanent_detach,clean,2,31226,42000,74.34761904761905
permanent_detach,clean,3,32657,42000,77.7547619047619
permanent_detach,leo_clear_weak,0,49439,72000,68.66527777777777
permanent_detach,leo_clear_weak,1,26607,42000,63.35
permanent_detach,leo_clear_weak,2,24962,42000,59.43333333333333
permanent_detach,leo_clear_weak,3,26923,42000,64.10238095238095
permanent_detach,leo_low_elev_weak,0,47258,72000,65.6361111111111
permanent_detach,leo_low_elev_weak,1,25754,42000,61.319047619047616
permanent_detach,leo_low_elev_weak,2,23999,42000,57.14047619047619
permanent_detach,leo_low_elev_weak,3,25999,42000,61.90238095238095
permanent_detach,leo_rain_weak,0,47337,72000,65.74583333333334
permanent_detach,leo_rain_weak,1,25780,42000,61.38095238095238
permanent_detach,leo_rain_weak,2,24077,42000,57.326190476190476
permanent_detach,leo_rain_weak,3,25829,42000,61.49761904761905
