run_id,candidate,diagnostic_status,successful_rows,expected_rows,row_coverage,scene_slices,arm,old_before,old_after,old_gain,seen_new,h,ba,floor,min_old,min_new,forgetting,old_to_new,new_to_old,mean_i_syn,positive_i_syn_slices,zero_i_syn_slices,negative_i_syn_slices
adv3b02_ts_drqknn_bcrr_r2_affine_bcr2_zidtotal1_full125_21ffdabf_20260723_234716,ADV3B02-TS-DRQKNN-BCRR/r2-affine-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,6,125,0.048,18,M_OTHER,0.6458333333333334,0.31666666666666665,-0.32916666666666666,0.1525,0.2049092303052186,0.19038461538461537,0.016666666666666666,0.05833333333333334,0.016666666666666666,0.32916666666666666,0.5398148148148149,0.19069444444444442,0.0,0,18,0
adv3b02_ts_drqknn_bcrr_r2_affine_bcr2_zidtotal1_full125_21ffdabf_20260723_234716,ADV3B02-TS-DRQKNN-BCRR/r2-affine-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,6,125,0.048,18,M_JOINT,0.6458333333333334,0.3125,-0.3333333333333333,0.1534722222222222,0.20483788894955693,0.19017094017094016,0.011111111111111112,0.0638888888888889,0.011111111111111112,0.3333333333333333,0.5416666666666666,0.1909722222222222,0.0,0,18,0
adv3b02_ts_drqknn_bcrr_r3_q2f32_bcr2_zidtotal1_full125_aa22820c_20260724_023120,ADV3B02-TS-DRQKNN-BCRR/r3-q2f32-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,24,125,0.192,72,M0,0.7385416666666668,0.4217592592592592,-0.3167824074074074,0.18152777777777776,0.2481451607720324,0.2375801282051282,0.010416666666666666,0.08958333333333333,0.010416666666666666,0.3167824074074074,0.459837962962963,0.2438888888888889,0.0,0,72,0
adv3b02_ts_drqknn_bcrr_r3_q2f32_bcr2_zidtotal1_full125_aa22820c_20260724_023120,ADV3B02-TS-DRQKNN-BCRR/r3-q2f32-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,24,125,0.192,72,M_DA,0.7398148148148148,0.4221064814814815,-0.3177083333333333,0.18208333333333335,0.24869962244250518,0.23810096153846153,0.008333333333333333,0.09097222222222222,0.008333333333333333,0.3177083333333333,0.4607638888888889,0.24364583333333334,0.0,0,72,0
adv3b02_ts_drqknn_bcrr_r3_q2f32_bcr2_zidtotal1_full125_aa22820c_20260724_023120,ADV3B02-TS-DRQKNN-BCRR/r3-q2f32-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,24,125,0.192,72,M_OTHER,0.7439814814814815,0.4217592592592592,-0.3222222222222222,0.18152777777777776,0.2481451607720324,0.2375801282051282,0.010416666666666666,0.08958333333333333,0.010416666666666666,0.3222222222222222,0.459837962962963,0.2438888888888889,0.0,0,72,0
adv3b02_ts_drqknn_bcrr_r3_q2f32_bcr2_zidtotal1_full125_aa22820c_20260724_023120,ADV3B02-TS-DRQKNN-BCRR/r3-q2f32-bcr2-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,24,125,0.192,72,M_JOINT,0.7439814814814815,0.4221064814814815,-0.32187499999999997,0.18208333333333335,0.24869962244250518,0.23810096153846153,0.008333333333333333,0.09097222222222222,0.008333333333333333,0.32187499999999997,0.4607638888888889,0.24364583333333334,0.0,0,72,0
adv3b02_ts_drqknn_bcrr_r4_q2f32_bcr3_zidtotal1_procbindfix1_full125_467b8aa5_20260724_035813,ADV3B02-TS-DRQKNN-BCRR/r4-q2f32-bcr3-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,35,125,0.28,105,M0,0.7178571428571429,0.41111111111111115,-0.3067460317460317,0.19816666666666666,0.2607555523025649,0.25286401098901096,0.018095238095238095,0.08857142857142858,0.018571428571428572,0.3067460317460317,0.45880952380952383,0.2604761904761905,0.0,0,105,0
adv3b02_ts_drqknn_bcrr_r4_q2f32_bcr3_zidtotal1_procbindfix1_full125_467b8aa5_20260724_035813,ADV3B02-TS-DRQKNN-BCRR/r4-q2f32-bcr3-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,35,125,0.28,105,M_DA,0.7184920634920635,0.41182539682539687,-0.30666666666666664,0.19797619047619047,0.26073752101746367,0.25309294871794874,0.016666666666666666,0.08952380952380952,0.017142857142857144,0.30666666666666664,0.45865079365079364,0.26076190476190475,0.0,0,105,0
adv3b02_ts_drqknn_bcrr_r4_q2f32_bcr3_zidtotal1_procbindfix1_full125_467b8aa5_20260724_035813,ADV3B02-TS-DRQKNN-BCRR/r4-q2f32-bcr3-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,35,125,0.28,105,M_OTHER,0.7238095238095238,0.41111111111111115,-0.3126984126984127,0.19816666666666666,0.2607555523025649,0.25286401098901096,0.018095238095238095,0.08857142857142858,0.018571428571428572,0.3126984126984127,0.45880952380952383,0.2604761904761905,0.0,0,105,0
adv3b02_ts_drqknn_bcrr_r4_q2f32_bcr3_zidtotal1_procbindfix1_full125_467b8aa5_20260724_035813,ADV3B02-TS-DRQKNN-BCRR/r4-q2f32-bcr3-zidtotal1,PARTIAL_MATRIX_DIAGNOSTIC,35,125,0.28,105,M_JOINT,0.7232539682539683,0.41182539682539687,-0.3114285714285714,0.19797619047619047,0.26073752101746367,0.25309294871794874,0.016666666666666666,0.08952380952380952,0.017142857142857144,0.3114285714285714,0.45865079365079364,0.26076190476190475,0.0,0,105,0
