file,collab_count,old_acc,min_old,seen_new_acc,min_seen,unknown_reject,unknown_FAR,known_coverage,known_accepted_accuracy,bytes_per_event,known_avg,known_floor,strict_min
direct_base_k10_candidate_set_cvs.json,1,0.22126436781609196,0.0,0.0,0.0,0.9637305699481865,0.03626943005181347,0.1296043656207367,0.8105263157894737,40.0,0.11063218390804598,0.0,0.0
direct_base_k10_risk_margin.json,1,0.22126436781609196,0.0,0.0,0.0,0.0,0.03626943005181347,0.1296043656207367,0.8105263157894737,40.0,0.11063218390804598,0.0,0.0
direct_v42carry_k10_candidate_set_cvs.json,1,0.20977011494252873,0.0,0.0,0.0,0.9637305699481865,0.03626943005181347,0.12414733969986358,0.8021978021978022,40.0,0.10488505747126436,0.0,0.0
direct_v42carry_k10_risk_margin.json,1,0.20977011494252873,0.0,0.0,0.0,0.0,0.03626943005181347,0.12414733969986358,0.8021978021978022,40.0,0.10488505747126436,0.0,0.0
direct_base_k10_candidate_set_cvs.json,2,0.1867816091954023,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.0927694406548431,0.9558823529411765,68.7756925826631,0.09339080459770115,0.0,0.0
direct_base_k10_risk_margin.json,2,0.1867816091954023,0.0,0.0,0.0,0.0,0.018134715025906734,0.0927694406548431,0.9558823529411765,68.7756925826631,0.09339080459770115,0.0,0.0
direct_base_k10_candidate_set_cvs.json,3,0.1839080459770115,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.09140518417462483,0.9552238805970149,77.7479892761394,0.09195402298850575,0.0,0.0
direct_base_k10_candidate_set_cvs.json,4,0.1839080459770115,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.09140518417462483,0.9552238805970149,78.64164432529044,0.09195402298850575,0.0,0.0
direct_base_k10_candidate_set_cvs.json,5,0.1839080459770115,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.09140518417462483,0.9552238805970149,78.64164432529044,0.09195402298850575,0.0,0.0
direct_base_k10_risk_margin.json,3,0.1839080459770115,0.0,0.0,0.0,0.0,0.018134715025906734,0.09140518417462483,0.9552238805970149,77.7479892761394,0.09195402298850575,0.0,0.0
direct_base_k10_risk_margin.json,4,0.1839080459770115,0.0,0.0,0.0,0.0,0.018134715025906734,0.09140518417462483,0.9552238805970149,78.64164432529044,0.09195402298850575,0.0,0.0
direct_base_k10_risk_margin.json,5,0.1839080459770115,0.0,0.0,0.0,0.0,0.018134715025906734,0.09140518417462483,0.9552238805970149,78.64164432529044,0.09195402298850575,0.0,0.0
direct_v42carry_k10_candidate_set_cvs.json,2,0.1752873563218391,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.08731241473396999,0.953125,68.7756925826631,0.08764367816091954,0.0,0.0
direct_v42carry_k10_risk_margin.json,2,0.1752873563218391,0.0,0.0,0.0,0.0,0.018134715025906734,0.08731241473396999,0.953125,68.7756925826631,0.08764367816091954,0.0,0.0
direct_v42carry_k10_candidate_set_cvs.json,3,0.16954022988505746,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.08458390177353342,0.9516129032258065,77.7479892761394,0.08477011494252873,0.0,0.0
direct_v42carry_k10_candidate_set_cvs.json,4,0.16954022988505746,0.0,0.0,0.0,0.9818652849740933,0.018134715025906734,0.08458390177353342,0.9516129032258065,78.64164432529044,0.08477011494252873,0.0,0.0
