candidate,mechanism,row_count,max_epoch,expected_epochs,best_epoch,active_loss,nonfinite_metric_count_final,overall,strict_udu,receiver_floor,sat_mean,sat_floor,sat_strict_mean,sat_strict_floor,weak_rx,weak_rx_acc,weak_udu_rx,weak_udu_rx_acc,rx7,rx8,rx9,rx10,rx11,best_overall,best_strict_udu,best_receiver_floor,best_sat_strict_floor,gap_strict,gap_receiver_floor,gap_sat_strict_floor,ow_p95,ow_p99,r3sigma,tail_frac,min_inter,source_episode_overflow,source_mix_overflow,ow_vac_rate,proxy_auc,proxy_vaccept,proxy_vaccept_core,proxy_accept,hard_proxy_accept,shell_accept,bridge_accept,outward_accept,low_density_accept_prob,component_gate_accept,component_gate_max,energy_q05,energy_q10,radius_inter_ratio,metrics_component_radius_p95,metrics_component_radius_max,vaccept_surrogate,bridge_loss,shell_outward_loss,low_density_loss,energy_quantile_loss,radius_budget_loss,radius_ratio_loss,tail_accept_loss,overflow_accept_loss,prototype_components,prototype_accept_policy,prototype_global_ball_accept,prototype_accept_radius_p95,prototype_accept_radius_max,prototype_cap_hit_frac,prototype_nearest_other_min,prototype_geometry_min_inter,prototype_geometry_radius_p95_mean,stdout_exists_local,stdout_bytes_local,status_exit0,traceback_count,runtime_error_count,fatal_count,nan_line_count,epoch_begin_count,config_adg_count,proxy_adg_count,sat_test_count,delta_overall_vs_adv3b02,delta_strict_vs_adv3b02,delta_receiver_floor_vs_adv3b02,delta_sat_strict_floor_vs_adv3b02,delta_proxy_vaccept_vs_adv3b02,delta_bridge_accept_vs_adv3b02,delta_source_overflow_vs_adv3b02,delta_p99_vs_adv3b02,delta_comp_r95_vs_adv3b02,quadrant,best_ow_p95,best_ow_p99,best_source_episode_overflow,best_proxy_vaccept,best_hard_proxy_accept,best_shell_accept,best_bridge_accept
ADG8G0_B02_ANCHOR_E200,B02 anchor rerun,200,200,200,110,True,2.0,84.83774509803922,77.28166666666667,68.74166666666666,49.811764705882354,48.69656862745098,44.635,43.63333333333333,rx8,68.74166666666666,unseen_day_rx8,61.05833333333333,82.25833333333334,68.74166666666666,91.91666666666667,82.35,91.75,85.0107843137255,77.61166666666666,69.04166666666667,43.71333333333333,0.3299999999999983,0.30000000000001137,0.0799999999999983,59.924485889770374,75.4397013468155,54.935527206771965,0.048413278897985426,67.31599997094311,0.6233310880234579,0.23012821296086677,0.1113701947982638,0.7273435996128963,0.4076923186962421,0.3589743701311258,0.13450673428865578,0.2889422308940154,0.075,1.0,0.0019230769230769232,0.008124234674211878,0.046207254415807815,0.36184990767102976,-0.21243261190561147,-0.20494581025380354,1.4173069605460533,59.803642872959756,79.66636804586842,6.011295722081111,7.644918647179237,1.5535395007867079,0.02620872607311377,7.310447949629563,24.96688478910006,12.420691783611591,0.7167889300546448,2.790244486779333,33,local_component,False,14.999999999999996,14.999999999999998,0.24242424242424243,66.71492581697598,84.16969838744193,19.22769114571228,True,1004442,True,0,0,0,858,200,1,200,84,-4.346568627450978,-7.608333333333334,-6.808333333333337,-25.13833333333333,0.00032051113935616105,0.0,0.16404305199857389,-3.7179354003802416,52.42569065108617,两者都不足,60.20216796603608,75.19667995867158,0.6198385372960536,0.41378206152182356,0.2864565257842724,0.07692307692307693,1.0
ADG8G1_BRIDGE_CVAR_E200,bridge CVaR governance,200,200,200,70,True,2.0,86.41470588235295,78.565,82.1,53.85833333333333,52.70980392156863,49.791666666666664,48.825,rx7,82.1,unseen_day_rx10,66.59166666666667,82.1,83.6,93.26666666666667,82.80833333333334,90.38333333333334,86.48235294117647,78.50166666666667,78.66666666666667,48.095,-0.06333333333333258,-3.433333333333323,-0.730000000000004,60.49680903423148,76.91552112658712,57.04900887648326,0.04297759089714442,67.09098501050812,0.61071537108777,0.2564102635360681,0.1412259655341936,0.7282897151433505,0.398076934997852,0.3618589855157412,0.12921393708540843,0.2918063670396805,0.08365384615384615,1.0,0.0019230769230769232,0.008531090762251272,0.04690279135337243,0.3183860685962897,-0.22485943299073438,-0.2166303657568418,1.492675937139071,60.173930072570236,80.32829617935137,6.2314680319566,8.848627838721642,1.720014742246041,0.02742809131025122,8.113021872593807,25.23316192626953,13.814528810060942,1.0077004216803778,2.8306708618174667,33,local_component,False,14.364499130257048,14.999999999999998,0.06060606060606061,86.6536556106318,87.35350227658415,17.768335852174435,True,1005372,True,0,0,0,858,200,1,200,84,-2.7696078431372513,-6.325000000000003,6.549999999999997,-19.94666666666666,-0.00929487255903394,0.0,0.15142733506288591,-2.2421156206086152,52.79597785069665,两者都不足,66.04905042330559,81.44239386927165,0.6277656261745924,0.43846155129946196,0.28371843993663787,0.05384615384615385,1.0
ADG8G2_SHELL_LOW_DENS_E200,shell/low-density accept,200,200,200,198,True,4.0,86.3906862745098,80.715,74.35833333333333,56.63022875816993,55.60686274509804,50.080555555555556,49.358333333333334,rx7,74.35833333333333,unseen_day_rx8,65.95833333333333,74.35833333333333,75.13333333333334,95.63333333333334,89.69166666666666,82.28333333333333,86.50980392156863,80.93,74.63333333333334,49.67,0.2150000000000034,0.2750000000000057,0.3116666666666674,54.46377544544428,68.27279357060567,51.50857877592112,0.04815279752589187,58.21247403098122,0.6052711266530935,0.31923077759834434,0.13466346434030968,0.7097067933816176,0.42467949940608096,0.3871794989475837,0.1866049241561156,0.3274690224574162,0.14807692307692308,1.0,0.013461538461538462,0.008926296536810697,0.046734147053211925,0.2896203804474611,-0.24311025188519406,-0.22914197009343368,1.562077439748324,54.14028922742589,73.75315662331047,6.590285271864671,8.559053919865535,1.8322461483570245,0.028389876572271953,8.036837533804087,22.469364283635066,14.851665672889123,0.37431192202192715,1.8279122513324881,33,local_component,False,14.999999999999996,14.999999999999998,0.36363636363636365,69.04930434951615,82.003408269524,16.307597445329655,True,1007878,True,0,0,0,858,200,1,200,84,-2.793627450980395,-4.174999999999997,-1.1916666666666629,-19.413333333333327,0.017307691849195006,0.0,0.1459830906282094,-10.884843176590067,46.762337005552304,两者都不足,54.4826834581236,68.46571620420642,0.6085796780221814,0.42339744751270003,0.3222545195084352,0.1375,1.0
ADG8G3_ENERGY_Q10_E200,energy q10 governance,200,200,200,40,True,4.0,85.87058823529412,79.595,66.78333333333333,49.24166666666667,48.26029411764706,45.58166666666667,44.63333333333333,rx8,66.78333333333333,unseen_day_rx8,61.13333333333333,79.88333333333334,66.78333333333333,95.06666666666666,83.6,94.36666666666666,86.86617647058823,81.185,70.75,42.035,1.5900000000000034,3.9666666666666686,-2.5983333333333363,57.85725904921714,72.47619270485181,55.06817431412594,0.04677412673257864,62.17348970361697,0.6348009074803842,0.2544871851801872,0.13992788711061271,0.7284290487949665,0.41666667828193077,0.3599359090511616,0.13737639280465933,0.2888027546497492,0.07884615384615384,1.0,0.0009615384615384616,0.0081403509588339,0.04302923853437488,0.3039519118001828,-0.22910326146162474,-0.2183853995341521,1.7126257923933177,57.70495891316511,77.25381062375337,6.69180529667781,8.688516624157245,1.4794691140835101,0.0262326306448533,8.20027514237624,24.429914474487305,16.773464532998894,0.6559391547680766,1.4216016856129639,33,local_component,False,14.999999999999996,14.999999999999998,0.24242424242424243,45.87462508064888,80.46705966856717,29.126228394684663,True,1004405,True,0,0,0,858,200,1,200,84,-3.3137254901960773,-5.295000000000002,-8.766666666666666,-24.13833333333333,0.009294870725044813,0.0,0.17551287145550015,-6.6814440423439265,50.32700669129152,两者都不足,67.21112504323341,78.20242953777773,0.7202636181246662,,,,
ADG8G4_RADIUS_RATIO_E200,radius/inter-ratio budget,200,200,200,180,True,4.0,87.57843137254902,81.55166666666666,83.29166666666667,51.28366013071895,50.37156862745098,46.95388888888889,46.193333333333335,rx7,83.29166666666667,unseen_day_rx7,71.96666666666667,83.29166666666667,84.525,91.625,85.95,93.45,87.58382352941176,81.57166666666667,83.24166666666666,46.25666666666667,0.020000000000010232,-0.05000000000001137,0.06333333333333258,58.17611618533541,74.98662736825214,55.94636777809732,0.04718175937827579,66.642385554545,0.609613933820184,0.24807693047019153,0.12870192563591096,0.7198011618394118,0.40288462730554436,0.3628205235187824,0.1638403339454761,0.30491228057787967,0.08461538461538462,1.0,0.0038461538461538464,0.00784097141586244,0.04974645610468892,0.32624785819878943,-0.22057538559803597,-0.2097681877704767,1.527010336289039,57.452881114501125,78.59203634777492,6.176302546721239,7.9841751905588,1.503154071019246,0.02520084851063215,7.485406127342811,24.943001204270583,14.451927361121545,0.5969260490944109,2.1373336114669934,33,local_component,False,12.933230083444478,14.301596586847978,0.0,83.3145493763309,87.41054118634294,14.62896063603584,True,1006303,True,0,0,0,858,200,1,200,84,-1.6058823529411796,-3.3383333333333383,7.741666666666674,-22.578333333333326,-0.004487180251341594,0.0,0.15032589779529998,-4.1710093789435945,50.07492889262754,两者都不足,58.874500033193975,74.7519460614042,0.6033239266595272,0.4076923182377448,0.2792829142167018,0.07307692307692308,1.0
ADG8G5_TAIL_OVERFLOW_E200,tail/overflow quarantine,200,200,200,182,True,4.0,87.01323529411765,81.19666666666667,76.13333333333334,49.00833333333333,47.91519607843137,44.67444444444445,43.86333333333334,rx8,76.13333333333334,unseen_day_rx8,69.58333333333333,84.13333333333334,76.13333333333334,94.1,89.11666666666666,86.19166666666666,87.11666666666666,81.29333333333334,76.23333333333333,43.916666666666664,0.09666666666666401,0.09999999999999432,0.05333333333332746,59.75738394568821,76.92541591655791,56.36233050174444,0.048358680322193176,68.52907867385352,0.691888300901816,0.19743590286144844,0.13653846229784763,0.7232632251886221,0.41506411341520455,0.3532051389033978,0.1443250679052793,0.29056575642182275,0.058653846153846154,1.0,0.0009615384615384616,0.006829621879240641,0.04435194055908001,0.26812403763716036,-0.20941455891499153,-0.20312389112435855,1.584504430110638,60.03653356690691,80.4811334309718,5.984208132670476,7.667199164170485,1.189276360376523,0.02203170331553198,7.246218175154466,25.034584045410156,14.570653255169209,0.0,2.620165539189027,30,local_component,False,12.462837146362382,13.412542984084128,0.0,81.36917417558826,87.36613129635951,12.77608057837312,True,1006687,True,0,0,0,858,200,1,200,84,-2.1710784313725497,-3.693333333333328,0.5833333333333428,-24.908333333333324,0.007692305858318593,0.0,0.23260026487693192,-2.2322208306378286,52.658581345033326,两者都不足,61.80935823826591,76.33890883348691,0.6888028052457542,0.4227564243169931,0.29023697376251223,0.04230769230769231,1.0
ADG8G6_CONSERVATIVE_ALL_E200,conservative all-term stack,200,200,200,170,True,2.0,86.18186274509804,77.94,70.71666666666667,50.2640522875817,49.266176470588235,44.77888888888889,43.955,rx8,70.71666666666667,unseen_day_rx8,65.1,80.36666666666666,70.71666666666667,92.45,92.95,83.325,86.2406862745098,78.09666666666666,71.20833333333333,44.655,0.1566666666666663,0.49166666666666003,0.7000000000000028,50.20564132932623,60.64690622411654,50.36013716103676,0.03773729945413578,51.7797117515711,0.6198328219681981,0.40448719010903283,0.1624519259847987,0.6939705316837017,0.48846155129946195,0.40576924039767337,0.22795994917933757,0.35113506156664626,0.18076923076923077,1.0,0.03653846153846154,0.01319057196736909,0.05359960292967466,0.3542214760413537,-0.2530332748706524,-0.2442218092771677,1.6386770303432758,49.85252727434589,65.59921936602032,6.924725107046274,9.424276278569149,2.23596287553127,0.0416904999802892,8.582028719095083,21.176675943227913,16.74817026578463,0.956187978953844,2.710397542418482,32,local_component,False,14.615471012425065,14.615471012425065,0.0,68.60611485127123,73.75305884652552,15.035151985976498,True,1009649,True,0,0,0,858,200,1,200,84,-3.0024509803921546,-6.950000000000003,-4.833333333333329,-24.816666666666663,0.08108974374257599,0.0,0.16054478594331406,-18.510730523079197,42.474575052472304,两者都不足,50.806705016636165,61.917774934299786,0.6054940737255907,0.4891025795386388,0.3623939172579692,0.20576923076923076,1.0
ADG8G7_STRONG_ALL_SAT_E200,strong all + satellite guard,200,200,200,140,True,4.0,88.28137254901961,84.42,77.03333333333333,50.27598039215686,49.56617647058823,45.89166666666667,45.43833333333333,rx7,77.03333333333333,unseen_day_rx8,73.925,77.03333333333333,78.88333333333334,97.725,94.45833333333333,97.31666666666666,88.31225490196078,84.62666666666667,76.75,45.608333333333334,0.20666666666666345,-0.28333333333333144,0.1700000000000017,50.90655613005169,60.81572990126873,51.297194403693375,0.028713331796610966,48.716441957664316,0.5520143733777745,0.4282051411958841,0.17951923386337093,0.67331199829395,0.5198718107663668,0.41762821811896106,0.29010634743250335,0.378247713125669,0.19134615384615383,1.0,0.06153846153846154,0.013105612412954753,0.06518355034864866,0.4767660381702276,-0.2635741767975,-0.2533182414678427,1.6794148766077481,50.851151947260874,66.38730671524449,7.266976173107441,11.330113454965444,3.0677667640722714,0.04087326700011125,9.328405967125526,22.234200140146108,17.297268926180326,1.7251105090701737,1.98782961513274,33,local_component,False,14.999999999999996,14.999999999999998,0.18181818181818182,56.04575416695388,71.49245064635889,15.778732482800985,False,0,True,0,0,0,0,0,0,0,0,-0.9029411764705912,-0.46999999999999886,1.4833333333333343,-23.33333333333333,0.11250000320948084,0.0,0.09272633735289043,-18.341906845927006,43.47319972538729,泛化提升但拒识风险未降/上升,50.58760179508752,61.92268295061763,0.5409001252870848,0.5391025827481196,0.3890862937156971,0.2403846153846154,1.0
