row,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,delta_leo_pp,worst_leo_rx_scene,clean_macro_f1
B0,74.36428571428571,62.9375,61.335119047619045,61.13392857142858,61.80218253968254,0.0,43.69583333333333,73.8400331844962
B1,73.62619047619047,64.38809523809523,62.15714285714286,61.705952380952375,62.75039682539681,0.9482142857142772,47.37916666666667,72.52873419706337
B2,77.0625,65.2845238095238,63.250595238095244,62.813095238095244,63.7827380952381,1.9805555555555632,46.020833333333336,76.95290825380363
B3,77.16964285714286,59.6220238095238,58.00297619047618,57.81071428571428,58.47857142857143,-3.3236111111111133,41.295833333333334,76.85006156886051
B3_lr_high,77.37261904761905,65.80119047619047,63.97202380952381,63.97559523809524,64.58293650793651,2.7807539682539684,48.37083333333334,76.89521237135217
B3_head_slow,76.9857142857143,63.95952380952381,61.95773809523809,61.63214285714286,62.51646825396825,0.7142857142857117,47.34583333333333,77.08405601759522
B3_head_fast,75.93154761904762,65.74821428571428,63.56309523809524,63.39285714285714,64.23472222222223,2.4325396825396917,46.708333333333336,75.68968353072977
B7,76.04345238095237,59.31845238095238,57.389880952380956,57.22678571428571,57.97837301587302,-3.823809523809518,41.875,75.35171366035584
S1,73.73154761904762,61.38392857142857,59.703571428571436,59.48154761904762,60.18968253968254,-1.6124999999999945,40.2375,73.31842762829733
S3,77.26130952380953,66.52678571428572,64.61607142857143,64.15892857142858,65.10059523809524,3.2984126984127005,49.03333333333333,76.81166497011353
S4,76.71190476190476,65.08392857142857,63.224999999999994,62.99821428571428,63.76904761904761,1.9668650793650766,47.583333333333336,75.74167274768025
C1,78.74285714285715,63.41547619047619,61.590476190476195,61.363095238095234,62.12301587301587,0.32083333333333686,45.329166666666666,78.65259915739065
C2,78.9952380952381,64.1625,61.68214285714285,61.22380952380952,62.35615079365079,0.5539682539682511,46.916666666666664,78.75578434018857
H1,74.94107142857143,65.79166666666667,63.63154761904762,63.38690476190476,64.27003968253969,2.467857142857155,47.53333333333333,74.23827908546806
J1,78.1732142857143,64.37857142857143,62.7470238095238,62.61071428571429,63.2454365079365,1.4432539682539658,46.858333333333334,77.94325681391462
B8,78.52261904761905,67.35297619047618,64.84880952380952,64.4654761904762,65.55575396825397,3.753571428571423,51.00833333333333,77.99341557339721
B3_head_scale,75.05952380952381,63.992261904761904,62.28392857142857,62.09464285714286,62.79027777777778,0.9880952380952435,44.3375,74.75613199655588
B3_adv_low,77.33630952380952,65.9095238095238,63.83571428571428,63.525595238095235,64.42361111111111,2.6214285714285745,49.12916666666667,77.17436186374199
B3_adv_high,76.27559523809524,64.26726190476191,62.53154761904762,62.31428571428571,63.037698412698404,1.2355158730158688,46.1125,75.9438238784653
B4,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,-45.135515873015876,16.666666666666664,4.761904761904762
B4_fixedk,77.60476190476192,65.43690476190476,63.247619047619054,62.993452380952384,63.892658730158736,2.090476190476198,46.15416666666667,77.1385809642668
B5,77.29285714285714,66.84761904761905,64.85833333333333,64.63035714285714,65.4454365079365,3.6432539682539677,47.0625,77.02375539322793
S2,76.13095238095238,65.06130952380951,63.43690476190476,63.144642857142856,63.88095238095238,2.078769841269845,45.916666666666664,75.84255592245506
S2_random,78.50952380952381,65.51130952380953,63.45892857142857,63.20476190476191,64.05833333333334,2.256150793650802,48.20833333333333,78.29565947777256
C3,77.48511904761905,61.60297619047619,59.79940476190476,59.54166666666667,60.31468253968254,-1.4874999999999972,42.9,76.99581033798066
