row,scene,n_seeds,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std
V2_A,clean,3,0.9807407407407408,0.0016041783576079738,0.9807228800978356,0.00161218618887402
V2_A,leo_clear_weak,3,0.8772839506172839,0.01321186093321835,0.8771359882414989,0.013325524982359572
V2_A,leo_low_elev_weak,3,0.8417283950617284,0.00874735573082884,0.8412121181329048,0.009305208161919008
V2_A,leo_rain_weak,3,0.8434074074074074,0.009470117611308561,0.8428578155579236,0.010032859255938296
V2_A,LEO_mean,3,0.8541399176954733,0.010407900441826375,0.8537353073107757,0.010788052596489508
V2_A,four_scene_mean,3,0.8857901234567901,0.007479191144963425,0.8854822005075407,0.007798957932600079
V2_B,clean,3,0.9797777777777777,0.0029678200929726993,0.9797626695952472,0.002969193386302582
V2_B,leo_clear_weak,3,0.8850123456790123,0.006771838455521024,0.8845287890746117,0.006329972198560082
V2_B,leo_low_elev_weak,3,0.8459753086419753,0.0034596108421011437,0.844692171546863,0.003170280077313283
V2_B,leo_rain_weak,3,0.8463333333333333,0.001443494464437428,0.8449464369614667,0.0015636503616966013
V2_B,LEO_mean,3,0.8591069958847737,0.0023647481334584247,0.8580557991943139,0.0012621668475681258
V2_B,four_scene_mean,3,0.8892746913580247,0.001727598471634944,0.8884825167945472,0.0005921966109779696
V2_C,clean,1,0.9805185185185186,,0.9804912126450537,
V2_C,leo_clear_weak,1,0.8717037037037038,,0.8702973883194071,
V2_C,leo_low_elev_weak,1,0.8371481481481482,,0.8344691407969989,
V2_C,leo_rain_weak,1,0.8368148148148148,,0.8347825167666402,
V2_C,LEO_mean,1,0.8485555555555556,,0.846516348627682,
V2_C,four_scene_mean,1,0.8815462962962963,,0.8800100646320249,
