run_id,scene,tx_label,count,correct,predicted_count,precision,recall,f1
V2_A_seed392005,clean,0,4500,4438,4485,0.989520624303233,0.9862222222222222,0.9878686700055648
V2_A_seed392005,clean,1,4500,4420,4629,0.954849859580903,0.9822222222222222,0.9683426443202979
V2_A_seed392005,clean,2,4500,4449,4487,0.9915310898150211,0.9886666666666667,0.9900968064982753
V2_A_seed392005,clean,3,4500,4241,4285,0.9897316219369895,0.9424444444444444,0.965509391007399
V2_A_seed392005,clean,4,4500,4461,4604,0.9689400521285838,0.9913333333333333,0.9800087873462214
V2_A_seed392005,clean,5,4500,4465,4510,0.9900221729490022,0.9922222222222222,0.9911209766925638
V2_A_seed392005,leo_clear_weak,0,4500,3002,3210,0.935202492211838,0.6671111111111111,0.7787289234760052
V2_A_seed392005,leo_clear_weak,1,4500,3802,5306,0.7165473049378063,0.8448888888888889,0.7754436059555374
V2_A_seed392005,leo_clear_weak,2,4500,4374,4464,0.9798387096774194,0.972,0.9759036144578314
V2_A_seed392005,leo_clear_weak,3,4500,3508,4459,0.7867234806010316,0.7795555555555556,0.7831231164192433
V2_A_seed392005,leo_clear_weak,4,4500,4413,5016,0.8797846889952153,0.9806666666666667,0.9274905422446406
V2_A_seed392005,leo_clear_weak,5,4500,4437,4545,0.9762376237623762,0.986,0.981094527363184
V2_A_seed392005,leo_low_elev_weak,0,4500,2784,3069,0.9071358748778103,0.6186666666666667,0.735632183908046
V2_A_seed392005,leo_low_elev_weak,1,4500,3564,5261,0.6774377494772856,0.792,0.7302530478434587
V2_A_seed392005,leo_low_elev_weak,2,4500,4308,4485,0.9605351170568562,0.9573333333333334,0.9589315525876461
V2_A_seed392005,leo_low_elev_weak,3,4500,3169,4286,0.7393840410639291,0.7042222222222222,0.7213749146369224
V2_A_seed392005,leo_low_elev_weak,4,4500,4379,5302,0.8259147491512637,0.9731111111111111,0.893491124260355
V2_A_seed392005,leo_low_elev_weak,5,4500,4399,4597,0.9569284315858169,0.9775555555555555,0.9671320215455644
V2_A_seed392005,leo_rain_weak,0,4500,2916,3289,0.8865916692003648,0.648,0.7487482346899473
V2_A_seed392005,leo_rain_weak,1,4500,3500,5308,0.6593820648078372,0.7777777777777778,0.7137030995106036
