feature,heuristic_cross_domain_score,tx_ridge_val_acc,tx_ridge_test_acc,tx_ncm_val_acc,tx_ncm_test_acc,dom_ridge_val_acc,fisher_train,fisher_test,src_same_tx_cross_dom_cos,train_test_centroid_cos,clean_dac_cos,clean_dac_rel_shift,tx_ncm_test_under_dac_acc,clean_pa_cos,clean_pa_rel_shift,tx_ncm_test_under_pa_acc,dac_minus_pa_shift
id_feat_dac,74.681136,97.366667,85.700000,89.513333,77.773333,74.506667,2.812955,3.721682,0.997070,0.984424,0.605618,2.890142,45.706667,0.829087,0.570578,58.753333,2.319565
z_id,74.445954,97.713333,87.300000,83.793333,73.466667,71.686667,1.718323,1.273715,0.998308,0.979965,0.780227,1.116700,45.493333,0.787838,0.671773,53.260000,0.444927
id_feat_cls,74.445954,97.713333,87.300000,83.793333,73.466667,71.686667,1.718323,1.273715,0.998308,0.979965,0.780227,1.116700,45.493333,0.787838,0.671773,53.260000,0.444927
id_feat_joint,74.404925,97.173333,86.673333,93.766667,79.606667,68.520000,4.397134,2.676434,0.997674,0.957924,0.527737,757073903616.000000,51.233333,0.653748,41214386176.000000,68.013333,715859517440.000000
id_feat_imp,73.649682,95.580000,81.493333,79.340000,67.220000,57.980000,4.473430,2.467360,0.999311,0.951062,0.716936,284143878144.000000,53.460000,0.755428,41762996224.000000,60.820000,242380881920.000000
id_feat_pa,68.989174,97.633333,85.566667,82.306667,59.786667,75.220000,1.463885,0.643533,0.998637,0.982197,0.932394,2.203199,35.293333,0.930250,0.439917,43.120000,1.763282
dom_feat_dac,54.487649,90.386667,80.260000,52.920000,53.913333,84.880000,0.081492,0.233251,0.807167,0.975686,0.475295,8.278351,33.206667,0.557177,1.105831,31.600000,7.172519
dom_feat_pa,54.284390,86.366667,75.953333,30.400000,37.386667,87.780000,0.018531,0.089031,0.952087,0.997104,0.978276,2.488986,36.180000,0.970474,0.368611,22.886667,2.120374
z_dom,39.579860,86.540000,69.306667,25.660000,25.766667,86.273333,0.019483,0.099970,0.483485,0.957015,0.536522,6.344747,28.440000,0.604234,0.929885,22.280000,5.414862
dom_feat_imp,39.579860,86.540000,69.306667,25.660000,25.766667,86.273333,0.019483,0.099970,0.483485,0.957015,0.536522,6.344747,28.440000,0.604234,0.929885,22.280000,5.414862
