feature,heuristic_cross_domain_score,tx_ridge_val_acc,tx_ridge_test_acc,tx_ncm_val_acc,tx_ncm_test_acc,dom_ridge_val_acc,fisher_train,fisher_test,src_same_tx_cross_dom_cos,train_test_centroid_cos,clean_dac_cos,clean_dac_rel_shift,tx_ncm_test_under_dac_acc,clean_pa_cos,clean_pa_rel_shift,tx_ncm_test_under_pa_acc,dac_minus_pa_shift
id_feat_imp,79.969979,98.406667,90.813333,95.746667,81.993333,73.933333,2.168126,1.872377,0.998158,0.985722,0.826180,3.056443,48.973333,0.889734,0.502137,65.666667,2.554307
z_id,77.715061,98.073333,86.880000,84.253333,77.873333,72.853333,1.325049,0.970246,0.997757,0.985785,0.847722,0.854222,54.073333,0.832654,0.694568,44.406667,0.159654
id_feat_cls,77.715061,98.073333,86.880000,84.253333,77.873333,72.853333,1.325049,0.970246,0.997757,0.985785,0.847722,0.854222,54.073333,0.832654,0.694568,44.406667,0.159654
id_feat_joint,74.932664,97.640000,88.166667,95.020000,80.780000,68.800000,5.039630,3.227542,0.998592,0.977059,0.523670,179556696064.000000,43.186667,0.617358,2162231040.000000,66.733333,177394465024.000000
id_feat_dac,74.587951,97.173333,85.766667,89.673333,78.213333,73.093333,3.647521,4.920138,0.996839,0.983276,0.555790,4.686641,45.160000,0.805732,0.602425,54.960000,4.084216
id_feat_pa,68.358738,97.800000,87.806667,82.586667,57.886667,72.680000,1.518530,0.644589,0.998368,0.980173,0.921360,2.160362,34.926667,0.908689,0.492871,41.120000,1.667491
dom_feat_dac,59.354610,90.786667,78.153333,60.806667,63.286667,84.986667,0.098196,0.263632,0.842548,0.979228,0.468829,9.546284,35.806667,0.540296,1.062022,26.506667,8.484262
dom_feat_pa,56.979005,83.466667,67.420000,31.740000,41.766667,86.813333,0.019373,0.088918,0.960354,0.997898,0.978462,2.428529,37.820000,0.972641,0.381086,24.180000,2.047442
z_dom,39.110523,83.480000,71.153333,27.100000,27.266667,84.840000,0.017351,0.064082,0.467534,0.959201,0.476338,8.247526,16.713333,0.489112,0.999571,17.446667,7.247955
dom_feat_imp,39.110523,83.480000,71.153333,27.100000,27.266667,84.840000,0.017351,0.064082,0.467534,0.959201,0.476338,8.247526,16.713333,0.489112,0.999571,17.446667,7.247955
