feature,heuristic_cross_domain_score,tx_ridge_val_acc,tx_ridge_test_acc,tx_ncm_val_acc,tx_ncm_test_acc,dom_ridge_val_acc,fisher_train,fisher_test,src_same_tx_cross_dom_cos,train_test_centroid_cos,clean_dac_cos,clean_dac_rel_shift,tx_ncm_test_under_dac_acc,clean_pa_cos,clean_pa_rel_shift,tx_ncm_test_under_pa_acc,dac_minus_pa_shift
id_feat_imp,78.997243,98.446667,89.013333,95.693333,83.020000,74.513333,2.085441,1.645494,0.998154,0.986855,0.773800,4.481699,51.760000,0.804535,0.868678,45.300000,3.613021
z_id,76.553971,97.946667,85.286667,86.126667,77.846667,75.560000,1.527601,1.208935,0.998799,0.982781,0.843502,0.710998,48.353333,0.809412,0.690074,36.953333,0.020924
id_feat_cls,76.553971,97.946667,85.286667,86.126667,77.846667,75.560000,1.527601,1.208935,0.998799,0.982781,0.843502,0.710998,48.353333,0.809412,0.690074,36.953333,0.020924
id_feat_joint,74.205982,97.626667,86.160000,94.766667,82.406667,68.920000,5.242549,3.241571,0.999329,0.980625,0.580801,52769001472.000000,54.506667,0.396187,1182751616.000000,48.500000,51586249856.000000
id_feat_dac,72.869437,95.713333,86.966667,86.633333,77.980000,75.466667,3.056211,3.890366,0.996750,0.985737,0.596993,7.189001,52.053333,0.671556,1.260232,48.386667,5.928769
id_feat_pa,67.487508,96.786667,82.620000,83.586667,58.013333,73.993333,1.747982,0.737239,0.998339,0.983852,0.907966,1.801459,35.400000,0.860162,0.568363,26.800000,1.233095
dom_feat_dac,57.862332,90.246667,79.460000,54.053333,56.840000,82.726667,0.088573,0.274938,0.879325,0.981569,0.548688,8.295790,34.660000,0.586847,1.617412,29.173333,6.678378
dom_feat_pa,52.625157,82.160000,73.473333,26.933333,32.560000,84.333333,0.011870,0.094643,0.954781,0.997742,0.973562,2.044384,24.080000,0.965229,0.377057,20.600000,1.667327
z_dom,38.242656,81.193333,72.106667,29.193333,28.013333,85.520000,0.015034,0.105709,0.493387,0.953634,0.460650,6.835550,22.986667,0.409227,1.489900,21.206667,5.345650
dom_feat_imp,38.242656,81.193333,72.106667,29.193333,28.013333,85.520000,0.015034,0.105709,0.493387,0.953634,0.460650,6.835550,22.986667,0.409227,1.489900,21.206667,5.345650
