arm,epoch,loss,mse,cos,ce,clean,feat_margin,clean_margin,proxy_unknown_sep,proxy_unknown_supcon,proxy_unknown_proto_ce,proxy_unknown_pair_margin,proxy_unknown_old_margin,proxy_unknown_hard_pair,proxy_unknown_hard_old,resid
E10,1.0,4.237722467422485,0.055179001778364184,0.15124036395549775,1.034503571510315,0.009201813608407975,0.21076724743843078,0.008710135236382484,0.6240368819236756,9.582288589477539,3.7883087253570555,0.18820078444480895,0.12901172870397568,0.00016083429101854563,0.0014993012100458145,0.0
E10,2.0,3.8598035888671873,0.05313259607553482,0.1322640563249588,0.9385375351905823,0.006226935014128685,0.20029718101024627,0.005387152932584286,0.6027400164604187,8.893258598327638,3.606844175338745,0.17033310699462892,0.10631660676002502,0.0005637245783291291,0.0017752503007650376,0.0
E10,3.0,3.803402099609375,0.05279872459173202,0.13242444241046905,0.9711801233291626,0.005400556225329638,0.20512109565734862,0.004058434950187802,0.6039831252098083,8.570211097717285,3.482505615234375,0.1603439438343048,0.10059266126155854,0.0004826000069733709,0.0015805879635736346,0.0
E10,4.0,3.5727146320343017,0.052043589800596236,0.12542239367961883,0.7926343438625336,0.005372627887874842,0.19045377600193023,0.003953052636235952,0.5835779047012329,8.373585304260255,3.410801954269409,0.154825954914093,0.09161957973241806,0.00037484382383991033,0.0012270238583441825,0.0
E10,5.0,3.592559566497803,0.05311795988678932,0.12710444438457488,0.8489498534202575,0.004752274192869663,0.19277206635475158,0.002622819371521473,0.5827338309288025,8.32805111694336,3.363553314208984,0.1527223746776581,0.09117090386152267,0.0003188942833803594,0.0013605092400684952,0.0
E10,6.0,3.4957027702331542,0.05407386779785156,0.12753715002536772,0.7707149472236633,0.004529016517102719,0.1888064397573471,0.002550418585538864,0.5682536201477051,8.192627277374267,3.310688974380493,0.14896692752838134,0.08501715433597565,2.2750757518224418e-05,0.0012930913087911904,0.0
E10,7.0,3.5229863777160646,0.05358419352769852,0.12238336420059204,0.8296619548797607,0.004545532327145338,0.19001323413848878,0.002617794489488006,0.5770268435478211,8.187143508911133,3.2861782512664797,0.1468462076187134,0.08712116712331772,0.00021746690571308136,0.001007596512325108,0.0
E10,8.0,3.5020491523742674,0.0517652969956398,0.12248420751094818,0.7925164561271667,0.0047253909148275855,0.1915139354467392,0.003250384796410799,0.5656909217834473,8.136253341674804,3.2834931030273435,0.1451000189781189,0.08428114503622056,0.00019261098699644208,0.001156256038695574,0.0
E10,9.0,3.3526213455200193,0.051121212601661685,0.11901709634065628,0.7150264925956726,0.0045848642140626904,0.1815828288793564,0.002534848105162382,0.5421768140792846,7.915007614135742,3.2051992740631103,0.14120758080482482,0.07619535011053086,0.00019204111304134132,0.0013363054497167468,0.0
E10,10.0,3.4231293201446533,0.05382553300261497,0.12206643879413605,0.7601028547286988,0.004767820540815592,0.19118876409530638,0.0033175182526465506,0.5478016171455383,7.839721939086914,3.1473217449188233,0.13639266705513,0.07429433107376099,3.0253447592258453e-05,0.001192020575981587,0.0
E2,1.0,4.334119247436523,0.05512506374716759,0.15069217109680175,1.0872283082008363,0.009367742342253536,0.21499501645565033,0.010106724057346582,0.6373098087310791,9.74331103515625,3.855355215072632,0.19409501779079438,0.136863049864769,0.0007517194114625454,0.0014774468266405166,0.0
E2,2.0,3.8599799880981447,0.05262949964404106,0.13398566102981568,0.9289252133369446,0.006743945717811585,0.20345470237731933,0.006081599302589893,0.6098030529022217,8.756354858398437,3.549869752883911,0.1649186668395996,0.10306203508377075,0.00024971331190317867,0.0017362048882059752,0.0
E20,1.0,4.358652278900147,0.05495430642366409,0.1585765855908394,1.1195109729766846,0.008999284053842246,0.22350321018695832,0.01030185041204095,0.6474995508193969,9.538717514038085,3.8356606693267823,0.18964978766441346,0.13282405948638917,0.0005689870826900005,0.0018951440202072264,0.0
