adapter_epoch,arm,k_shot,count,old_before_mean,old_before_std,old_before_ci95,old_acc_mean,old_acc_std,old_acc_ci95,seen_new_acc_mean,seen_new_acc_std,seen_new_acc_ci95,H_old_new_mean,H_old_new_std,H_old_new_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,old_to_seen_new_rate_mean,old_to_seen_new_rate_std,old_to_seen_new_rate_ci95,seen_new_to_old_rate_mean,seen_new_to_old_rate_std,seen_new_to_old_rate_ci95,min_old_class_acc_mean,min_old_class_acc_std,min_old_class_acc_ci95,min_seen_new_class_acc_mean,min_seen_new_class_acc_std,min_seen_new_class_acc_ci95
0,singlehead_fft96_paired,1,25,0.6779999999999999,0.11414448284066542,0.045667304185871734,0.6066666666666667,0.11581967678621884,0.046337521349049976,0.4489999999999999,0.1266736840161453,0.05068002864742386,0.49491557567159605,0.11897870343791314,0.04760139523453228,0.07133333333333336,0.0258643183355557,0.010347882469613687,0.11199999999999999,0.042923417304385494,0.017172943500674723,0.37866666666666676,0.13705392288357812,0.05483298912421515,0.3126666666666666,0.16998562030686923,0.06800841211584431,0.22399999999999998,0.14399691354716987,0.05761076391195068
0,singlehead_fft96_paired,2,25,0.7411111111111112,0.1171023610477729,0.04685070193289464,0.6713333333333334,0.11777442343231749,0.04711958288607853,0.5286666666666666,0.13157338467773622,0.052640317177925444,0.578320302501614,0.1258301182752919,0.05034253206125853,0.06977777777777777,0.0314987752064453,0.012602134707142073,0.09744444444444443,0.04554823789466111,0.018223090449054007,0.3349999999999999,0.1482490397195806,0.05931196868785954,0.3906666666666667,0.17308186887520408,0.06924716953702072,0.2826666666666666,0.16265027239790014,0.06507366173692589
0,singlehead_fft96_paired,5,25,0.7872222222222222,0.09146948489341496,0.03659541562059986,0.7378888888888889,0.1054001194742453,0.042168830218246606,0.6080000000000001,0.13726454587968284,0.05491725587274543,0.6602467117812278,0.12320505038471694,0.049292286172153296,0.04933333333333332,0.029972003397409405,0.011991298765794094,0.061666666666666675,0.035416394334464946,0.014169508792610572,0.282,0.12549192094402817,0.050207224948577246,0.49200000000000016,0.1733410254703459,0.06935085376921121,0.3733333333333333,0.20346989949375804,0.08140491385659712
0,singlehead_fft96_paired,10,25,0.8006666666666666,0.09032957488422845,0.036139356634317485,0.7701111111111112,0.10201452329429846,0.04081430964263561,0.6779999999999999,0.13207489457795443,0.05284096292615194,0.7169532860113478,0.11318820114575613,0.0452847118260661,0.03055555555555557,0.02056306169257972,0.008226938087044649,0.04611111111111111,0.028642108343667202,0.011459229931251223,0.24166666666666667,0.11616559062151084,0.04647591570631762,0.5713333333333334,0.16789679369580984,0.0671727074206647,0.46266666666666667,0.21041123755372212,0.08418202746517897
0,singlehead_fft96_paired,20,25,0.8190000000000001,0.07874274412976996,0.031503658863863734,0.7963333333333334,0.09320997138413949,0.03729175524232532,0.7100000000000002,0.13802173741842264,0.05522019558096477,0.7458506830040226,0.11191715958750856,0.04477618929366827,0.022666666666666665,0.020407575451348192,0.00816473063471469,0.035666666666666666,0.02977985067411923,0.011914421665418728,0.22033333333333338,0.11125745917565358,0.044512254159617334,0.612,0.15286304691164282,0.06115795602523997,0.49866666666666676,0.22582785971226452,0.09034996091331217
2,E2,1,25,0.6911111111111111,0.10242431713582835,0.040978261325177866,0.6205555555555556,0.11251063049911614,0.04501362710907002,0.5106666666666666,0.13857448859327928,0.055441342108708144,0.5427304915958225,0.12256489623574773,0.04903617117194227,0.07055555555555555,0.023557127830126874,0.009424814021590228,0.11488888888888889,0.04259252818030556,0.01704056027982078,0.31300000000000006,0.12938057556423738,0.05176301081746394,0.3426666666666667,0.17321021268325312,0.0692985177544438,0.3166666666666666,0.1601388286595242,0.06406887497639349
2,E2,2,25,0.7486666666666666,0.09593953857366835,0.03838380955838012,0.6866666666666668,0.10386660485901265,0.04155529659257794,0.6003333333333335,0.15384841023986348,0.061552183461587195,0.6276500605091173,0.1316173295833559,0.05265789880186737,0.06199999999999999,0.024301602853198136,0.009722666063942877,0.0862222222222222,0.03677995965330529,0.014715048538755906,0.2603333333333333,0.1333183324894884,0.053338441699799996,0.4133333333333333,0.15297058540778355,0.061200980384304306,0.41133333333333333,0.1783704011320264,0.0713630231048732
2,E2,5,25,0.8029999999999999,0.0752277201338922,0.030097356377352308,0.7584444444444444,0.08845547111609531,0.035389558968015086,0.693,0.15071459414697996,0.06029839590029031,0.7190343524168261,0.12297361246365038,0.04919969171924184,0.04455555555555555,0.0264280995238864,0.010573441921818746,0.06033333333333334,0.029984769796566495,0.011996406389212731,0.20099999999999998,0.1145357780103861,0.04582385485829486,0.5286666666666666,0.1495563810444446,0.05983501415156948,0.5266666666666666,0.19675139417831608,0.07871695191328561
2,E2,10,25,0.8241111111111111,0.07267261273667894,0.029075100515025702,0.7906666666666666,0.09079511598329366,0.03632561186499485,0.7626666666666666,0.12912354118784417,0.051660175649606024,0.7734004505411356,0.10842990861117904,0.04338099832915341,0.03344444444444444,0.023193762465023873,0.009279437598255492,0.04988888888888889,0.027682949247006643,0.011075486370986579,0.15833333333333335,0.0923158828275082,0.036934045320052664,0.596,0.15064896651192503,0.060272139377868315,0.6199999999999999,0.18190351532856336,0.07277656317900803
2,E2,20,25,0.8442222222222223,0.06570566617804917,0.02628774137315828,0.8177777777777777,0.08952205052870602,0.03581627960542052,0.7966666666666667,0.12376052143824647,0.04951452087799878,0.8044058853049436,0.1044777361156918,0.04179980001755046,0.026444444444444444,0.027274552875673333,0.01091209379296668,0.042111111111111106,0.03074868259749483,0.012302035162354336,0.13766666666666671,0.08679861750051092,0.03472667946502612,0.6406666666666666,0.1515167757488699,0.06061933538255119,0.666,0.18429927352602946,0.07373506608371874
5,E5,1,25,0.7068888888888888,0.09791064205264152,0.03917241519148591,0.6363333333333333,0.10650717242410382,0.04261174364299467,0.5126666666666666,0.11568923891183656,0.04628533533060624,0.5541325414585566,0.11211918403199647,0.0448570159050805,0.07055555555555557,0.025855725062711325,0.010344444444444444,0.11222222222222221,0.04073400617738524,0.01629699661794872,0.31966666666666665,0.11202380699357319,0.044818857142452394,0.3493333333333333,0.1608643320731272,0.06435913679415603,0.29333333333333333,0.14102797200870787,0.056422939910537706
5,E5,2,25,0.7645555555555553,0.09795841899424393,0.03919152994912403,0.6985555555555556,0.1080812451610156,0.043241503896826475,0.6066666666666665,0.14146063449281962,0.056596040955634454,0.6379694012828206,0.12447970475529968,0.04980225413052154,0.066,0.028731193526922643,0.011494871427545525,0.08600000000000002,0.03983360452410396,0.01593676093097946,0.256,0.11852144672308608,0.047418454447843636,0.41600000000000004,0.16743025081773272,0.06698605139490968,0.40266666666666656,0.16388885122410113,0.06556919647155915
5,E5,5,25,0.8147777777777776,0.07378949036881127,0.029521944631321552,0.7717777777777778,0.09131981516612539,0.03653553525850571,0.698,0.14480408220151192,0.057933698630736816,0.7281994110151799,0.12021553899326039,0.04809623251556661,0.04300000000000001,0.030843291685151056,0.012339886680686375,0.058666666666666666,0.033465663257792315,0.013389053817948365,0.2043333333333333,0.10599056561788883,0.04240505787442499,0.5379999999999999,0.16809521111560555,0.06725209092164594,0.5166666666666666,0.20154955277107964,0.08063661515529842
5,E5,10,25,0.836,0.07711415299795875,0.030852086709345732,0.8036666666666668,0.09235505828119787,0.03694971876580967,0.767,0.12711499605562762,0.05085659023539004,0.7820370905423439,0.10790512096188186,0.04317103954168492,0.03233333333333333,0.025103243605282828,0.010043389161215522,0.046,0.029176770736619978,0.011673139438991547,0.16033333333333336,0.09405317644821996,0.03762910752772823,0.6139999999999999,0.159002445823257,0.06361422715317931,0.6200000000000001,0.18306040290327974,0.07323941460615215
5,E5,20,25,0.8558888888888887,0.06449385079310627,0.02580291424508275,0.8311111111111112,0.0890380692612872,0.03562264677088106,0.8046666666666669,0.11972375611288587,0.04789947838577816,0.8153708257111263,0.10105484591420862,0.04043035872581346,0.024777777777777784,0.028185014843501405,0.01127635444402689,0.0381111111111111,0.03159856224264751,0.012642057836343281,0.13633333333333333,0.08366201846317918,0.03347177849406206,0.6613333333333332,0.1593542524621724,0.06375497912291214,0.6713333333333336,0.1841207333367007,0.07366363513118764
10,E10,1,25,0.7124444444444442,0.09701762599180838,0.03881513435689786,0.6371111111111112,0.10901885667677456,0.04361662662928575,0.533,0.1213232596550774,0.048539413080734936,0.566741579217267,0.10785283617224652,0.04315012126921875,0.07533333333333334,0.02882814125806695,0.011533658598139459,0.10966666666666663,0.04654826248895592,0.018623183613475824,0.3006666666666667,0.11160246910848842,0.044650286880584755,0.3593333333333334,0.1561395387323645,0.06246882576607785,0.32666666666666666,0.14884742374510737,0.059551372158212504
10,E10,2,25,0.7693333333333332,0.09031317254865134,0.03613279433336769,0.7067777777777777,0.09733827993518655,0.03894342265262819,0.6149999999999999,0.14794894014114762,0.05919190385079265,0.6471838971794465,0.12471998754741694,0.04989838726884911,0.06255555555555556,0.029763678254037702,0.0119079513498248,0.08577777777777777,0.039113005004650654,0.015648461079492082,0.24499999999999997,0.12538828582536019,0.05016576226574958,0.4186666666666666,0.15883744310877498,0.06354821231859231,0.43,0.17365355036841473,0.06947588976946793
10,E10,5,25,0.8217777777777777,0.07008671877144876,0.028040527460212183,0.7747777777777778,0.08737926414469932,0.03495898650488254,0.7163333333333334,0.15148303902124197,0.060605837880398826,0.7388028140269788,0.12080005238012329,0.04833008657468783,0.04699999999999999,0.03138687309161484,0.012557364537004822,0.06166666666666667,0.03448026810929533,0.013794980300148366,0.18500000000000003,0.11382247385975913,0.045538473762222115,0.5386666666666667,0.16631429416753224,0.06653957574812708,0.5506666666666666,0.2084588954952777,0.08340092796357355
10,E10,10,25,0.8408888888888889,0.06783931632546256,0.027141379217785172,0.8067777777777779,0.08598047438406374,0.03439935404695467,0.7876666666666666,0.13144749691205398,0.05258995158209795,0.7940090936604683,0.10756157459613398,0.043033592369503514,0.034111111111111106,0.024539210246178927,0.009817728819689142,0.04822222222222223,0.02860846805483377,0.011445771012652404,0.1446666666666667,0.09851339446435134,0.039413566380306346,0.6153333333333333,0.16117071694324622,0.06448171627161713,0.6539999999999999,0.18751474016134778,0.0750215206654928
