arm,adapter_epoch,resource_tier,receiver,seed,k_shot,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,old_to_seen_new_rate,seen_new_to_old_rate,min_old_class_acc,min_seen_new_class_acc,run_dir
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713103,5,0.7305555555555556,0.6944444444444443,0.5916666666666667,0.6367369957537156,0.036111111111111094,0.05277777777777778,0.18333333333333335,0.2833333333333333,0.25,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713103\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713104,1,0.6305555555555555,0.5444444444444444,0.6,0.5690045242567008,0.08611111111111112,0.09722222222222222,0.20833333333333334,0.3,0.3,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713104\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713104,10,0.7416666666666667,0.7111111111111112,0.7833333333333333,0.7453336720867209,0.030555555555555558,0.04722222222222222,0.09999999999999999,0.4166666666666667,0.5666666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713104\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713104,2,0.6861111111111112,0.6277777777777778,0.6583333333333333,0.6415970822535751,0.05833333333333335,0.07222222222222223,0.17499999999999996,0.3333333333333333,0.35,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713104\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713104,20,0.8305555555555556,0.8138888888888888,0.7833333333333333,0.7982277828806968,0.01666666666666668,0.041666666666666664,0.11666666666666665,0.6833333333333333,0.5666666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713104\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713104,5,0.7361111111111112,0.7000000000000001,0.7166666666666668,0.7078533819111223,0.036111111111111094,0.05277777777777778,0.125,0.36666666666666664,0.43333333333333335,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713104\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713105,1,0.6222222222222222,0.5805555555555556,0.4916666666666667,0.5301205468719395,0.041666666666666664,0.06666666666666667,0.39166666666666666,0.2833333333333333,0.18333333333333332,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713105\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713105,10,0.8722222222222222,0.8444444444444444,0.7166666666666667,0.7733338298056219,0.027777777777777752,0.049999999999999996,0.19166666666666665,0.7166666666666667,0.43333333333333335,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713105\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713105,2,0.7333333333333334,0.6694444444444444,0.6083333333333333,0.6347074523856258,0.06388888888888888,0.08055555555555556,0.26666666666666666,0.48333333333333334,0.2833333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713105\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713105,20,0.8972222222222223,0.8861111111111111,0.7083333333333334,0.7816759073662013,0.011111111111111146,0.027777777777777776,0.21666666666666667,0.7833333333333333,0.45,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713105\k_20\cvs_qknnv42
