arm,adapter_epoch,receiver,seed,k_shot,scenario,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,head_macs,persistent_state_bytes,scoring_latency_per_query_ms
E10,10,20-1,713101,1,leo_clear_weak,0.5333333333333333,0.475,0.575,0.5202380952380953,0.05833333333333335,901120,31201,0.008547600009478629
E10,10,20-1,713101,1,leo_low_elev_weak,0.6166666666666667,0.5583333333333333,0.4,0.46608695652173915,0.05833333333333335,901120,31201,0.007135604391805828
E10,10,20-1,713101,1,leo_rain_weak,0.5666666666666667,0.5166666666666667,0.45,0.4810344827586207,0.04999999999999993,901120,31201,0.006725743878632784
E10,10,20-1,713101,10,leo_clear_weak,0.8333333333333334,0.8166666666666667,0.725,0.7681081081081081,0.01666666666666672,4956160,57409,0.02924933796748519
E10,10,20-1,713101,10,leo_low_elev_weak,0.6916666666666667,0.7166666666666667,0.775,0.7446927374301676,-0.025000000000000022,4956160,57409,0.026768608950078487
E10,10,20-1,713101,10,leo_rain_weak,0.8833333333333333,0.8416666666666667,0.675,0.7491758241758242,0.04166666666666663,4956160,57409,0.027252189465798438
E10,10,20-1,713101,2,leo_clear_weak,0.6916666666666667,0.7083333333333334,0.75,0.7285714285714285,-0.01666666666666672,1351680,34113,0.009704471449367702
E10,10,20-1,713101,2,leo_low_elev_weak,0.675,0.675,0.65,0.6622641509433962,0.0,1351680,34113,0.008029519813135266
E10,10,20-1,713101,2,leo_rain_weak,0.65,0.6,0.5,0.5454545454545454,0.050000000000000044,1351680,34113,0.00795236264821142
E10,10,20-1,713101,20,leo_clear_weak,0.8833333333333333,0.8666666666666667,0.75,0.8041237113402062,0.016666666666666607,9461760,86529,0.0340886355843395
E10,10,20-1,713101,20,leo_low_elev_weak,0.7916666666666666,0.7833333333333333,0.8,0.791578947368421,0.008333333333333304,9461760,86529,0.030125860939733684
E10,10,20-1,713101,20,leo_rain_weak,0.8666666666666667,0.8666666666666667,0.725,0.7895287958115182,0.0,9461760,86529,0.029985487344674766
E10,10,20-1,713101,5,leo_clear_weak,0.7916666666666666,0.7916666666666666,0.7,0.7430167597765361,0.0,2703360,42849,0.009982383926399052
E10,10,20-1,713101,5,leo_low_elev_weak,0.7333333333333333,0.725,0.7,0.712280701754386,0.008333333333333304,2703360,42849,0.008711800910532475
E10,10,20-1,713101,5,leo_rain_weak,0.8166666666666667,0.7666666666666667,0.5,0.605263157894737,0.04999999999999993,2703360,42849,0.00812051584944129
E10,10,20-1,713102,1,leo_clear_weak,0.6833333333333333,0.65,0.7,0.6740740740740739,0.033333333333333326,901120,31201,0.008594736573286355
E10,10,20-1,713102,1,leo_low_elev_weak,0.65,0.6083333333333333,0.55,0.5776978417266188,0.04166666666666674,901120,31201,0.0072108174208551645
E10,10,20-1,713102,1,leo_rain_weak,0.5416666666666666,0.45,0.6,0.5142857142857143,0.09166666666666662,901120,31201,0.007076835026964545
E10,10,20-1,713102,10,leo_clear_weak,0.8916666666666667,0.8833333333333333,0.85,0.8663461538461538,0.008333333333333415,4956160,57409,0.04516190383583307
E10,10,20-1,713102,10,leo_low_elev_weak,0.825,0.8333333333333334,0.775,0.8031088082901554,-0.008333333333333415,4956160,57409,0.028737433603964746
E10,10,20-1,713102,10,leo_rain_weak,0.825,0.8,0.7,0.7466666666666666,0.02499999999999991,4956160,57409,0.028929137624800205
E10,10,20-1,713102,2,leo_clear_weak,0.775,0.7166666666666667,0.7,0.7082352941176471,0.05833333333333335,1351680,34113,0.009953699191100895
E10,10,20-1,713102,2,leo_low_elev_weak,0.7083333333333334,0.6666666666666666,0.65,0.6582278481012659,0.04166666666666674,1351680,34113,0.008378512575291097
E10,10,20-1,713102,2,leo_rain_weak,0.625,0.5416666666666666,0.55,0.5458015267175572,0.08333333333333337,1351680,34113,0.008531654020771384
E10,10,20-1,713102,20,leo_clear_weak,0.9,0.8833333333333333,0.875,0.8791469194312796,0.01666666666666672,9461760,86529,0.029350482509471476
E10,10,20-1,713102,20,leo_low_elev_weak,0.875,0.875,0.775,0.821969696969697,0.0,9461760,86529,0.02855952479876578
E10,10,20-1,713102,20,leo_rain_weak,0.8583333333333333,0.85,0.775,0.8107692307692307,0.008333333333333304,9461760,86529,0.028648722218349576
E10,10,20-1,713102,5,leo_clear_weak,0.8166666666666667,0.7916666666666666,0.75,0.7702702702702704,0.025000000000000022,2703360,42849,0.010274368105456233
E10,10,20-1,713102,5,leo_low_elev_weak,0.8166666666666667,0.7916666666666666,0.775,0.7832446808510638,0.025000000000000022,2703360,42849,0.008358358172699809
E10,10,20-1,713102,5,leo_rain_weak,0.825,0.7666666666666667,0.625,0.6886227544910181,0.05833333333333324,2703360,42849,0.009347643936052918
E10,10,20-1,713103,1,leo_clear_weak,0.65,0.6166666666666667,0.4,0.48524590163934433,0.033333333333333326,901120,31201,0.008542355499230325
E10,10,20-1,713103,1,leo_low_elev_weak,0.5416666666666666,0.4666666666666667,0.475,0.4707964601769911,0.07499999999999996,901120,31201,0.006906973430886865
E10,10,20-1,713103,1,leo_rain_weak,0.625,0.5916666666666667,0.65,0.6194630872483221,0.033333333333333326,901120,31201,0.006526388460770249
E10,10,20-1,713103,10,leo_clear_weak,0.8833333333333333,0.8416666666666667,0.75,0.7931937172774868,0.04166666666666663,4956160,57409,0.0326005625538528
E10,10,20-1,713103,10,leo_low_elev_weak,0.7666666666666667,0.7083333333333334,0.65,0.6779141104294478,0.05833333333333335,4956160,57409,0.029443929088301957
E10,10,20-1,713103,10,leo_rain_weak,0.8166666666666667,0.7833333333333333,0.625,0.6952662721893491,0.033333333333333326,4956160,57409,0.029297239962033927
E10,10,20-1,713103,2,leo_clear_weak,0.725,0.7166666666666667,0.625,0.6677018633540373,0.008333333333333304,1351680,34113,0.009590102126821876
E10,10,20-1,713103,2,leo_low_elev_weak,0.65,0.5583333333333333,0.6,0.5784172661870505,0.09166666666666667,1351680,34113,0.008124511805363
E10,10,20-1,713103,2,leo_rain_weak,0.675,0.6416666666666667,0.425,0.511328125,0.033333333333333326,1351680,34113,0.008006228017620742
E10,10,20-1,713103,20,leo_clear_weak,0.8833333333333333,0.8666666666666667,0.825,0.8453201970443349,0.016666666666666607,9461760,86529,0.029520830139517784
E10,10,20-1,713103,20,leo_low_elev_weak,0.8416666666666667,0.7833333333333333,0.7,0.7393258426966292,0.05833333333333335,9461760,86529,0.028908552485518157
E10,10,20-1,713103,20,leo_rain_weak,0.8333333333333334,0.85,0.6,0.703448275862069,-0.016666666666666607,9461760,86529,0.028956690221093595
E10,10,20-1,713103,5,leo_clear_weak,0.7083333333333334,0.675,0.675,0.675,0.033333333333333326,2703360,42849,0.010078930063173175
E10,10,20-1,713103,5,leo_low_elev_weak,0.75,0.7333333333333333,0.575,0.6445859872611465,0.01666666666666672,2703360,42849,0.00822958827484399
E10,10,20-1,713103,5,leo_rain_weak,0.7333333333333333,0.675,0.525,0.590625,0.05833333333333324,2703360,42849,0.008438163786195219
E10,10,20-1,713104,1,leo_clear_weak,0.7333333333333333,0.6083333333333333,0.725,0.6615624999999999,0.125,901120,31201,0.0079027668107301
E10,10,20-1,713104,1,leo_low_elev_weak,0.5666666666666667,0.49166666666666664,0.45,0.46991150442477875,0.07500000000000001,901120,31201,0.00684765400364995
E10,10,20-1,713104,1,leo_rain_weak,0.5916666666666667,0.5333333333333333,0.625,0.5755395683453237,0.05833333333333335,901120,31201,0.006632987060584128
E10,10,20-1,713104,10,leo_clear_weak,0.8083333333333333,0.8,0.85,0.8242424242424243,0.008333333333333304,4956160,57409,0.034687138395383954
E10,10,20-1,713104,10,leo_low_elev_weak,0.675,0.6416666666666667,0.725,0.6807926829268293,0.033333333333333326,4956160,57409,0.029267300851643085
E10,10,20-1,713104,10,leo_rain_weak,0.7416666666666667,0.6916666666666667,0.775,0.730965909090909,0.050000000000000044,4956160,57409,0.029144407017156482
E10,10,20-1,713104,2,leo_clear_weak,0.7666666666666667,0.725,0.725,0.7250000000000001,0.04166666666666674,1351680,34113,0.009372737258672714
E10,10,20-1,713104,2,leo_low_elev_weak,0.6083333333333333,0.525,0.625,0.5706521739130436,0.08333333333333326,1351680,34113,0.008014217019081116
E10,10,20-1,713104,2,leo_rain_weak,0.6833333333333333,0.6333333333333333,0.625,0.6291390728476821,0.050000000000000044,1351680,34113,0.00774036452639848
E10,10,20-1,713104,20,leo_clear_weak,0.9,0.8833333333333333,0.85,0.8663461538461538,0.01666666666666672,9461760,86529,0.0337804522132501
E10,10,20-1,713104,20,leo_low_elev_weak,0.775,0.7583333333333333,0.75,0.7541436464088398,0.01666666666666672,9461760,86529,0.031756600947119296
E10,10,20-1,713104,20,leo_rain_weak,0.8166666666666667,0.8,0.75,0.7741935483870969,0.016666666666666607,9461760,86529,0.03193900629412383
E10,10,20-1,713104,5,leo_clear_weak,0.775,0.7416666666666667,0.8,0.7697297297297298,0.033333333333333326,2703360,42849,0.010418257443234324
E10,10,20-1,713104,5,leo_low_elev_weak,0.7166666666666667,0.675,0.65,0.6622641509433962,0.04166666666666663,2703360,42849,0.008683302439749241
E10,10,20-1,713104,5,leo_rain_weak,0.7166666666666667,0.6833333333333333,0.7,0.691566265060241,0.033333333333333326,2703360,42849,0.008743238868191838
E10,10,20-1,713105,1,leo_clear_weak,0.6166666666666667,0.6166666666666667,0.5,0.5522388059701493,0.0,901120,31201,0.008335534948855639
