rung,gpu,epoch,train_loss,train_tx_acc,val_tx_acc,val_dom_acc,epoch_time_s,skipped_backward_batches_so_far,diag_sat_cls_active
R1,0,1,20.322380512318713,0.0,24.42962962962963,10.133333333333333,340.7498488910496,2,False
R1,0,10,8.353008026979408,65.33801020408163,91.54074074074074,42.49629629629629,337.6997573231347,3,False
R1,0,20,9.180350362038126,60.076530612244895,94.4037037037037,51.8,444.00566922919825,4,False
R1,0,40,6.726485023693162,76.61033163265306,96.03333333333333,62.818518518518516,342.2598585658707,4,False
R1,0,41,7.059057673629449,74.01147959183673,96.1962962962963,62.7037037037037,342.4926206199452,4,False
R1,0,60,6.991471191247304,75.048828125,97.10740740740741,70.22222222222223,390.34564566612244,8,False
R1,0,79,6.792284104288841,74.04336734693878,97.5111111111111,73.85185185185185,437.72484840173274,12,False
R1,0,80,10.46784308491921,75.01594387755102,97.50740740740741,73.72962962962963,432.9723439561203,12,True
R1,0,90,9.383280866000117,79.70344387755102,97.57037037037037,75.35555555555555,349.0507329958491,15,True
R1,0,91,10.298962210615477,80.615234375,97.65185185185184,75.02222222222223,343.9311644430272,16,True
R1,0,100,10.68117963537878,78.68303571428571,97.37777777777778,76.5925925925926,343.1098628458567,16,True
R1,0,120,9.032595298728165,82.31823979591837,97.81111111111112,78.0111111111111,349.6139306342229,22,True
R1,0,123,10.821977065534007,74.04336734693878,97.34814814814816,77.78148148148148,335.07876037992537,22,True
R2,1,1,20.324595471645925,0.0,25.79259259259259,9.981481481481481,363.3247821540572,2,False
R2,1,10,8.284855103006167,65.52933673469387,92.3037037037037,42.84074074074074,366.44009503675625,3,False
R2,1,20,8.901789100802674,61.766581632653065,94.16296296296296,51.95185185185185,511.52208977798,4,False
R2,1,40,6.655512566469153,77.1045918367347,95.97037037037038,62.648148148148145,370.8772944668308,4,False
R2,1,41,7.030006189735568,74.20280612244898,95.89259259259259,62.507407407407406,373.28216276783496,4,False
R2,1,60,6.914621606165049,75.52614795918367,97.06666666666666,69.88888888888889,417.02336865197867,5,False
R2,1,79,6.754971961585843,74.61734693877551,97.48518518518519,74.03703703703704,466.812032177113,7,False
R2,1,80,10.439674328784553,75.19132653061224,97.44074074074074,73.62222222222222,465.6447193240747,7,True
R2,1,90,9.354560949364487,80.08609693877551,97.66296296296296,75.14814814814815,344.2696537533775,7,True
R2,1,91,10.410344634737287,79.46428571428571,97.78888888888889,74.71481481481482,345.64937687432393,7,True
R2,1,100,10.68336862933879,78.45982142857143,97.64444444444445,76.11851851851851,342.01553306076676,8,True
R2,1,116,9.011840825178185,80.58035714285714,97.73703703703704,77.12592592592593,353.63908532913774,13,True
R3,2,1,20.323188173009996,0.0,25.348148148148148,11.248148148148148,368.2514559170231,2,False
R3,2,10,8.255071610820536,65.41772959183673,91.87037037037037,42.72962962962963,379.0478800898418,3,False
R3,2,20,9.113736454321414,60.15625,94.47037037037038,52.196296296296296,499.44485147530213,4,False
R3,2,40,6.754547333230778,76.69005102040816,96.0962962962963,62.24444444444445,379.59201106475666,4,False
R3,2,41,7.254435675484793,73.83609693877551,96.5037037037037,63.01111111111111,997.9111796789803,4,False
R3,2,60,6.787176301081975,76.513671875,97.26296296296296,69.49259259259259,805.7121129757725,8,False
R3,2,69,5.9905297512910805,81.34566326530613,96.96666666666667,72.1,806.8085771789774,8,False
R4,3,1,20.323480971316073,0.0,25.603703703703705,11.225925925925926,366.2112762411125,2,False
R4,3,10,8.355850112681486,64.70025510204081,91.68518518518519,41.9,382.58842981699854,3,False
R4,3,20,9.310229963185837,59.02423469387755,94.4,50.2962962962963,507.58057490130886,4,False
R4,3,40,6.6861141798447585,77.12053571428571,95.97407407407407,62.55185185185185,381.3553475709632,4,False
R4,3,41,7.446564421361806,73.80420918367346,96.03703703703704,62.37407407407407,1029.426129475236,4,False
R4,3,60,7.094638936373652,75.65369897959184,96.9962962962963,69.41851851851852,850.9704946870916,6,False
R4,3,66,6.894335751630822,75.98852040816327,97.30740740740741,71.04814814814814,849.7185100638308,8,False
R5,4,1,20.32323484217867,0.0,25.31111111111111,10.27037037037037,382.31619931105524,2,False
R5,4,10,8.337603617687614,64.97130102040816,91.80740740740741,42.19259259259259,378.2830775999464,3,False
R5,4,20,9.179433744780871,60.172193877551024,94.17407407407407,51.68518518518518,513.2568638250232,4,False
R5,4,40,6.689674542874706,76.72193877551021,95.95555555555555,61.181481481481484,377.93752790102735,4,False
R5,4,41,7.372051929940983,74.55357142857143,96.11111111111111,63.06666666666667,1072.5890421699733,4,False
R5,4,60,7.017651577385104,75.09566326530613,97.25925925925925,69.68518518518519,901.2121926951222,6,False
R5,4,67,5.645521052029668,84.74170918367346,96.79629629629629,72.27777777777777,899.0663300948218,6,False
R6,5,1,20.32482001122008,0.0,23.72962962962963,9.737037037037037,374.89023930672556,2,False
R6,5,10,8.252001558031354,65.76849489795919,92.03333333333333,42.388888888888886,376.2510893321596,3,False
R6,5,20,8.885788022255412,62.11734693877551,94.37407407407407,50.46666666666667,494.7439541602507,4,False
R6,5,40,6.729649110716217,77.00892857142857,96.25925925925925,62.096296296296295,380.1690561962314,4,False
R6,5,41,7.490886308708969,73.85204081632654,96.37407407407407,62.79259259259259,1074.761696652975,4,False
R6,5,60,7.0941291147348835,75.38265306122449,96.84074074074074,69.23703703703704,899.0411621690728,7,False
R6,5,66,7.047147643809416,75.49426020408163,97.38148148148149,70.86296296296297,896.5103460969403,7,False
R7,6,1,20.324698671381523,0.0,24.62962962962963,10.033333333333333,379.10542190633714,2,False
R7,6,10,8.231458926687436,65.49744897959184,91.98518518518519,42.30740740740741,385.07264178199694,3,False
R7,6,20,9.102017616739078,59.69387755102041,94.38148148148149,50.93333333333333,518.9441866371781,4,False
R7,6,40,6.671218755293865,76.83354591836735,95.85555555555555,61.86296296296296,411.80499741993845,5,False
R7,6,41,7.528727571169536,73.291015625,96.2074074074074,62.22962962962963,1103.712837359868,6,False
R7,6,60,7.079917382220833,75.11160714285714,97.02592592592593,69.97777777777777,1103.669364864938,7,False
R7,6,63,5.998549174289314,82.30229591836735,96.72962962962963,70.20370370370371,1086.4684602678753,7,False
R8,7,1,20.324007034301758,0.0,24.962962962962962,9.88888888888889,387.4656667658128,2,False
R8,7,10,8.360614328968282,65.1626275510204,91.84444444444445,43.17777777777778,393.62014926504344,3,False
R8,7,20,9.054413717620227,60.60267857142857,94.45185185185186,52.41481481481482,507.6558549958281,4,False
R8,7,40,6.71350589090464,76.70599489795919,96.08518518518518,62.11851851851852,384.6725784209557,4,False
R8,7,41,7.402202129364014,73.82015306122449,96.2074074074074,63.54814814814815,1085.7027581413276,4,False
R8,7,60,7.137232984815325,75.09566326530613,96.9888888888889,70.84444444444445,904.3770819013007,5,False
R8,7,65,5.668945983964569,84.2952806122449,97.05925925925926,72.52222222222223,902.8581312778406,5,False
