rung,gpu,status_at_snapshot,latest_epoch,planned_epochs,progress_percent,latest_lr,latest_train_loss,latest_train_tx_acc,latest_val_tx_acc,latest_val_dom_acc,best_val_tx_acc,best_val_epoch,min_train_loss,min_train_loss_epoch,last10_val_tx_acc_mean,last10_val_tx_acc_std,last10_val_tx_acc_min,last10_val_tx_acc_max,last10_train_loss_mean,last10_epoch_time_s_mean,estimated_remaining_train_hours,skipped_backward_batches_total,skipped_backward_warning_lines,epochs_with_skip_warning,csv_record_count,jsonl_record_count,stdout_epoch_end_count,csv_epoch_contiguous,jsonl_epoch_contiguous,malformed_jsonl_lines,latest_test_tx_acc,latest_primary_ood_score,latest_worst_rx_tx_acc,test_skipped_marker_count,final_ssdg_marker_count,training_complete_marker_count,fatal_traceback_count,fatal_runtime_error_count,fatal_cuda_oom_count,fatal_killed_count,fatal_explicit_error_count,csv_bytes,jsonl_bytes,stdout_bytes
R1,0,TRAINING_INCOMPLETE,123,200,61.5,6.53292530439639e-05,10.821977065534007,74.04336734693878,97.34814814814816,77.78148148148148,97.87407407407407,101,5.5571582068999605,67,97.69444444444444,0.15042742536953396,97.34814814814816,97.83703703703704,9.646185638922818,340.84420885462316,7.290278911612773,22,22,20,123,123,123,True,True,0,,,,123,0,0,0,0,0,0,0,94137,253594,469345
R2,1,TRAINING_INCOMPLETE,116,200,57.99999999999999,7.575535622709692e-05,9.011840825178185,80.58035714285714,97.73703703703704,77.12592592592593,97.88888888888889,113,5.445929437875748,67,97.6837037037037,0.2047314142700782,97.27037037037037,97.88888888888889,9.646850339300098,348.32602483723315,8.127607246202107,13,13,11,116,116,116,True,True,0,,,,116,0,0,0,0,0,0,0,88877,239199,442991
R3,2,TRAINING_INCOMPLETE,69,200,34.5,0.00014705901651892704,5.9905297512910805,81.34566326530613,96.96666666666667,72.1,97.41851851851852,67,5.6036904004155375,67,97.25296296296297,0.16258888978413344,96.96666666666667,97.41851851851852,6.070458853832719,804.8047179635148,29.285949459227897,8,8,7,69,69,69,True,True,0,,,,69,0,0,0,0,0,0,0,53237,142224,268009
R4,3,TRAINING_INCOMPLETE,66,200,33.0,0.00015114962086716193,6.894335751630822,75.98852040816327,97.30740740740741,71.04814814814814,97.45925925925926,65,5.721724222103755,54,97.03851851851852,0.4065355429613761,96.31111111111112,97.45925925925926,6.338118972813605,901.2867801855784,33.54789681801875,8,8,6,66,66,66,True,True,0,,,,66,0,0,0,0,0,0,0,51009,136081,256981
R5,4,TRAINING_INCOMPLETE,67,200,33.5,0.00014979813750902454,5.645521052029668,84.74170918367346,96.79629629629629,72.27777777777777,97.4074074074074,64,5.645521052029668,67,96.99888888888889,0.3073357544535838,96.44814814814815,97.4074074074074,6.150995971232044,898.8371414835565,33.2070388381425,6,6,5,67,67,67,True,True,0,,,,67,0,0,0,0,0,0,0,51788,138165,260445
R6,5,TRAINING_INCOMPLETE,66,200,33.0,0.00015114962086716193,7.047147643809416,75.49426020408163,97.38148148148149,70.86296296296297,97.38148148148149,66,5.6363041984791655,65,97.05481481481482,0.2085491794516651,96.72592592592592,97.38148148148149,6.348173040273238,903.7865261360537,33.640942917286445,7,7,6,66,66,66,True,True,0,,,,66,0,0,0,0,0,0,0,51022,136094,256835
R7,6,TRAINING_INCOMPLETE,63,200,31.5,0.00015512777039081412,5.998549174289314,82.30229591836735,96.72962962962963,70.20370370370371,97.17037037037036,62,5.821665982810819,39,96.7337037037037,0.22336776072436312,96.47777777777777,97.17037037037036,6.397611521143897,1148.7226646984927,43.715279184359304,7,7,6,63,63,63,True,True,0,,,,63,0,0,0,0,0,0,0,48729,129886,245691
R8,7,TRAINING_INCOMPLETE,65,200,32.5,0.0001524886071892369,5.668945983964569,84.2952806122449,97.05925925925926,72.52222222222223,97.25555555555556,64,5.668945983964569,65,96.91333333333333,0.23236916216721476,96.45925925925926,97.25555555555556,6.290842692219481,908.0240347854327,34.05090130445373,5,5,4,65,65,65,True,True,0,,,,65,0,0,0,0,0,0,0,50264,134031,252994
