candidate_id,window,proxy_vaccept_mean,proxy_auc_mean,proxy_vac_rate_mean,soft_mix_vaccept_mean,soft_mix_vac_rate_mean,source_mix_overflow_mean,source_overflow_mean,zid_p95_mean,zid_p99_mean
SOFTUNK_A_BALANCED_E200,E1-120,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan
SOFTUNK_A_BALANCED_E200,E121-140,nan,nan,0.0,0.0,0.0,0.2582692307692308,0.4822818737496165,60.53620100489936,80.20788814839204
SOFTUNK_A_BALANCED_E200,E141-160,0.9999038461538461,0.5691406811200656,0.43598510638165927,0.9895192307692309,0.22798878835370906,0.26649038461538466,0.45242980054525905,58.13414413960555,79.87539129262896
SOFTUNK_A_BALANCED_E200,E161-180,0.9998076923076923,0.5654733003905187,0.4105053636489006,0.9892307692307692,0.21683494206231374,0.275,0.4365732883872561,56.9784002512647,79.28106743896728
SOFTUNK_A_BALANCED_E200,E181-200,0.9996634615384614,0.5677360800481759,0.39247899647228995,0.9879326923076924,0.2045512877805875,0.28009615384615383,0.4162590621405771,56.13718300674261,79.09547237679288
SOFTUNK_A_STRONGISO_E200,E1-120,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan
SOFTUNK_A_STRONGISO_E200,E121-140,nan,nan,0.0,0.0,0.0,0.20483974972023417,0.5676376405807292,59.4644385350021,79.9613341391235
SOFTUNK_A_STRONGISO_E200,E141-160,0.9999038461538461,0.5684863869960491,0.4270814214216975,0.9891666753933979,0.2260683783201071,0.21384616029377165,0.540066109002869,57.48274258333761,79.35808651458841
SOFTUNK_A_STRONGISO_E200,E161-180,0.9998557692307692,0.567870038174666,0.41421603571050436,0.9895192387012335,0.21899572904293355,0.22147436543439442,0.5257807430310855,56.869470568619235,79.14571645937258
SOFTUNK_A_STRONGISO_E200,E181-200,0.9998076923076923,0.5691701144209275,0.3870076351354902,0.9894871878165465,0.20435897663808786,0.22695513498324615,0.5038160280738042,54.61954297956837,77.77986207374315
